VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;604;Aneby;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;604;Aneby;ANARKISTERNA; ;1628;;;
KF;604;Aneby;ANDOPARTIET; ;1602;;;
KF;604;Aneby;Arbetarepartiet-Socialdemokraterna;S;2;23.95050817498895;https://www.socialdemokraterna.se/;#EE2020
KF;604;Aneby;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;604;Aneby;Bjornpartiet; ;1629;;;
KF;604;Aneby;Centerpartiet;C;4;18.493150684931507;https://www.centerpartiet.se/;#009933
KF;604;Aneby;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;604;Aneby;Det minst dåliga partiet; ;1622;;;
KF;604;Aneby;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;604;Aneby;Drivkraft; ;1621;;;
KF;604;Aneby;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;604;Aneby;Enad Politik; ;1589;;;
KF;604;Aneby;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;604;Aneby;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;604;Aneby;Enskild person/Riksdagen val; ;1614;;;
KF;604;Aneby;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;604;Aneby;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;604;Aneby;EUSEC; ;1534;;;
KF;604;Aneby;FAMILJENS FRIHET; ;1606;;;
KF;604;Aneby;Fattigmans parti; ;1618;;;
KF;604;Aneby;Feministiskt initiativ;FI;532;0.13256738842244808;https://feministisktinitiativ.se/;
KF;604;Aneby;FN Parti art.27; ;1631;;;
KF;604;Aneby;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;604;Aneby;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;604;Aneby;Fredspartiet; ;1484;;;
KF;604;Aneby;Fria Wermland; ;1548;;https://friawermland.se/;
KF;604;Aneby;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;604;Aneby;Fritt val; ;1479;;;
KF;604;Aneby;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;604;Aneby;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;604;Aneby;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;604;Aneby;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;604;Aneby;Humanistisk demokrati (HD);HD;1480;;;
KF;604;Aneby;Invandrarpartiet; ;1624;;;
KF;604;Aneby;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;604;Aneby;Kalle ankapartiet; ;1579;;;
KF;604;Aneby;Kapitalism med vänligt ansikte; ;1495;;;
KF;604;Aneby;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;604;Aneby;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;604;Aneby;Kristdemokraterna;KD;68;14.759169244365886;https://kristdemokraterna.se/;#231977
KF;604;Aneby;Kristna Värdepartiet;KrVP;1551;1.2814847547503314;https://www.kristnavardepartiet.se/;
KF;604;Aneby;KSP; ;1612;;;
KF;604;Aneby;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;604;Aneby;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;604;Aneby;Liberalerna (tidigare Folkpartiet);L;3;5.987627043747238;https://www.liberalerna.se/;#6BB7EC
KF;604;Aneby;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;604;Aneby;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;604;Aneby;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;604;Aneby;Min röst; ;1437;;;
KF;604;Aneby;MITT SVERIGE; ;1591;;;
KF;604;Aneby;MoD; ;1568;;https://partietmod.se/;
KF;604;Aneby;Moderaterna;M;1;16.94653115333628;https://moderaterna.se/;#1B49DD
KF;604;Aneby;Monisterna; ;1502;;;
KF;604;Aneby;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;604;Aneby;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;604;Aneby;NaturFilosoferna; ;1460;;;
KF;604;Aneby;Naturistpartiet; ;1627;;;
KF;604;Aneby;Neoteknokraterna; ;1613;;;
KF;604;Aneby;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;604;Aneby;Nu får det fan vara nog; ;1623;;;
KF;604;Aneby;Ny Demokrati; ;1596;;;
KF;604;Aneby;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;604;Aneby;Nya Frihetspartiet; ;1443;;;
KF;604;Aneby;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;604;Aneby;OK; ;1478;;;
KF;604;Aneby;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;604;Aneby;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
KF;604;Aneby;Partiet Frihet; ;1599;;;
KF;604;Aneby;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/;
KF;604;Aneby;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/;
