VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1984;Arboga;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1984;Arboga;ANARKISTERNA; ;1628;;
KF;1984;Arboga;ANDOPARTIET; ;1602;;
KF;1984;Arboga;Arbetarepartiet-Socialdemokraterna;S;2;33.84832988793385;https://www.socialdemokraterna.se/
KF;1984;Arboga;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1984;Arboga;Bjornpartiet; ;1629;;
KF;1984;Arboga;Centerpartiet;C;4;5.538026330105538;https://www.centerpartiet.se/
KF;1984;Arboga;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1984;Arboga;Det minst dåliga partiet; ;1622;;
KF;1984;Arboga;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1984;Arboga;Drivkraft; ;1621;;
KF;1984;Arboga;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1984;Arboga;Enad Politik; ;1589;;
KF;1984;Arboga;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1984;Arboga;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1984;Arboga;Enskild person/Riksdagen val; ;1614;;
KF;1984;Arboga;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;1984;Arboga;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;1984;Arboga;EUSEC; ;1534;;
KF;1984;Arboga;FAMILJENS FRIHET; ;1606;;
KF;1984;Arboga;Fattigmans parti; ;1618;;
KF;1984;Arboga;Feministiskt initiativ;FI;532;0.15232292460015232;https://feministisktinitiativ.se/
KF;1984;Arboga;FN Parti art.27; ;1631;;
KF;1984;Arboga;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1984;Arboga;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1984;Arboga;Fredspartiet; ;1484;;
KF;1984;Arboga;Fria Wermland; ;1548;;https://friawermland.se/
KF;1984;Arboga;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1984;Arboga;Fritt val; ;1479;;
KF;1984;Arboga;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1984;Arboga;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1984;Arboga;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1984;Arboga;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1984;Arboga;Humanistisk demokrati (HD);HD;1480;;
KF;1984;Arboga;Invandrarpartiet; ;1624;;
KF;1984;Arboga;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1984;Arboga;Kalle ankapartiet; ;1579;;
KF;1984;Arboga;Kapitalism med vänligt ansikte; ;1495;;
KF;1984;Arboga;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1984;Arboga;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1984;Arboga;Kristdemokraterna;KD;68;3.655750190403656;https://kristdemokraterna.se/
KF;1984;Arboga;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;1984;Arboga;KSP; ;1612;;
KF;1984;Arboga;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;1984;Arboga;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1984;Arboga;Liberalerna (tidigare Folkpartiet);L;3;6.669568055706669;https://www.liberalerna.se/
KF;1984;Arboga;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;1984;Arboga;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1984;Arboga;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1984;Arboga;Miljöpartiet de gröna;MP;55;2.828854314002829;https://www.mp.se/
KF;1984;Arboga;Min röst; ;1437;;
KF;1984;Arboga;MITT SVERIGE; ;1591;;
KF;1984;Arboga;MoD; ;1568;;https://partietmod.se/
KF;1984;Arboga;Moderaterna;M;1;25.535850288325534;https://moderaterna.se/
KF;1984;Arboga;Monisterna; ;1502;;
KF;1984;Arboga;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1984;Arboga;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1984;Arboga;NaturFilosoferna; ;1460;;
KF;1984;Arboga;Naturistpartiet; ;1627;;
KF;1984;Arboga;Neoteknokraterna; ;1613;;
KF;1984;Arboga;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1984;Arboga;Nu får det fan vara nog; ;1623;;
KF;1984;Arboga;Ny Demokrati; ;1596;;
KF;1984;Arboga;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1984;Arboga;Nya Frihetspartiet; ;1443;;
KF;1984;Arboga;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1984;Arboga;OK; ;1478;;
KF;1984;Arboga;Omsorgspartiet i Arboga;OPA;335;2.2957240779022956;http://omsorgspartiet.se/
KF;1984;Arboga;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;1984;Arboga;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;1984;Arboga;Partiet Frihet; ;1599;;
KF;1984;Arboga;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
KF;1984;Arboga;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;1984;Arboga;Pax; ;1491;;https://www.paxpartiet.se/
KF;1984;Arboga;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;1984;Arboga;Politiskt Skifte; ;1617;;
KF;1984;Arboga;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;1984;Arboga;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;1984;Arboga;Reformpartiet; ;1616;;
KF;1984;Arboga;Rikspolitiska partiet; ;1496;;
KF;1984;Arboga;SKP;Skp;1586;;https://skp.se
KF;1984;Arboga;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;1984;Arboga;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;1984;Arboga;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;1984;Arboga;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;1984;Arboga;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;1984;Arboga;Svensk Jobbdemokrati; ;1603;;
KF;1984;Arboga;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;1984;Arboga;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;1984;Arboga;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;1984;Arboga;Sverigedemokraterna;SD;110;14.089870525514089;https://sd.se/
KF;1984;Arboga;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;1984;Arboga;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
