VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;2084;Avesta;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;2084;Avesta;ANARKISTERNA; ;1628;;;
KF;2084;Avesta;ANDOPARTIET; ;1602;;;
KF;2084;Avesta;Arbetarepartiet-Socialdemokraterna;S;2;46.4778358109013;https://www.socialdemokraterna.se/;#EE2020
KF;2084;Avesta;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;2084;Avesta;Bjornpartiet; ;1629;;;
KF;2084;Avesta;Centerpartiet;C;4;6.716218025980983;https://www.centerpartiet.se/;#009933
KF;2084;Avesta;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;2084;Avesta;Det minst dåliga partiet; ;1622;;;
KF;2084;Avesta;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;2084;Avesta;Drivkraft; ;1621;;;
KF;2084;Avesta;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;2084;Avesta;Enad Politik; ;1589;;;
KF;2084;Avesta;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;2084;Avesta;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;2084;Avesta;Enskild person/Riksdagen val; ;1614;;;
KF;2084;Avesta;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;2084;Avesta;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;2084;Avesta;EUSEC; ;1534;;;
KF;2084;Avesta;FAMILJENS FRIHET; ;1606;;;
KF;2084;Avesta;Fattigmans parti; ;1618;;;
KF;2084;Avesta;Feministiskt initiativ;FI;532;0.12053033346725592;https://feministisktinitiativ.se/;
KF;2084;Avesta;FN Parti art.27; ;1631;;;
