VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;885;Borgholm;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;885;Borgholm;ANARKISTERNA; ;1628;;;
KF;885;Borgholm;ANDOPARTIET; ;1602;;;
KF;885;Borgholm;Arbetarepartiet-Socialdemokraterna;S;2;33.96349413298566;https://www.socialdemokraterna.se/;#EE2020
KF;885;Borgholm;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;885;Borgholm;Bjornpartiet; ;1629;;;
KF;885;Borgholm;Centerpartiet;C;4;13.78096479791395;https://www.centerpartiet.se/;#009933
KF;885;Borgholm;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;885;Borgholm;Det minst dåliga partiet; ;1622;;;
KF;885;Borgholm;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;885;Borgholm;Drivkraft; ;1621;;;
KF;885;Borgholm;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;885;Borgholm;Enad Politik; ;1589;;;
KF;885;Borgholm;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;885;Borgholm;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;885;Borgholm;Enskild person/Riksdagen val; ;1614;;;
KF;885;Borgholm;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;885;Borgholm;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;885;Borgholm;EUSEC; ;1534;;;
KF;885;Borgholm;FAMILJENS FRIHET; ;1606;;;
KF;885;Borgholm;Fattigmans parti; ;1618;;;
KF;885;Borgholm;Feministiskt initiativ;FI;532;0.18252933507170796;https://feministisktinitiativ.se/;
KF;885;Borgholm;FN Parti art.27; ;1631;;;
KF;885;Borgholm;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;885;Borgholm;Framtid Öland;FÖL;1142;11.225554106910039;https://framtidoland.se/vart-parti.html;
KF;885;Borgholm;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;885;Borgholm;Fredspartiet; ;1484;;;
KF;885;Borgholm;Fria Wermland; ;1548;;https://friawermland.se/;
KF;885;Borgholm;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;885;Borgholm;Fritt val; ;1479;;;
KF;885;Borgholm;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;885;Borgholm;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;885;Borgholm;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;885;Borgholm;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;885;Borgholm;Humanistisk demokrati (HD);HD;1480;;;
KF;885;Borgholm;Invandrarpartiet; ;1624;;;
KF;885;Borgholm;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;885;Borgholm;Kalle ankapartiet; ;1579;;;
KF;885;Borgholm;Kapitalism med vänligt ansikte; ;1495;;;
KF;885;Borgholm;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;885;Borgholm;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;885;Borgholm;Kristdemokraterna;KD;68;4.054758800521512;https://kristdemokraterna.se/;#231977
KF;885;Borgholm;Kristna Värdepartiet;KrVP;1551;0.05215123859191656;https://www.kristnavardepartiet.se/;
KF;885;Borgholm;KSP; ;1612;;;
KF;885;Borgholm;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;885;Borgholm;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;885;Borgholm;Liberalerna (tidigare Folkpartiet);L;3;1.3820078226857888;https://www.liberalerna.se/;#6BB7EC
KF;885;Borgholm;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;885;Borgholm;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;885;Borgholm;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;885;Borgholm;Miljöpartiet de gröna;MP;55;1.7731421121251632;https://www.mp.se/;#83CF39
KF;885;Borgholm;Min röst; ;1437;;;
KF;885;Borgholm;MITT SVERIGE; ;1591;;;
KF;885;Borgholm;MoD; ;1568;;https://partietmod.se/;
KF;885;Borgholm;Moderaterna;M;1;15.867014341590613;https://moderaterna.se/;#1B49DD
KF;885;Borgholm;Monisterna; ;1502;;;
KF;885;Borgholm;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;885;Borgholm;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;885;Borgholm;NaturFilosoferna; ;1460;;;
KF;885;Borgholm;Naturistpartiet; ;1627;;;
KF;885;Borgholm;Neoteknokraterna; ;1613;;;
KF;885;Borgholm;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;885;Borgholm;Nu får det fan vara nog; ;1623;;;
KF;885;Borgholm;Ny Demokrati; ;1596;;;
KF;885;Borgholm;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;885;Borgholm;Nya Frihetspartiet; ;1443;;;
KF;885;Borgholm;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;885;Borgholm;OK; ;1478;;;
KF;885;Borgholm;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;885;Borgholm;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
KF;885;Borgholm;Partiet Frihet; ;1599;;;
KF;885;Borgholm;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/;
KF;885;Borgholm;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/;
KF;885;Borgholm;Pax; ;1491;;https://www.paxpartiet.se/;
KF;885;Borgholm;Piratpartiet;PP;524;0.0;https://piratpartiet.se/;
KF;885;Borgholm;Politiskt Skifte; ;1617;;;
KF;885;Borgholm;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/;
KF;885;Borgholm;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna;
KF;885;Borgholm;Reformpartiet; ;1616;;;
KF;885;Borgholm;Rikspolitiska partiet; ;1496;;;
KF;885;Borgholm;SKP;Skp;1586;;https://skp.se;
KF;885;Borgholm;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/;
KF;885;Borgholm;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/;
KF;885;Borgholm;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/;
KF;885;Borgholm;Stora Norrlands oberoende Frihetsparti; ;1559;;;
KF;885;Borgholm;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige;
KF;885;Borgholm;Svensk Jobbdemokrati; ;1603;;;
KF;885;Borgholm;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/;
KF;885;Borgholm;SVENSKARNA; ;1444;;https://svenskarna.org/;
KF;885;Borgholm;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;;
KF;885;Borgholm;Sverigedemokraterna;SD;110;9.556714471968709;https://sd.se/;#DDDD00
KF;885;Borgholm;Sverigepartiet; ;1457;;https://sverigepartiet.se/;
KF;885;Borgholm;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html;
KF;885;Borgholm;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/;
KF;885;Borgholm;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/;
KF;885;Borgholm;Upprorsdemokraterna; ;1630;;;
KF;885;Borgholm;Valsamverkanspartiet; ;1526;;;
KF;885;Borgholm;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/;
KF;885;Borgholm;Volt Sverige;Volt;1610;;;
KF;885;Borgholm;Vänsterpartiet;V;5;3.6245110821382007;https://www.vansterpartiet.se/;#AF0000
KF;885;Borgholm;Yggdrasil; ;1454;;;
KF;885;Borgholm;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/;
KF;885;Borgholm;Ölandspartiet;Öland;336;4.485006518904823;https://www.olandspartiet.se/;
