VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1272;Bromölla;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1272;Bromölla;Alternativet;Alt;1284;10.41869522882181;;
KF;1272;Bromölla;ANARKISTERNA; ;1628;;;
KF;1272;Bromölla;ANDOPARTIET; ;1602;;;
KF;1272;Bromölla;Arbetarepartiet-Socialdemokraterna;S;2;30.47711781888997;https://www.socialdemokraterna.se/;#EE2020
KF;1272;Bromölla;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1272;Bromölla;Bjornpartiet; ;1629;;;
KF;1272;Bromölla;Centerpartiet;C;4;2.689873417721519;https://www.centerpartiet.se/;#009933
KF;1272;Bromölla;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1272;Bromölla;Det minst dåliga partiet; ;1622;;;
KF;1272;Bromölla;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1272;Bromölla;Drivkraft; ;1621;;;
KF;1272;Bromölla;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1272;Bromölla;Enad Politik; ;1589;;;
KF;1272;Bromölla;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1272;Bromölla;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1272;Bromölla;Enskild person/Riksdagen val; ;1614;;;
KF;1272;Bromölla;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1272;Bromölla;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1272;Bromölla;EUSEC; ;1534;;;
KF;1272;Bromölla;FAMILJENS FRIHET; ;1606;;;
KF;1272;Bromölla;Fattigmans parti; ;1618;;;
KF;1272;Bromölla;Feministiskt initiativ;FI;532;0.060856864654333015;https://feministisktinitiativ.se/;
KF;1272;Bromölla;FN Parti art.27; ;1631;;;
KF;1272;Bromölla;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1272;Bromölla;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1272;Bromölla;Fredspartiet; ;1484;;;
KF;1272;Bromölla;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1272;Bromölla;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1272;Bromölla;Fritt val; ;1479;;;
KF;1272;Bromölla;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1272;Bromölla;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1272;Bromölla;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1272;Bromölla;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
