VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1278;Båstad;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1278;Båstad;ANARKISTERNA; ;1628;;;
KF;1278;Båstad;ANDOPARTIET; ;1602;;;
KF;1278;Båstad;Arbetarepartiet-Socialdemokraterna;S;2;14.102812803103781;https://www.socialdemokraterna.se/;#EE2020
KF;1278;Båstad;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1278;Båstad;Bjornpartiet; ;1629;;;
KF;1278;Båstad;Bjärepartiet;BJP;163;22.21144519883608;http://bjarepartiet.se/;
KF;1278;Båstad;Centerpartiet;C;4;14.151309408341417;https://www.centerpartiet.se/;#009933
KF;1278;Båstad;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1278;Båstad;Det minst dåliga partiet; ;1622;;;
KF;1278;Båstad;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1278;Båstad;Drivkraft; ;1621;;;
KF;1278;Båstad;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1278;Båstad;Enad Politik; ;1589;;;
KF;1278;Båstad;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1278;Båstad;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1278;Båstad;Enskild person/Riksdagen val; ;1614;;;
KF;1278;Båstad;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1278;Båstad;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1278;Båstad;EUSEC; ;1534;;;
KF;1278;Båstad;FAMILJENS FRIHET; ;1606;;;
KF;1278;Båstad;Fattigmans parti; ;1618;;;
KF;1278;Båstad;Feministiskt initiativ;FI;532;0.15518913676042675;https://feministisktinitiativ.se/;
KF;1278;Båstad;FN Parti art.27; ;1631;;;
KF;1278;Båstad;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1278;Båstad;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1278;Båstad;Fredspartiet; ;1484;;;
KF;1278;Båstad;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1278;Båstad;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1278;Båstad;Fritt val; ;1479;;;
KF;1278;Båstad;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1278;Båstad;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1278;Båstad;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1278;Båstad;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;1278;Båstad;Humanistisk demokrati (HD);HD;1480;;;
KF;1278;Båstad;Invandrarpartiet; ;1624;;;
KF;1278;Båstad;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;1278;Båstad;Kalle ankapartiet; ;1579;;;
KF;1278;Båstad;Kapitalism med vänligt ansikte; ;1495;;;
KF;1278;Båstad;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;1278;Båstad;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;1278;Båstad;Kristdemokraterna;KD;68;2.046556741028128;https://kristdemokraterna.se/;#231977
KF;1278;Båstad;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;1278;Båstad;KSP; ;1612;;;
