VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;162;Danderyd;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;162;Danderyd;ANARKISTERNA; ;1628;;;
KF;162;Danderyd;ANDOPARTIET; ;1602;;;
KF;162;Danderyd;Arbetarepartiet-Socialdemokraterna;S;2;7.525739877187313;https://www.socialdemokraterna.se/;#EE2020
KF;162;Danderyd;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;162;Danderyd;Bjornpartiet; ;1629;;;
KF;162;Danderyd;Centerpartiet;C;4;23.38058082090586;https://www.centerpartiet.se/;#009933
KF;162;Danderyd;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;162;Danderyd;Det minst dåliga partiet; ;1622;;;
KF;162;Danderyd;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;162;Danderyd;Drivkraft; ;1621;;;
KF;162;Danderyd;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;162;Danderyd;Enad Politik; ;1589;;;
KF;162;Danderyd;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;162;Danderyd;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;162;Danderyd;Enskild person/Riksdagen val; ;1614;;;
KF;162;Danderyd;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;162;Danderyd;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;162;Danderyd;EUSEC; ;1534;;;
KF;162;Danderyd;FAMILJENS FRIHET; ;1606;;;
KF;162;Danderyd;Fattigmans parti; ;1618;;;
KF;162;Danderyd;Feministiskt initiativ;FI;532;0.2308509164781384;https://feministisktinitiativ.se/;
KF;162;Danderyd;FN Parti art.27; ;1631;;;
KF;162;Danderyd;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;162;Danderyd;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;162;Danderyd;Fredspartiet; ;1484;;;
KF;162;Danderyd;Fria Wermland; ;1548;;https://friawermland.se/;
KF;162;Danderyd;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;162;Danderyd;Fritt val; ;1479;;;
KF;162;Danderyd;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;162;Danderyd;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;162;Danderyd;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;162;Danderyd;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;162;Danderyd;Humanistisk demokrati (HD);HD;1480;;;
KF;162;Danderyd;Invandrarpartiet; ;1624;;;
KF;162;Danderyd;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;162;Danderyd;Kalle ankapartiet; ;1579;;;
KF;162;Danderyd;Kapitalism med vänligt ansikte; ;1495;;;
KF;162;Danderyd;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;162;Danderyd;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;162;Danderyd;Kristdemokraterna;KD;68;9.72344060205919;https://kristdemokraterna.se/;#231977
KF;162;Danderyd;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;162;Danderyd;KSP; ;1612;;;
KF;162;Danderyd;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;162;Danderyd;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;162;Danderyd;Liberalerna (tidigare Folkpartiet);L;3;15.000692552749435;https://www.liberalerna.se/;#6BB7EC
KF;162;Danderyd;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;162;Danderyd;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;162;Danderyd;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;162;Danderyd;Miljöpartiet de gröna;MP;55;4.261507918186435;https://www.mp.se/;#83CF39
KF;162;Danderyd;Min röst; ;1437;;;
KF;162;Danderyd;MITT SVERIGE; ;1591;;;
KF;162;Danderyd;MoD; ;1568;;https://partietmod.se/;
KF;162;Danderyd;Moderaterna;M;1;30.94325684472967;https://moderaterna.se/;#1B49DD
KF;162;Danderyd;Monisterna; ;1502;;;
KF;162;Danderyd;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;162;Danderyd;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;162;Danderyd;NaturFilosoferna; ;1460;;;
KF;162;Danderyd;Naturistpartiet; ;1627;;;
KF;162;Danderyd;Neoteknokraterna; ;1613;;;
KF;162;Danderyd;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;162;Danderyd;Nu får det fan vara nog; ;1623;;;
KF;162;Danderyd;Ny Demokrati; ;1596;;;
KF;162;Danderyd;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;162;Danderyd;Nya Danderydspartiet; ;1557;;https://nyadanderydspartiet.se/;
KF;162;Danderyd;Nya Frihetspartiet; ;1443;;;
KF;162;Danderyd;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;162;Danderyd;OK; ;1478;;;
KF;162;Danderyd;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;162;Danderyd;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
KF;162;Danderyd;Partiet Frihet; ;1599;;;
KF;162;Danderyd;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/;
KF;162;Danderyd;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/;
KF;162;Danderyd;Pax; ;1491;;https://www.paxpartiet.se/;
KF;162;Danderyd;Piratpartiet;PP;524;0.0;https://piratpartiet.se/;
KF;162;Danderyd;Politiskt Skifte; ;1617;;;
KF;162;Danderyd;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/;
KF;162;Danderyd;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna;
KF;162;Danderyd;Reformpartiet; ;1616;;;
KF;162;Danderyd;Rikspolitiska partiet; ;1496;;;
KF;162;Danderyd;SKP;Skp;1586;;https://skp.se;
KF;162;Danderyd;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/;
KF;162;Danderyd;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/;
KF;162;Danderyd;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/;
KF;162;Danderyd;Stora Norrlands oberoende Frihetsparti; ;1559;;;
KF;162;Danderyd;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige;
KF;162;Danderyd;Svensk Jobbdemokrati; ;1603;;;
KF;162;Danderyd;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/;
KF;162;Danderyd;SVENSKARNA; ;1444;;https://svenskarna.org/;
KF;162;Danderyd;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;;
KF;162;Danderyd;Sverigedemokraterna;SD;110;5.72048571032827;https://sd.se/;#DDDD00
KF;162;Danderyd;Sverigepartiet; ;1457;;https://sverigepartiet.se/;
KF;162;Danderyd;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html;
KF;162;Danderyd;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/;
KF;162;Danderyd;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/;
KF;162;Danderyd;Upprorsdemokraterna; ;1630;;;
KF;162;Danderyd;Valsamverkanspartiet; ;1526;;;
KF;162;Danderyd;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/;
KF;162;Danderyd;Volt Sverige;Volt;1610;;;
KF;162;Danderyd;Vänsterpartiet;V;5;1.6067223786878433;https://www.vansterpartiet.se/;#AF0000
KF;162;Danderyd;Yggdrasil; ;1454;;;
KF;162;Danderyd;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/;
