VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;125;Ekerö;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;125;Ekerö;ANARKISTERNA; ;1628;;;
KF;125;Ekerö;ANDOPARTIET; ;1602;;;
KF;125;Ekerö;Arbetarepartiet-Socialdemokraterna;S;2;15.243357892386694;https://www.socialdemokraterna.se/;#EE2020
KF;125;Ekerö;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;125;Ekerö;Bjornpartiet; ;1629;;;
KF;125;Ekerö;Centerpartiet;C;4;7.981692342040635;https://www.centerpartiet.se/;#009933
KF;125;Ekerö;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;125;Ekerö;Det minst dåliga partiet; ;1622;;;
KF;125;Ekerö;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;125;Ekerö;Drivkraft; ;1621;;;
KF;125;Ekerö;Ekeröpartiet; ;1481;;;
KF;125;Ekerö;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;125;Ekerö;Enad Politik; ;1589;;;
KF;125;Ekerö;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;125;Ekerö;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;125;Ekerö;Enskild person/Riksdagen val; ;1614;;;
KF;125;Ekerö;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;125;Ekerö;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;125;Ekerö;EUSEC; ;1534;;;
KF;125;Ekerö;FAMILJENS FRIHET; ;1606;;;
KF;125;Ekerö;Fattigmans parti; ;1618;;;
KF;125;Ekerö;Feministiskt initiativ;FI;532;0.22326412145568209;https://feministisktinitiativ.se/;
KF;125;Ekerö;FN Parti art.27; ;1631;;;
KF;125;Ekerö;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;125;Ekerö;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;125;Ekerö;Fredspartiet; ;1484;;;
KF;125;Ekerö;Fria Wermland; ;1548;;https://friawermland.se/;
KF;125;Ekerö;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;125;Ekerö;Fritt val; ;1479;;;
KF;125;Ekerö;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;125;Ekerö;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;125;Ekerö;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;125;Ekerö;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;125;Ekerö;Humanistisk demokrati (HD);HD;1480;;;
KF;125;Ekerö;Invandrarpartiet; ;1624;;;
KF;125;Ekerö;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
