VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;484;Eskilstuna;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;484;Eskilstuna;ANARKISTERNA; ;1628;;
KF;484;Eskilstuna;ANDOPARTIET; ;1602;;
KF;484;Eskilstuna;Arbetarepartiet-Socialdemokraterna;S;2;35.28905712319339;https://www.socialdemokraterna.se/
KF;484;Eskilstuna;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;484;Eskilstuna;Bjornpartiet; ;1629;;
KF;484;Eskilstuna;Centerpartiet;C;4;5.699806043921667;https://www.centerpartiet.se/
KF;484;Eskilstuna;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;484;Eskilstuna;Det minst dåliga partiet; ;1622;;
KF;484;Eskilstuna;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;484;Eskilstuna;Drivkraft; ;1621;;
KF;484;Eskilstuna;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;484;Eskilstuna;Enad Politik; ;1589;;
KF;484;Eskilstuna;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;484;Eskilstuna;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;484;Eskilstuna;Enskild person/Riksdagen val; ;1614;;
KF;484;Eskilstuna;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;484;Eskilstuna;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;484;Eskilstuna;EUSEC; ;1534;;
KF;484;Eskilstuna;FAMILJENS FRIHET; ;1606;;
KF;484;Eskilstuna;Fattigmans parti; ;1618;;
KF;484;Eskilstuna;Feministiskt initiativ;FI;532;0.22054683100794595;https://feministisktinitiativ.se/
KF;484;Eskilstuna;FN Parti art.27; ;1631;;
KF;484;Eskilstuna;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;484;Eskilstuna;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;484;Eskilstuna;Fredspartiet; ;1484;;
KF;484;Eskilstuna;Fria Wermland; ;1548;;https://friawermland.se/
KF;484;Eskilstuna;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;484;Eskilstuna;Fritt val; ;1479;;
KF;484;Eskilstuna;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;484;Eskilstuna;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;484;Eskilstuna;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;484;Eskilstuna;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;484;Eskilstuna;Humanistisk demokrati (HD);HD;1480;;
KF;484;Eskilstuna;Invandrarpartiet; ;1624;;
KF;484;Eskilstuna;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;484;Eskilstuna;Kalle ankapartiet; ;1579;;
KF;484;Eskilstuna;Kapitalism med vänligt ansikte; ;1495;;
KF;484;Eskilstuna;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;484;Eskilstuna;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;484;Eskilstuna;Kristdemokraterna;KD;68;3.4599261715572793;https://kristdemokraterna.se/
KF;484;Eskilstuna;Kristna Värdepartiet;KrVP;1551;0.004692485766126509;https://www.kristnavardepartiet.se/
KF;484;Eskilstuna;KSP; ;1612;;
KF;484;Eskilstuna;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;484;Eskilstuna;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;484;Eskilstuna;Liberalerna (tidigare Folkpartiet);L;3;5.4276418694863295;https://www.liberalerna.se/
KF;484;Eskilstuna;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;484;Eskilstuna;Medborgarresan; ;1330;;https://citizenwell.se/
KF;484;Eskilstuna;Medborgerlig Samling;MED;1296;0.41137458549709066;https://www.medborgerligsamling.se/
KF;484;Eskilstuna;Miljöpartiet de gröna;MP;55;3.4802602765438277;https://www.mp.se/
KF;484;Eskilstuna;Min röst; ;1437;;
KF;484;Eskilstuna;MITT SVERIGE; ;1591;;
KF;484;Eskilstuna;MoD; ;1568;;https://partietmod.se/
KF;484;Eskilstuna;Moderaterna;M;1;18.76368641681787;https://moderaterna.se/
KF;484;Eskilstuna;Monisterna; ;1502;;
KF;484;Eskilstuna;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;484;Eskilstuna;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;484;Eskilstuna;NaturFilosoferna; ;1460;;
KF;484;Eskilstuna;Naturistpartiet; ;1627;;
KF;484;Eskilstuna;Neoteknokraterna; ;1613;;
KF;484;Eskilstuna;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;484;Eskilstuna;Nu får det fan vara nog; ;1623;;
KF;484;Eskilstuna;Ny Demokrati; ;1596;;
KF;484;Eskilstuna;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;484;Eskilstuna;Nya Frihetspartiet; ;1443;;
KF;484;Eskilstuna;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;484;Eskilstuna;OK; ;1478;;
KF;484;Eskilstuna;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;484;Eskilstuna;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;484;Eskilstuna;Partiet Frihet; ;1599;;
KF;484;Eskilstuna;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
KF;484;Eskilstuna;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;484;Eskilstuna;Pax; ;1491;;https://www.paxpartiet.se/
KF;484;Eskilstuna;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;484;Eskilstuna;Politiskt Skifte; ;1617;;
KF;484;Eskilstuna;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;484;Eskilstuna;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;484;Eskilstuna;Reformpartiet; ;1616;;
KF;484;Eskilstuna;Rikspolitiska partiet; ;1496;;
KF;484;Eskilstuna;SKP;Skp;1586;;https://skp.se
KF;484;Eskilstuna;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;484;Eskilstuna;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;484;Eskilstuna;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;484;Eskilstuna;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;484;Eskilstuna;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;484;Eskilstuna;Svensk Jobbdemokrati; ;1603;;
KF;484;Eskilstuna;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;484;Eskilstuna;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;484;Eskilstuna;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;484;Eskilstuna;Sverigedemokraterna;SD;110;19.336169680285302;https://sd.se/
KF;484;Eskilstuna;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;484;Eskilstuna;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
