VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1445;Essunga;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1445;Essunga;ANARKISTERNA; ;1628;;;
KF;1445;Essunga;ANDOPARTIET; ;1602;;;
KF;1445;Essunga;Arbetarepartiet-Socialdemokraterna;S;2;21.81528662420382;https://www.socialdemokraterna.se/;#EE2020
KF;1445;Essunga;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1445;Essunga;Bjornpartiet; ;1629;;;
KF;1445;Essunga;Centerpartiet;C;4;11.969214437367304;https://www.centerpartiet.se/;#009933
KF;1445;Essunga;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1445;Essunga;Det minst dåliga partiet; ;1622;;;
KF;1445;Essunga;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1445;Essunga;Drivkraft; ;1621;;;
KF;1445;Essunga;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1445;Essunga;Enad Politik; ;1589;;;
KF;1445;Essunga;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1445;Essunga;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1445;Essunga;Enskild person/Riksdagen val; ;1614;;;
KF;1445;Essunga;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1445;Essunga;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1445;Essunga;EUSEC; ;1534;;;
KF;1445;Essunga;FAMILJENS FRIHET; ;1606;;;
KF;1445;Essunga;Fattigmans parti; ;1618;;;
KF;1445;Essunga;Feministiskt initiativ;FI;532;0.07961783439490447;https://feministisktinitiativ.se/;
KF;1445;Essunga;FN Parti art.27; ;1631;;;
KF;1445;Essunga;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1445;Essunga;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1445;Essunga;Fredspartiet; ;1484;;;
KF;1445;Essunga;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1445;Essunga;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1445;Essunga;Fritt val; ;1479;;;
KF;1445;Essunga;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1445;Essunga;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1445;Essunga;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1445;Essunga;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;1445;Essunga;Humanistisk demokrati (HD);HD;1480;;;
KF;1445;Essunga;Invandrarpartiet; ;1624;;;
KF;1445;Essunga;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;1445;Essunga;Kalle ankapartiet; ;1579;;;
KF;1445;Essunga;Kapitalism med vänligt ansikte; ;1495;;;
KF;1445;Essunga;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;1445;Essunga;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;1445;Essunga;Kristdemokraterna;KD;68;3.0254777070063694;https://kristdemokraterna.se/;#231977
