VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1382;Falkenberg;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1382;Falkenberg;ANARKISTERNA; ;1628;;;
KF;1382;Falkenberg;ANDOPARTIET; ;1602;;;
KF;1382;Falkenberg;Arbetarepartiet-Socialdemokraterna;S;2;33.64857969042354;https://www.socialdemokraterna.se/;#EE2020
KF;1382;Falkenberg;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1382;Falkenberg;Bjornpartiet; ;1629;;;
KF;1382;Falkenberg;Centerpartiet;C;4;19.618982820207517;https://www.centerpartiet.se/;#009933
KF;1382;Falkenberg;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1382;Falkenberg;Det minst dåliga partiet; ;1622;;;
KF;1382;Falkenberg;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1382;Falkenberg;Drivkraft; ;1621;;;
KF;1382;Falkenberg;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1382;Falkenberg;Enad Politik; ;1589;;;
KF;1382;Falkenberg;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1382;Falkenberg;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1382;Falkenberg;Enskild person/Riksdagen val; ;1614;;;
KF;1382;Falkenberg;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1382;Falkenberg;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1382;Falkenberg;EUSEC; ;1534;;;
KF;1382;Falkenberg;FAMILJENS FRIHET; ;1606;;;
KF;1382;Falkenberg;Fattigmans parti; ;1618;;;
KF;1382;Falkenberg;Feministiskt initiativ;FI;532;0.0646368430005103;https://feministisktinitiativ.se/;
KF;1382;Falkenberg;FN Parti art.27; ;1631;;;
KF;1382;Falkenberg;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1382;Falkenberg;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1382;Falkenberg;Fredspartiet; ;1484;;;
KF;1382;Falkenberg;Fria Wermland; ;1548;;https://friawermland.se/;
