VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;482;Flen;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;482;Flen;ANARKISTERNA; ;1628;;;
KF;482;Flen;ANDOPARTIET; ;1602;;;
KF;482;Flen;Arbetarepartiet-Socialdemokraterna;S;2;30.159497341710974;https://www.socialdemokraterna.se/;#EE2020
KF;482;Flen;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;482;Flen;Bjornpartiet; ;1629;;;
KF;482;Flen;Centerpartiet;C;4;13.320444659255678;https://www.centerpartiet.se/;#009933
KF;482;Flen;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;482;Flen;Det minst dåliga partiet; ;1622;;;
KF;482;Flen;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;482;Flen;Drivkraft; ;1621;;;
KF;482;Flen;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;482;Flen;Enad Politik; ;1589;;;
KF;482;Flen;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;482;Flen;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;482;Flen;Enskild person/Riksdagen val; ;1614;;;
KF;482;Flen;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;482;Flen;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;482;Flen;EUSEC; ;1534;;;
KF;482;Flen;FAMILJENS FRIHET; ;1606;;;
KF;482;Flen;Fattigmans parti; ;1618;;;
KF;482;Flen;Feministiskt initiativ;FI;532;0.1933301111648139;https://feministisktinitiativ.se/;
KF;482;Flen;FN Parti art.27; ;1631;;;
KF;482;Flen;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;482;Flen;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;482;Flen;Fredspartiet; ;1484;;;
KF;482;Flen;Fria Wermland; ;1548;;https://friawermland.se/;
KF;482;Flen;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;482;Flen;Fritt val; ;1479;;;
KF;482;Flen;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
