VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1439;Färgelanda;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1439;Färgelanda;ANARKISTERNA; ;1628;;
KF;1439;Färgelanda;ANDOPARTIET; ;1602;;
KF;1439;Färgelanda;Arbetarepartiet-Socialdemokraterna;S;2;24.318022849148985;https://www.socialdemokraterna.se/
KF;1439;Färgelanda;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1439;Färgelanda;Bjornpartiet; ;1629;;
KF;1439;Färgelanda;Centerpartiet;C;4;31.19608300303101;https://www.centerpartiet.se/
KF;1439;Färgelanda;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1439;Färgelanda;Det minst dåliga partiet; ;1622;;
KF;1439;Färgelanda;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1439;Färgelanda;Drivkraft; ;1621;;
KF;1439;Färgelanda;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1439;Färgelanda;Enad Politik; ;1589;;
KF;1439;Färgelanda;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1439;Färgelanda;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1439;Färgelanda;Enskild person/Riksdagen val; ;1614;;
KF;1439;Färgelanda;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;1439;Färgelanda;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;1439;Färgelanda;EUSEC; ;1534;;
KF;1439;Färgelanda;FAMILJENS FRIHET; ;1606;;
KF;1439;Färgelanda;Fattigmans parti; ;1618;;
KF;1439;Färgelanda;Feministiskt initiativ;FI;532;0.11657729074376312;https://feministisktinitiativ.se/
KF;1439;Färgelanda;FN Parti art.27; ;1631;;
KF;1439;Färgelanda;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1439;Färgelanda;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1439;Färgelanda;Fredspartiet; ;1484;;
KF;1439;Färgelanda;Fria Wermland; ;1548;;https://friawermland.se/
KF;1439;Färgelanda;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1439;Färgelanda;Fritt val; ;1479;;
KF;1439;Färgelanda;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1439;Färgelanda;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1439;Färgelanda;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1439;Färgelanda;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1439;Färgelanda;Humanistisk demokrati (HD);HD;1480;;
KF;1439;Färgelanda;Invandrarpartiet; ;1624;;
KF;1439;Färgelanda;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1439;Färgelanda;Kalle ankapartiet; ;1579;;
KF;1439;Färgelanda;Kapitalism med vänligt ansikte; ;1495;;
KF;1439;Färgelanda;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1439;Färgelanda;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1439;Färgelanda;Kristdemokraterna;KD;68;1.0725110748426205;https://kristdemokraterna.se/
KF;1439;Färgelanda;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;1439;Färgelanda;KSP; ;1612;;
KF;1439;Färgelanda;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;1439;Färgelanda;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1439;Färgelanda;Liberalerna (tidigare Folkpartiet);L;3;5.525763581254372;https://www.liberalerna.se/
KF;1439;Färgelanda;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;1439;Färgelanda;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1439;Färgelanda;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1439;Färgelanda;Miljöpartiet de gröna;MP;55;1.0725110748426205;https://www.mp.se/
KF;1439;Färgelanda;Min röst; ;1437;;
KF;1439;Färgelanda;MITT SVERIGE; ;1591;;
KF;1439;Färgelanda;MoD; ;1568;;https://partietmod.se/
KF;1439;Färgelanda;Moderaterna;M;1;10.118908836558639;https://moderaterna.se/
KF;1439;Färgelanda;Monisterna; ;1502;;
KF;1439;Färgelanda;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1439;Färgelanda;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1439;Färgelanda;NaturFilosoferna; ;1460;;
KF;1439;Färgelanda;Naturistpartiet; ;1627;;
KF;1439;Färgelanda;Neoteknokraterna; ;1613;;
KF;1439;Färgelanda;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1439;Färgelanda;Nu får det fan vara nog; ;1623;;
KF;1439;Färgelanda;Ny Demokrati; ;1596;;
KF;1439;Färgelanda;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1439;Färgelanda;Nya Frihetspartiet; ;1443;;
KF;1439;Färgelanda;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1439;Färgelanda;OK; ;1478;;
KF;1439;Färgelanda;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;1439;Färgelanda;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;1439;Färgelanda;Partiet Frihet; ;1599;;
KF;1439;Färgelanda;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
KF;1439;Färgelanda;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;1439;Färgelanda;Pax; ;1491;;https://www.paxpartiet.se/
KF;1439;Färgelanda;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;1439;Färgelanda;Politiskt Skifte; ;1617;;
KF;1439;Färgelanda;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;1439;Färgelanda;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;1439;Färgelanda;Reformpartiet; ;1616;;
KF;1439;Färgelanda;Rikspolitiska partiet; ;1496;;
KF;1439;Färgelanda;SKP;Skp;1586;;https://skp.se
KF;1439;Färgelanda;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;1439;Färgelanda;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;1439;Färgelanda;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;1439;Färgelanda;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;1439;Färgelanda;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;1439;Färgelanda;Svensk Jobbdemokrati; ;1603;;
KF;1439;Färgelanda;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;1439;Färgelanda;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;1439;Färgelanda;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;1439;Färgelanda;Sverigedemokraterna;SD;110;22.522732571695034;https://sd.se/
KF;1439;Färgelanda;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;1439;Färgelanda;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;1439;Färgelanda;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;1439;Färgelanda;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;1439;Färgelanda;Upprorsdemokraterna; ;1630;;
KF;1439;Färgelanda;Valsamverkanspartiet; ;1526;;
KF;1439;Färgelanda;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;1439;Färgelanda;Volt Sverige;Volt;1610;;
KF;1439;Färgelanda;Vänsterpartiet;V;5;4.010258801585452;https://www.vansterpartiet.se/
KF;1439;Färgelanda;Yggdrasil; ;1454;;
KF;1439;Färgelanda;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
