VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1447;Gullspång;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1447;Gullspång;ANARKISTERNA; ;1628;;;
KF;1447;Gullspång;ANDOPARTIET; ;1602;;;
KF;1447;Gullspång;Arbetarepartiet-Socialdemokraterna;S;2;33.217592592592595;https://www.socialdemokraterna.se/;#EE2020
KF;1447;Gullspång;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1447;Gullspång;Bjornpartiet; ;1629;;;
KF;1447;Gullspång;Centerpartiet;C;4;9.98263888888889;https://www.centerpartiet.se/;#009933
KF;1447;Gullspång;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1447;Gullspång;Det minst dåliga partiet; ;1622;;;
KF;1447;Gullspång;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1447;Gullspång;Drivkraft; ;1621;;;
KF;1447;Gullspång;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1447;Gullspång;Enad Politik; ;1589;;;
KF;1447;Gullspång;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1447;Gullspång;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1447;Gullspång;Enskild person/Riksdagen val; ;1614;;;
KF;1447;Gullspång;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1447;Gullspång;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1447;Gullspång;EUSEC; ;1534;;;
KF;1447;Gullspång;FAMILJENS FRIHET; ;1606;;;
KF;1447;Gullspång;Fattigmans parti; ;1618;;;
KF;1447;Gullspång;Feministiskt initiativ;FI;532;4.079861111111112;https://feministisktinitiativ.se/;
KF;1447;Gullspång;FN Parti art.27; ;1631;;;
KF;1447;Gullspång;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1447;Gullspång;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1447;Gullspång;Fredspartiet; ;1484;;;
KF;1447;Gullspång;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1447;Gullspång;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
