VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1861;Hallsberg;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1861;Hallsberg;ANARKISTERNA; ;1628;;;
KF;1861;Hallsberg;ANDOPARTIET; ;1602;;;
KF;1861;Hallsberg;Arbetarepartiet-Socialdemokraterna;S;2;40.05220417633411;https://www.socialdemokraterna.se/;#EE2020
KF;1861;Hallsberg;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1861;Hallsberg;Bjornpartiet; ;1629;;;
KF;1861;Hallsberg;Centerpartiet;C;4;10.634184068058778;https://www.centerpartiet.se/;#009933
KF;1861;Hallsberg;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1861;Hallsberg;Det minst dåliga partiet; ;1622;;;
KF;1861;Hallsberg;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1861;Hallsberg;Drivkraft; ;1621;;;
KF;1861;Hallsberg;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1861;Hallsberg;Enad Politik; ;1589;;;
KF;1861;Hallsberg;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1861;Hallsberg;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1861;Hallsberg;Enskild person/Riksdagen val; ;1614;;;
KF;1861;Hallsberg;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1861;Hallsberg;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1861;Hallsberg;EUSEC; ;1534;;;
KF;1861;Hallsberg;FAMILJENS FRIHET; ;1606;;;
KF;1861;Hallsberg;Fattigmans parti; ;1618;;;
KF;1861;Hallsberg;Feministiskt initiativ;FI;532;0.14501160092807425;https://feministisktinitiativ.se/;
KF;1861;Hallsberg;FN Parti art.27; ;1631;;;
KF;1861;Hallsberg;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1861;Hallsberg;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1861;Hallsberg;Fredspartiet; ;1484;;;
KF;1861;Hallsberg;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1861;Hallsberg;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1861;Hallsberg;Fritt val; ;1479;;;
KF;1861;Hallsberg;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1861;Hallsberg;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1861;Hallsberg;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1861;Hallsberg;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;1861;Hallsberg;Humanistisk demokrati (HD);HD;1480;;;
KF;1861;Hallsberg;Invandrarpartiet; ;1624;;;
KF;1861;Hallsberg;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;1861;Hallsberg;Kalle ankapartiet; ;1579;;;
KF;1861;Hallsberg;Kapitalism med vänligt ansikte; ;1495;;;
KF;1861;Hallsberg;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;1861;Hallsberg;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;1861;Hallsberg;Kristdemokraterna;KD;68;4.862722351121422;https://kristdemokraterna.se/;#231977
KF;1861;Hallsberg;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;1861;Hallsberg;KSP; ;1612;;;
KF;1861;Hallsberg;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;1861;Hallsberg;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;1861;Hallsberg;Liberalerna (tidigare Folkpartiet);L;3;2.8035576179427686;https://www.liberalerna.se/;#6BB7EC
KF;1861;Hallsberg;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;1861;Hallsberg;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;1861;Hallsberg;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;1861;Hallsberg;Miljöpartiet de gröna;MP;55;2.8035576179427686;https://www.mp.se/;#83CF39
KF;1861;Hallsberg;Min röst; ;1437;;;
KF;1861;Hallsberg;MITT SVERIGE; ;1591;;;
KF;1861;Hallsberg;MoD; ;1568;;https://partietmod.se/;
KF;1861;Hallsberg;Moderaterna;M;1;15.129543696829078;https://moderaterna.se/;#1B49DD
KF;1861;Hallsberg;Monisterna; ;1502;;;
KF;1861;Hallsberg;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;1861;Hallsberg;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;1861;Hallsberg;NaturFilosoferna; ;1460;;;
KF;1861;Hallsberg;Naturistpartiet; ;1627;;;
KF;1861;Hallsberg;Neoteknokraterna; ;1613;;;
KF;1861;Hallsberg;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;1861;Hallsberg;Nu får det fan vara nog; ;1623;;;
KF;1861;Hallsberg;Ny Demokrati; ;1596;;;
KF;1861;Hallsberg;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;1861;Hallsberg;Nya Frihetspartiet; ;1443;;;
KF;1861;Hallsberg;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;1861;Hallsberg;OK; ;1478;;;
KF;1861;Hallsberg;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;1861;Hallsberg;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
KF;1861;Hallsberg;Partiet Frihet; ;1599;;;
KF;1861;Hallsberg;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/;
KF;1861;Hallsberg;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/;
KF;1861;Hallsberg;Pax; ;1491;;https://www.paxpartiet.se/;
KF;1861;Hallsberg;Piratpartiet;PP;524;0.0;https://piratpartiet.se/;
KF;1861;Hallsberg;Politiskt Skifte; ;1617;;;
KF;1861;Hallsberg;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/;
KF;1861;Hallsberg;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna;
KF;1861;Hallsberg;Reformpartiet; ;1616;;;
KF;1861;Hallsberg;Rikspolitiska partiet; ;1496;;;
KF;1861;Hallsberg;SKP;Skp;1586;;https://skp.se;
KF;1861;Hallsberg;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/;
KF;1861;Hallsberg;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/;
KF;1861;Hallsberg;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/;
KF;1861;Hallsberg;Stora Norrlands oberoende Frihetsparti; ;1559;;;
KF;1861;Hallsberg;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige;
KF;1861;Hallsberg;Svensk Jobbdemokrati; ;1603;;;
KF;1861;Hallsberg;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/;
KF;1861;Hallsberg;SVENSKARNA; ;1444;;https://svenskarna.org/;
KF;1861;Hallsberg;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;;
KF;1861;Hallsberg;Sverigedemokraterna;SD;110;16.744006187161638;https://sd.se/;#DDDD00
KF;1861;Hallsberg;Sverigepartiet; ;1457;;https://sverigepartiet.se/;
KF;1861;Hallsberg;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html;
KF;1861;Hallsberg;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/;
KF;1861;Hallsberg;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/;
KF;1861;Hallsberg;Upprorsdemokraterna; ;1630;;;
KF;1861;Hallsberg;Valsamverkanspartiet; ;1526;;;
KF;1861;Hallsberg;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/;
KF;1861;Hallsberg;Volt Sverige;Volt;1610;;;
KF;1861;Hallsberg;Vänsterpartiet;V;5;6.680201082753287;https://www.vansterpartiet.se/;#AF0000
KF;1861;Hallsberg;Yggdrasil; ;1454;;;
KF;1861;Hallsberg;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/;
