VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1466;Herrljunga;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1466;Herrljunga;ANARKISTERNA; ;1628;;;
KF;1466;Herrljunga;ANDOPARTIET; ;1602;;;
KF;1466;Herrljunga;Arbetarepartiet-Socialdemokraterna;S;2;21.454374116538403;https://www.socialdemokraterna.se/;#EE2020
KF;1466;Herrljunga;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1466;Herrljunga;Bjornpartiet; ;1629;;;
KF;1466;Herrljunga;Centerpartiet;C;4;18.218941416679755;https://www.centerpartiet.se/;#009933
KF;1466;Herrljunga;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1466;Herrljunga;Det minst dåliga partiet; ;1622;;;
KF;1466;Herrljunga;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1466;Herrljunga;Drivkraft; ;1621;;;
KF;1466;Herrljunga;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1466;Herrljunga;Enad Politik; ;1589;;;
KF;1466;Herrljunga;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1466;Herrljunga;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1466;Herrljunga;Enskild person/Riksdagen val; ;1614;;;
KF;1466;Herrljunga;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1466;Herrljunga;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1466;Herrljunga;EUSEC; ;1534;;;
KF;1466;Herrljunga;FAMILJENS FRIHET; ;1606;;;
KF;1466;Herrljunga;Fattigmans parti; ;1618;;;
KF;1466;Herrljunga;Feministiskt initiativ;FI;532;0.5025914873566829;https://feministisktinitiativ.se/;
KF;1466;Herrljunga;FN Parti art.27; ;1631;;;
KF;1466;Herrljunga;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1466;Herrljunga;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1466;Herrljunga;Fredspartiet; ;1484;;;
KF;1466;Herrljunga;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1466;Herrljunga;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1466;Herrljunga;Fritt val; ;1479;;;
KF;1466;Herrljunga;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1466;Herrljunga;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1466;Herrljunga;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1466;Herrljunga;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;1466;Herrljunga;Humanistisk demokrati (HD);HD;1480;;;
KF;1466;Herrljunga;Invandrarpartiet; ;1624;;;
KF;1466;Herrljunga;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;1466;Herrljunga;Kalle ankapartiet; ;1579;;;
KF;1466;Herrljunga;Kapitalism med vänligt ansikte; ;1495;;;
KF;1466;Herrljunga;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;1466;Herrljunga;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;1466;Herrljunga;Kommunens Väl;KVäl;526;9.36076645201822;;
KF;1466;Herrljunga;Kristdemokraterna;KD;68;7.476048374430658;https://kristdemokraterna.se/;#231977
KF;1466;Herrljunga;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;1466;Herrljunga;KSP; ;1612;;;
KF;1466;Herrljunga;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;1466;Herrljunga;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;1466;Herrljunga;Liberalerna (tidigare Folkpartiet);L;3;10.146065651013036;https://www.liberalerna.se/;#6BB7EC
KF;1466;Herrljunga;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;1466;Herrljunga;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;1466;Herrljunga;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;1466;Herrljunga;Miljöpartiet de gröna;MP;55;1.978953981466939;https://www.mp.se/;#83CF39
KF;1466;Herrljunga;Min röst; ;1437;;;
KF;1466;Herrljunga;MITT SVERIGE; ;1591;;;
KF;1466;Herrljunga;MoD; ;1568;;https://partietmod.se/;
KF;1466;Herrljunga;Moderaterna;M;1;13.82126590230878;https://moderaterna.se/;#1B49DD
KF;1466;Herrljunga;Monisterna; ;1502;;;
KF;1466;Herrljunga;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;1466;Herrljunga;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;1466;Herrljunga;NaturFilosoferna; ;1460;;;
KF;1466;Herrljunga;Naturistpartiet; ;1627;;;
KF;1466;Herrljunga;Neoteknokraterna; ;1613;;;
KF;1466;Herrljunga;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;1466;Herrljunga;Nu får det fan vara nog; ;1623;;;
KF;1466;Herrljunga;Ny Demokrati; ;1596;;;
KF;1466;Herrljunga;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;1466;Herrljunga;Nya Frihetspartiet; ;1443;;;
KF;1466;Herrljunga;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;1466;Herrljunga;OK; ;1478;;;
KF;1466;Herrljunga;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;1466;Herrljunga;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
KF;1466;Herrljunga;Partiet Frihet; ;1599;;;
KF;1466;Herrljunga;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/;
KF;1466;Herrljunga;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/;
KF;1466;Herrljunga;Pax; ;1491;;https://www.paxpartiet.se/;
KF;1466;Herrljunga;Piratpartiet;PP;524;0.0;https://piratpartiet.se/;
KF;1466;Herrljunga;Politiskt Skifte; ;1617;;;
KF;1466;Herrljunga;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/;
KF;1466;Herrljunga;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna;
KF;1466;Herrljunga;Reformpartiet; ;1616;;;
KF;1466;Herrljunga;Rikspolitiska partiet; ;1496;;;
KF;1466;Herrljunga;SKP;Skp;1586;;https://skp.se;
KF;1466;Herrljunga;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/;
KF;1466;Herrljunga;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/;
KF;1466;Herrljunga;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/;
KF;1466;Herrljunga;Stora Norrlands oberoende Frihetsparti; ;1559;;;
KF;1466;Herrljunga;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige;
KF;1466;Herrljunga;Svensk Jobbdemokrati; ;1603;;;
KF;1466;Herrljunga;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/;
KF;1466;Herrljunga;SVENSKARNA; ;1444;;https://svenskarna.org/;
KF;1466;Herrljunga;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;;
KF;1466;Herrljunga;Sverigedemokraterna;SD;110;11.76378200094236;https://sd.se/;#DDDD00
KF;1466;Herrljunga;Sverigepartiet; ;1457;;https://sverigepartiet.se/;
KF;1466;Herrljunga;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html;
KF;1466;Herrljunga;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/;
KF;1466;Herrljunga;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/;
KF;1466;Herrljunga;Upprorsdemokraterna; ;1630;;;
KF;1466;Herrljunga;Valsamverkanspartiet; ;1526;;;
KF;1466;Herrljunga;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/;
KF;1466;Herrljunga;Volt Sverige;Volt;1610;;;
KF;1466;Herrljunga;Vänsterpartiet;V;5;5.198680697345689;https://www.vansterpartiet.se/;#AF0000
KF;1466;Herrljunga;Yggdrasil; ;1454;;;
KF;1466;Herrljunga;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/;
