VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;2104;Hofors;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;2104;Hofors;ANARKISTERNA; ;1628;;;
KF;2104;Hofors;ANDOPARTIET; ;1602;;;
KF;2104;Hofors;Arbetarepartiet-Socialdemokraterna;S;2;32.448946776009;https://www.socialdemokraterna.se/;#EE2020
KF;2104;Hofors;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;2104;Hofors;Bjornpartiet; ;1629;;;
KF;2104;Hofors;Centerpartiet;C;4;6.785656858015758;https://www.centerpartiet.se/;#009933
KF;2104;Hofors;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;2104;Hofors;Det minst dåliga partiet; ;1622;;;
KF;2104;Hofors;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;2104;Hofors;Drivkraft; ;1621;;;
KF;2104;Hofors;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;2104;Hofors;Enad Politik; ;1589;;;
KF;2104;Hofors;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;2104;Hofors;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;2104;Hofors;Enskild person/Riksdagen val; ;1614;;;
KF;2104;Hofors;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;2104;Hofors;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;2104;Hofors;EUSEC; ;1534;;;
KF;2104;Hofors;FAMILJENS FRIHET; ;1606;;;
KF;2104;Hofors;Fattigmans parti; ;1618;;;
KF;2104;Hofors;Feministiskt initiativ;FI;532;0.17687731146486574;https://feministisktinitiativ.se/;
KF;2104;Hofors;FN Parti art.27; ;1631;;;
