VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2280;Härnösand;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2280;Härnösand;ANARKISTERNA; ;1628;;
KF;2280;Härnösand;ANDOPARTIET; ;1602;;
KF;2280;Härnösand;Arbetarepartiet-Socialdemokraterna;S;2;32.33543842603838;https://www.socialdemokraterna.se/
KF;2280;Härnösand;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2280;Härnösand;Bjornpartiet; ;1629;;
KF;2280;Härnösand;Centerpartiet;C;4;12.096186543599709;https://www.centerpartiet.se/
KF;2280;Härnösand;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2280;Härnösand;Det minst dåliga partiet; ;1622;;
KF;2280;Härnösand;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2280;Härnösand;Drivkraft; ;1621;;
KF;2280;Härnösand;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2280;Härnösand;Enad Politik; ;1589;;
KF;2280;Härnösand;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2280;Härnösand;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2280;Härnösand;Enskild person/Riksdagen val; ;1614;;
KF;2280;Härnösand;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;2280;Härnösand;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;2280;Härnösand;EUSEC; ;1534;;
KF;2280;Härnösand;FAMILJENS FRIHET; ;1606;;
KF;2280;Härnösand;Fattigmans parti; ;1618;;
KF;2280;Härnösand;Feministiskt initiativ;FI;532;1.7731357784794752;https://feministisktinitiativ.se/
KF;2280;Härnösand;FN Parti art.27; ;1631;;
KF;2280;Härnösand;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2280;Härnösand;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2280;Härnösand;Fredspartiet; ;1484;;
KF;2280;Härnösand;Fria Wermland; ;1548;;https://friawermland.se/
KF;2280;Härnösand;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2280;Härnösand;Fritt val; ;1479;;
KF;2280;Härnösand;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2280;Härnösand;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2280;Härnösand;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2280;Härnösand;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2280;Härnösand;Humanistisk demokrati (HD);HD;1480;;
KF;2280;Härnösand;Invandrarpartiet; ;1624;;
KF;2280;Härnösand;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2280;Härnösand;Kalle ankapartiet; ;1579;;
KF;2280;Härnösand;Kapitalism med vänligt ansikte; ;1495;;
KF;2280;Härnösand;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;2280;Härnösand;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;2280;Härnösand;Kristdemokraterna;KD;68;3.6252125333981056;https://kristdemokraterna.se/
KF;2280;Härnösand;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;2280;Härnösand;KSP; ;1612;;
KF;2280;Härnösand;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;2280;Härnösand;Landsbygdspartiet Oberoende;LPo;1011;0.06072382803011902;https://landsbygdspartiet.org/
KF;2280;Härnösand;Liberalerna (tidigare Folkpartiet);L;3;4.1049307748360455;https://www.liberalerna.se/
KF;2280;Härnösand;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;2280;Härnösand;Medborgarresan; ;1330;;https://citizenwell.se/
KF;2280;Härnösand;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;2280;Härnösand;Miljöpartiet de gröna;MP;55;6.345640029147437;https://www.mp.se/
KF;2280;Härnösand;Min röst; ;1437;;
KF;2280;Härnösand;MITT SVERIGE; ;1591;;
KF;2280;Härnösand;MoD; ;1568;;https://partietmod.se/
KF;2280;Härnösand;Moderaterna;M;1;18.33252368229293;https://moderaterna.se/
KF;2280;Härnösand;Monisterna; ;1502;;
KF;2280;Härnösand;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;2280;Härnösand;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;2280;Härnösand;NaturFilosoferna; ;1460;;
KF;2280;Härnösand;Naturistpartiet; ;1627;;
KF;2280;Härnösand;Neoteknokraterna; ;1613;;
KF;2280;Härnösand;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;2280;Härnösand;Nu får det fan vara nog; ;1623;;
KF;2280;Härnösand;Ny Demokrati; ;1596;;
KF;2280;Härnösand;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;2280;Härnösand;Nya Frihetspartiet; ;1443;;
KF;2280;Härnösand;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;2280;Härnösand;OK; ;1478;;
KF;2280;Härnösand;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;2280;Härnösand;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;2280;Härnösand;Partiet Frihet; ;1599;;
KF;2280;Härnösand;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
KF;2280;Härnösand;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;2280;Härnösand;Pax; ;1491;;https://www.paxpartiet.se/
KF;2280;Härnösand;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;2280;Härnösand;Politiskt Skifte; ;1617;;
KF;2280;Härnösand;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;2280;Härnösand;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;2280;Härnösand;Reformpartiet; ;1616;;
KF;2280;Härnösand;Rikspolitiska partiet; ;1496;;
KF;2280;Härnösand;SKP;Skp;1586;;https://skp.se
KF;2280;Härnösand;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;2280;Härnösand;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;2280;Härnösand;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
