VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2514;Kalix;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2514;Kalix;ANARKISTERNA; ;1628;;
KF;2514;Kalix;ANDOPARTIET; ;1602;;
KF;2514;Kalix;Arbetarepartiet-Socialdemokraterna;S;2;40.757990867579906;https://www.socialdemokraterna.se/
KF;2514;Kalix;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2514;Kalix;Bjornpartiet; ;1629;;
KF;2514;Kalix;Centerpartiet;C;4;7.424657534246576;https://www.centerpartiet.se/
KF;2514;Kalix;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2514;Kalix;Det minst dåliga partiet; ;1622;;
KF;2514;Kalix;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2514;Kalix;Drivkraft; ;1621;;
KF;2514;Kalix;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2514;Kalix;Enad Politik; ;1589;;
KF;2514;Kalix;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2514;Kalix;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2514;Kalix;Enskild person/Riksdagen val; ;1614;;
KF;2514;Kalix;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;2514;Kalix;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;2514;Kalix;EUSEC; ;1534;;
KF;2514;Kalix;FAMILJENS FRIHET; ;1606;;
KF;2514;Kalix;Fattigmans parti; ;1618;;
KF;2514;Kalix;Feministiskt initiativ;FI;532;0.16438356164383564;https://feministisktinitiativ.se/
KF;2514;Kalix;FN Parti art.27; ;1631;;
KF;2514;Kalix;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2514;Kalix;Framtid i Kalix;FRAK;1164;2.246575342465753;https://www.facebook.com/people/Framtid-I-Kalix-FiK/100067810982290/
KF;2514;Kalix;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2514;Kalix;Fredspartiet; ;1484;;
KF;2514;Kalix;Fria Wermland; ;1548;;https://friawermland.se/
KF;2514;Kalix;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2514;Kalix;Fritt val; ;1479;;
KF;2514;Kalix;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2514;Kalix;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2514;Kalix;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2514;Kalix;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2514;Kalix;Humanistisk demokrati (HD);HD;1480;;
KF;2514;Kalix;Invandrarpartiet; ;1624;;
KF;2514;Kalix;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2514;Kalix;Kalixpartiet;KXP;141;2.9771689497716896;https://www.kalixpartiet.se/
KF;2514;Kalix;Kalle ankapartiet; ;1579;;
KF;2514;Kalix;Kapitalism med vänligt ansikte; ;1495;;
KF;2514;Kalix;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;2514;Kalix;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;2514;Kalix;Kristdemokraterna;KD;68;0.5844748858447488;https://kristdemokraterna.se/
KF;2514;Kalix;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;2514;Kalix;KSP; ;1612;;
KF;2514;Kalix;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;2514;Kalix;Landsbygdspartiet Oberoende;LPo;1011;0.502283105022831;https://landsbygdspartiet.org/
KF;2514;Kalix;Liberalerna (tidigare Folkpartiet);L;3;5.223744292237443;https://www.liberalerna.se/
KF;2514;Kalix;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;2514;Kalix;Medborgarresan; ;1330;;https://citizenwell.se/
KF;2514;Kalix;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;2514;Kalix;Miljöpartiet de gröna;MP;55;4.237442922374429;https://www.mp.se/
KF;2514;Kalix;Min röst; ;1437;;
KF;2514;Kalix;MITT SVERIGE; ;1591;;
KF;2514;Kalix;MoD; ;1568;;https://partietmod.se/
KF;2514;Kalix;Moderaterna;M;1;20.703196347031962;https://moderaterna.se/
KF;2514;Kalix;Monisterna; ;1502;;
