VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1080;Karlskrona;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1080;Karlskrona;ANARKISTERNA; ;1628;;;
KF;1080;Karlskrona;ANDOPARTIET; ;1602;;;
KF;1080;Karlskrona;Arbetarepartiet-Socialdemokraterna;S;2;32.344454463480616;https://www.socialdemokraterna.se/;#EE2020
KF;1080;Karlskrona;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1080;Karlskrona;Bjornpartiet; ;1629;;;
KF;1080;Karlskrona;Centerpartiet;C;4;7.457168620378719;https://www.centerpartiet.se/;#009933
KF;1080;Karlskrona;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1080;Karlskrona;Det minst dåliga partiet; ;1622;;;
KF;1080;Karlskrona;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1080;Karlskrona;Drivkraft; ;1621;;;
KF;1080;Karlskrona;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1080;Karlskrona;Enad Politik; ;1589;;;
KF;1080;Karlskrona;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1080;Karlskrona;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1080;Karlskrona;Enskild person/Riksdagen val; ;1614;;;
KF;1080;Karlskrona;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1080;Karlskrona;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1080;Karlskrona;EUSEC; ;1534;;;
KF;1080;Karlskrona;FAMILJENS FRIHET; ;1606;;;
KF;1080;Karlskrona;Fattigmans parti; ;1618;;;
KF;1080;Karlskrona;Feministiskt initiativ;FI;532;0.26149684400360684;https://feministisktinitiativ.se/;
KF;1080;Karlskrona;FN Parti art.27; ;1631;;;
KF;1080;Karlskrona;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1080;Karlskrona;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1080;Karlskrona;Fredspartiet; ;1484;;;
KF;1080;Karlskrona;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1080;Karlskrona;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1080;Karlskrona;Fritt val; ;1479;;;
KF;1080;Karlskrona;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1080;Karlskrona;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1080;Karlskrona;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1080;Karlskrona;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
