VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1780;Karlstad;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1780;Karlstad;ANARKISTERNA; ;1628;;
KF;1780;Karlstad;ANDOPARTIET; ;1602;;
KF;1780;Karlstad;Arbetarepartiet-Socialdemokraterna;S;2;29.235601097663498;https://www.socialdemokraterna.se/
KF;1780;Karlstad;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1780;Karlstad;Bjornpartiet; ;1629;;
KF;1780;Karlstad;Centerpartiet;C;4;7.823231762447853;https://www.centerpartiet.se/
KF;1780;Karlstad;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1780;Karlstad;Det minst dåliga partiet; ;1622;;
KF;1780;Karlstad;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1780;Karlstad;Drivkraft; ;1621;;
KF;1780;Karlstad;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1780;Karlstad;Enad Politik; ;1589;;
KF;1780;Karlstad;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1780;Karlstad;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1780;Karlstad;Enskild person/Riksdagen val; ;1614;;
KF;1780;Karlstad;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;1780;Karlstad;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;1780;Karlstad;EUSEC; ;1534;;
KF;1780;Karlstad;FAMILJENS FRIHET; ;1606;;
KF;1780;Karlstad;Fattigmans parti; ;1618;;
KF;1780;Karlstad;Feministiskt initiativ;FI;532;0.34579572672620273;https://feministisktinitiativ.se/
KF;1780;Karlstad;FN Parti art.27; ;1631;;
KF;1780;Karlstad;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1780;Karlstad;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1780;Karlstad;Fredspartiet; ;1484;;
KF;1780;Karlstad;Fria Wermland; ;1548;;https://friawermland.se/
KF;1780;Karlstad;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1780;Karlstad;Fritt val; ;1479;;
KF;1780;Karlstad;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1780;Karlstad;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1780;Karlstad;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1780;Karlstad;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1780;Karlstad;Humanistisk demokrati (HD);HD;1480;;
KF;1780;Karlstad;Invandrarpartiet; ;1624;;
KF;1780;Karlstad;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1780;Karlstad;Kalle ankapartiet; ;1579;;
