VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;2282;Kramfors;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;2282;Kramfors;ANARKISTERNA; ;1628;;;
KF;2282;Kramfors;ANDOPARTIET; ;1602;;;
KF;2282;Kramfors;Arbetarepartiet-Socialdemokraterna;S;2;37.9909799097991;https://www.socialdemokraterna.se/;#EE2020
KF;2282;Kramfors;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;2282;Kramfors;Bjornpartiet; ;1629;;;
KF;2282;Kramfors;Centerpartiet;C;4;19.557195571955717;https://www.centerpartiet.se/;#009933
KF;2282;Kramfors;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;2282;Kramfors;Det minst dåliga partiet; ;1622;;;
KF;2282;Kramfors;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;2282;Kramfors;Drivkraft; ;1621;;;
KF;2282;Kramfors;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;2282;Kramfors;Enad Politik; ;1589;;;
KF;2282;Kramfors;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;2282;Kramfors;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;2282;Kramfors;Enskild person/Riksdagen val; ;1614;;;
KF;2282;Kramfors;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;2282;Kramfors;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;2282;Kramfors;EUSEC; ;1534;;;
KF;2282;Kramfors;FAMILJENS FRIHET; ;1606;;;
KF;2282;Kramfors;Fattigmans parti; ;1618;;;
KF;2282;Kramfors;Feministiskt initiativ;FI;532;0.4018040180401804;https://feministisktinitiativ.se/;
KF;2282;Kramfors;FN Parti art.27; ;1631;;;
KF;2282;Kramfors;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;2282;Kramfors;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;2282;Kramfors;Fredspartiet; ;1484;;;
KF;2282;Kramfors;Fria Wermland; ;1548;;https://friawermland.se/;
KF;2282;Kramfors;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;2282;Kramfors;Fritt val; ;1479;;;
KF;2282;Kramfors;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;2282;Kramfors;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;2282;Kramfors;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;2282;Kramfors;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;2282;Kramfors;Humanistisk demokrati (HD);HD;1480;;;
KF;2282;Kramfors;Invandrarpartiet; ;1624;;;
KF;2282;Kramfors;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;2282;Kramfors;Kalle ankapartiet; ;1579;;;
KF;2282;Kramfors;Kapitalism med vänligt ansikte; ;1495;;;
KF;2282;Kramfors;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;2282;Kramfors;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;2282;Kramfors;Kristdemokraterna;KD;68;2.968429684296843;https://kristdemokraterna.se/;#231977
KF;2282;Kramfors;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;2282;Kramfors;KSP; ;1612;;;
KF;2282;Kramfors;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;2282;Kramfors;Landsbygdspartiet Oberoende;LPo;1011;0.10660106601066012;https://landsbygdspartiet.org/;
KF;2282;Kramfors;Liberalerna (tidigare Folkpartiet);L;3;2.197621976219762;https://www.liberalerna.se/;#6BB7EC
KF;2282;Kramfors;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;2282;Kramfors;Medborgarresan; ;1330;;https://citizenwell.se/;
