VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1290;Kristianstad;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1290;Kristianstad;ANARKISTERNA; ;1628;;;
KF;1290;Kristianstad;ANDOPARTIET; ;1602;;;
KF;1290;Kristianstad;Arbetarepartiet-Socialdemokraterna;S;2;25.537718635383456;https://www.socialdemokraterna.se/;#EE2020
KF;1290;Kristianstad;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1290;Kristianstad;Bjornpartiet; ;1629;;;
KF;1290;Kristianstad;Centerpartiet;C;4;5.9457765818235435;https://www.centerpartiet.se/;#009933
KF;1290;Kristianstad;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1290;Kristianstad;Det minst dåliga partiet; ;1622;;;
KF;1290;Kristianstad;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1290;Kristianstad;Drivkraft; ;1621;;;
KF;1290;Kristianstad;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1290;Kristianstad;Enad Politik; ;1589;;;
KF;1290;Kristianstad;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1290;Kristianstad;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1290;Kristianstad;Enskild person/Riksdagen val; ;1614;;;
KF;1290;Kristianstad;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1290;Kristianstad;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1290;Kristianstad;EUSEC; ;1534;;;
KF;1290;Kristianstad;FAMILJENS FRIHET; ;1606;;;
KF;1290;Kristianstad;Fattigmans parti; ;1618;;;
KF;1290;Kristianstad;Feministiskt initiativ;FI;532;0.2230126988222718;https://feministisktinitiativ.se/;
KF;1290;Kristianstad;FN Parti art.27; ;1631;;;
KF;1290;Kristianstad;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1290;Kristianstad;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1290;Kristianstad;Fredspartiet; ;1484;;;
KF;1290;Kristianstad;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1290;Kristianstad;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
