VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2309;Krokom;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2309;Krokom;ANARKISTERNA; ;1628;;
KF;2309;Krokom;ANDOPARTIET; ;1602;;
KF;2309;Krokom;Arbetarepartiet-Socialdemokraterna;S;2;30.96176376610928;https://www.socialdemokraterna.se/
KF;2309;Krokom;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2309;Krokom;Bjornpartiet; ;1629;;
KF;2309;Krokom;Centerpartiet;C;4;28.554691660453724;https://www.centerpartiet.se/
KF;2309;Krokom;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2309;Krokom;Det minst dåliga partiet; ;1622;;
KF;2309;Krokom;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2309;Krokom;Drivkraft; ;1621;;
KF;2309;Krokom;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2309;Krokom;Enad Politik; ;1589;;
KF;2309;Krokom;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2309;Krokom;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2309;Krokom;Enskild person/Riksdagen val; ;1614;;
KF;2309;Krokom;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;2309;Krokom;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;2309;Krokom;EUSEC; ;1534;;
KF;2309;Krokom;FAMILJENS FRIHET; ;1606;;
KF;2309;Krokom;Fattigmans parti; ;1618;;
KF;2309;Krokom;Feministiskt initiativ;FI;532;0.1171583768239429;https://feministisktinitiativ.se/
KF;2309;Krokom;FN Parti art.27; ;1631;;
KF;2309;Krokom;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2309;Krokom;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2309;Krokom;Fredspartiet; ;1484;;
KF;2309;Krokom;Fria Wermland; ;1548;;https://friawermland.se/
KF;2309;Krokom;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2309;Krokom;Fritt val; ;1479;;
KF;2309;Krokom;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2309;Krokom;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2309;Krokom;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2309;Krokom;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2309;Krokom;Humanistisk demokrati (HD);HD;1480;;
KF;2309;Krokom;Invandrarpartiet; ;1624;;
KF;2309;Krokom;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2309;Krokom;Jämtlands Väl Krokom;JVK;1312;3.0993716050697624;http://jamtlandsval.se/krokom/
KF;2309;Krokom;Kalle ankapartiet; ;1579;;
KF;2309;Krokom;Kapitalism med vänligt ansikte; ;1495;;
KF;2309;Krokom;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;2309;Krokom;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;2309;Krokom;Kristdemokraterna;KD;68;3.237831504952604;https://kristdemokraterna.se/
KF;2309;Krokom;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;2309;Krokom;KSP; ;1612;;
KF;2309;Krokom;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;2309;Krokom;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;2309;Krokom;Liberalerna (tidigare Folkpartiet);L;3;1.1928852912983279;https://www.liberalerna.se/
KF;2309;Krokom;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;2309;Krokom;Medborgarresan; ;1330;;https://citizenwell.se/
KF;2309;Krokom;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;2309;Krokom;Miljöpartiet de gröna;MP;55;2.5561827670678454;https://www.mp.se/
KF;2309;Krokom;Min röst; ;1437;;
KF;2309;Krokom;MITT SVERIGE; ;1591;;
KF;2309;Krokom;MoD; ;1568;;https://partietmod.se/
KF;2309;Krokom;Moderaterna;M;1;12.812866119927573;https://moderaterna.se/
KF;2309;Krokom;Monisterna; ;1502;;
KF;2309;Krokom;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;2309;Krokom;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;2309;Krokom;NaturFilosoferna; ;1460;;
KF;2309;Krokom;Naturistpartiet; ;1627;;
KF;2309;Krokom;Neoteknokraterna; ;1613;;
KF;2309;Krokom;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;2309;Krokom;Nu får det fan vara nog; ;1623;;
KF;2309;Krokom;Ny Demokrati; ;1596;;
KF;2309;Krokom;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;2309;Krokom;Nya Frihetspartiet; ;1443;;
KF;2309;Krokom;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;2309;Krokom;OK; ;1478;;
KF;2309;Krokom;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;2309;Krokom;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;2309;Krokom;Partiet Frihet; ;1599;;
KF;2309;Krokom;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
KF;2309;Krokom;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;2309;Krokom;Pax; ;1491;;https://www.paxpartiet.se/
KF;2309;Krokom;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;2309;Krokom;Politiskt Skifte; ;1617;;
KF;2309;Krokom;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;2309;Krokom;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;2309;Krokom;Reformpartiet; ;1616;;
KF;2309;Krokom;Rikspolitiska partiet; ;1496;;
KF;2309;Krokom;SKP;Skp;1586;;https://skp.se
KF;2309;Krokom;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;2309;Krokom;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;2309;Krokom;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;2309;Krokom;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;2309;Krokom;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;2309;Krokom;Svensk Jobbdemokrati; ;1603;;
KF;2309;Krokom;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;2309;Krokom;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;2309;Krokom;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;2309;Krokom;Sverigedemokraterna;SD;110;9.23421024603259;https://sd.se/
KF;2309;Krokom;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;2309;Krokom;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;2309;Krokom;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;2309;Krokom;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;2309;Krokom;Upprorsdemokraterna; ;1630;;
KF;2309;Krokom;Valsamverkanspartiet; ;1526;;
KF;2309;Krokom;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;2309;Krokom;Volt Sverige;Volt;1610;;
KF;2309;Krokom;Vänsterpartiet;V;5;8.137181808499308;https://www.vansterpartiet.se/
KF;2309;Krokom;Yggdrasil; ;1454;;
KF;2309;Krokom;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
