VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1881;Kumla;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1881;Kumla;ANARKISTERNA; ;1628;;;
KF;1881;Kumla;ANDOPARTIET; ;1602;;;
KF;1881;Kumla;Arbetarepartiet-Socialdemokraterna;S;2;33.35004655826946;https://www.socialdemokraterna.se/;#EE2020
KF;1881;Kumla;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1881;Kumla;Bjornpartiet; ;1629;;;
KF;1881;Kumla;Centerpartiet;C;4;9.197048921996991;https://www.centerpartiet.se/;#009933
KF;1881;Kumla;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1881;Kumla;Det minst dåliga partiet; ;1622;;;
KF;1881;Kumla;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1881;Kumla;Drivkraft; ;1621;;;
KF;1881;Kumla;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1881;Kumla;Enad Politik; ;1589;;;
KF;1881;Kumla;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1881;Kumla;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1881;Kumla;Enskild person/Riksdagen val; ;1614;;;
KF;1881;Kumla;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1881;Kumla;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1881;Kumla;EUSEC; ;1534;;;
KF;1881;Kumla;FAMILJENS FRIHET; ;1606;;;
KF;1881;Kumla;Fattigmans parti; ;1618;;;
KF;1881;Kumla;Feministiskt initiativ;FI;532;0.16474464579901155;https://feministisktinitiativ.se/;
KF;1881;Kumla;FN Parti art.27; ;1631;;;
KF;1881;Kumla;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1881;Kumla;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1881;Kumla;Fredspartiet; ;1484;;;
KF;1881;Kumla;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1881;Kumla;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1881;Kumla;Fritt val; ;1479;;;
KF;1881;Kumla;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1881;Kumla;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1881;Kumla;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1881;Kumla;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;1881;Kumla;Humanistisk demokrati (HD);HD;1480;;;
KF;1881;Kumla;Invandrarpartiet; ;1624;;;
KF;1881;Kumla;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;1881;Kumla;Kalle ankapartiet; ;1579;;;
KF;1881;Kumla;Kapitalism med vänligt ansikte; ;1495;;;
KF;1881;Kumla;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;1881;Kumla;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;1881;Kumla;Kristdemokraterna;KD;68;7.6642074349974925;https://kristdemokraterna.se/;#231977
KF;1881;Kumla;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;1881;Kumla;KSP; ;1612;;;
KF;1881;Kumla;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;1881;Kumla;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;1881;Kumla;Liberalerna (tidigare Folkpartiet);L;3;10.80868132655254;https://www.liberalerna.se/;#6BB7EC
KF;1881;Kumla;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;1881;Kumla;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;1881;Kumla;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;1881;Kumla;Miljöpartiet de gröna;MP;55;2.6932168182794927;https://www.mp.se/;#83CF39
KF;1881;Kumla;Min röst; ;1437;;;
KF;1881;Kumla;MITT SVERIGE; ;1591;;;
KF;1881;Kumla;MoD; ;1568;;https://partietmod.se/;
KF;1881;Kumla;Moderaterna;M;1;16.424324905092757;https://moderaterna.se/;#1B49DD
KF;1881;Kumla;Monisterna; ;1502;;;
KF;1881;Kumla;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;1881;Kumla;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;1881;Kumla;NaturFilosoferna; ;1460;;;
KF;1881;Kumla;Naturistpartiet; ;1627;;;
KF;1881;Kumla;Neoteknokraterna; ;1613;;;
KF;1881;Kumla;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;1881;Kumla;Nu får det fan vara nog; ;1623;;;
KF;1881;Kumla;Ny Demokrati; ;1596;;;
KF;1881;Kumla;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;1881;Kumla;Nya Frihetspartiet; ;1443;;;
KF;1881;Kumla;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;1881;Kumla;OK; ;1478;;;
KF;1881;Kumla;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;1881;Kumla;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
KF;1881;Kumla;Partiet Frihet; ;1599;;;
KF;1881;Kumla;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/;
KF;1881;Kumla;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/;
KF;1881;Kumla;Pax; ;1491;;https://www.paxpartiet.se/;
KF;1881;Kumla;Piratpartiet;PP;524;0.0;https://piratpartiet.se/;
KF;1881;Kumla;Politiskt Skifte; ;1617;;;
KF;1881;Kumla;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/;
KF;1881;Kumla;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna;
KF;1881;Kumla;Reformpartiet; ;1616;;;
KF;1881;Kumla;Rikspolitiska partiet; ;1496;;;
KF;1881;Kumla;SKP;Skp;1586;;https://skp.se;
KF;1881;Kumla;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/;
KF;1881;Kumla;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/;
KF;1881;Kumla;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/;
KF;1881;Kumla;Stora Norrlands oberoende Frihetsparti; ;1559;;;
KF;1881;Kumla;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige;
KF;1881;Kumla;Svensk Jobbdemokrati; ;1603;;;
KF;1881;Kumla;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/;
KF;1881;Kumla;SVENSKARNA; ;1444;;https://svenskarna.org/;
KF;1881;Kumla;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;;
KF;1881;Kumla;Sverigedemokraterna;SD;110;14.461714776878448;https://sd.se/;#DDDD00
KF;1881;Kumla;Sverigepartiet; ;1457;;https://sverigepartiet.se/;
KF;1881;Kumla;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html;
KF;1881;Kumla;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/;
KF;1881;Kumla;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/;
KF;1881;Kumla;Upprorsdemokraterna; ;1630;;;
KF;1881;Kumla;Valsamverkanspartiet; ;1526;;;
KF;1881;Kumla;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/;
KF;1881;Kumla;Volt Sverige;Volt;1610;;;
KF;1881;Kumla;Vänsterpartiet;V;5;5.185874937325406;https://www.vansterpartiet.se/;#AF0000
KF;1881;Kumla;Yggdrasil; ;1454;;;
KF;1881;Kumla;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/;
