VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1960;Kungsör;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1960;Kungsör;ANARKISTERNA; ;1628;;
KF;1960;Kungsör;ANDOPARTIET; ;1602;;
KF;1960;Kungsör;Arbetarepartiet-Socialdemokraterna;S;2;35.75100991553434;https://www.socialdemokraterna.se/
KF;1960;Kungsör;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1960;Kungsör;Bjornpartiet; ;1629;;
KF;1960;Kungsör;Centerpartiet;C;4;13.734851266984943;https://www.centerpartiet.se/
KF;1960;Kungsör;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1960;Kungsör;Det minst dåliga partiet; ;1622;;
KF;1960;Kungsör;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1960;Kungsör;Drivkraft; ;1621;;
KF;1960;Kungsör;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1960;Kungsör;Enad Politik; ;1589;;
KF;1960;Kungsör;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1960;Kungsör;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1960;Kungsör;Enskild person/Riksdagen val; ;1614;;
KF;1960;Kungsör;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;1960;Kungsör;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;1960;Kungsör;EUSEC; ;1534;;
KF;1960;Kungsör;FAMILJENS FRIHET; ;1606;;
KF;1960;Kungsör;Fattigmans parti; ;1618;;
KF;1960;Kungsör;Feministiskt initiativ;FI;532;0.07344840249724569;https://feministisktinitiativ.se/
KF;1960;Kungsör;FN Parti art.27; ;1631;;
KF;1960;Kungsör;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1960;Kungsör;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1960;Kungsör;Fredspartiet; ;1484;;
KF;1960;Kungsör;Fria Wermland; ;1548;;https://friawermland.se/
KF;1960;Kungsör;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1960;Kungsör;Fritt val; ;1479;;
KF;1960;Kungsör;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1960;Kungsör;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1960;Kungsör;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1960;Kungsör;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1960;Kungsör;Humanistisk demokrati (HD);HD;1480;;
KF;1960;Kungsör;Invandrarpartiet; ;1624;;
KF;1960;Kungsör;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1960;Kungsör;Kalle ankapartiet; ;1579;;
KF;1960;Kungsör;Kapitalism med vänligt ansikte; ;1495;;
KF;1960;Kungsör;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1960;Kungsör;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1960;Kungsör;Kristdemokraterna;KD;68;3.5622475211164155;https://kristdemokraterna.se/
KF;1960;Kungsör;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;1960;Kungsör;KSP; ;1612;;
KF;1960;Kungsör;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;1960;Kungsör;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1960;Kungsör;Liberalerna (tidigare Folkpartiet);L;3;4.7374219610723465;https://www.liberalerna.se/
KF;1960;Kungsör;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;1960;Kungsör;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1960;Kungsör;Medborgerlig Samling;MED;1296;0.7712082262210797;https://www.medborgerligsamling.se/
KF;1960;Kungsör;Miljöpartiet de gröna;MP;55;1.5791406536907822;https://www.mp.se/
KF;1960;Kungsör;Min röst; ;1437;;
KF;1960;Kungsör;MITT SVERIGE; ;1591;;
KF;1960;Kungsör;MoD; ;1568;;https://partietmod.se/
KF;1960;Kungsör;Moderaterna;M;1;17.09511568123393;https://moderaterna.se/
KF;1960;Kungsör;Monisterna; ;1502;;
KF;1960;Kungsör;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1960;Kungsör;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1960;Kungsör;NaturFilosoferna; ;1460;;
KF;1960;Kungsör;Naturistpartiet; ;1627;;
KF;1960;Kungsör;Neoteknokraterna; ;1613;;
KF;1960;Kungsör;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1960;Kungsör;Nu får det fan vara nog; ;1623;;
KF;1960;Kungsör;Ny Demokrati; ;1596;;
KF;1960;Kungsör;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1960;Kungsör;Nya Frihetspartiet; ;1443;;
KF;1960;Kungsör;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1960;Kungsör;OK; ;1478;;
KF;1960;Kungsör;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;1960;Kungsör;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;1960;Kungsör;Partiet Frihet; ;1599;;
KF;1960;Kungsör;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
KF;1960;Kungsör;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
