VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1261;Kävlinge;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1261;Kävlinge;ANARKISTERNA; ;1628;;;
KF;1261;Kävlinge;ANDOPARTIET; ;1602;;;
KF;1261;Kävlinge;Arbetarepartiet-Socialdemokraterna;S;2;24.639099584046978;https://www.socialdemokraterna.se/;#EE2020
KF;1261;Kävlinge;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1261;Kävlinge;Bjornpartiet; ;1629;;;
KF;1261;Kävlinge;Centerpartiet;C;4;7.085882065084414;https://www.centerpartiet.se/;#009933
KF;1261;Kävlinge;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1261;Kävlinge;Det minst dåliga partiet; ;1622;;;
KF;1261;Kävlinge;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1261;Kävlinge;Drivkraft; ;1621;;;
KF;1261;Kävlinge;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1261;Kävlinge;Enad Politik; ;1589;;;
KF;1261;Kävlinge;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1261;Kävlinge;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1261;Kävlinge;Enskild person/Riksdagen val; ;1614;;;
KF;1261;Kävlinge;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1261;Kävlinge;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1261;Kävlinge;EUSEC; ;1534;;;
KF;1261;Kävlinge;FAMILJENS FRIHET; ;1606;;;
KF;1261;Kävlinge;Fattigmans parti; ;1618;;;
KF;1261;Kävlinge;Feministiskt initiativ;FI;532;0.14680694886224616;https://feministisktinitiativ.se/;
KF;1261;Kävlinge;FN Parti art.27; ;1631;;;
KF;1261;Kävlinge;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1261;Kävlinge;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1261;Kävlinge;Fredspartiet; ;1484;;;
KF;1261;Kävlinge;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1261;Kävlinge;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1261;Kävlinge;Fritt val; ;1479;;;
KF;1261;Kävlinge;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1261;Kävlinge;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1261;Kävlinge;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1261;Kävlinge;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;1261;Kävlinge;Humanistisk demokrati (HD);HD;1480;;;
KF;1261;Kävlinge;Invandrarpartiet; ;1624;;;
KF;1261;Kävlinge;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;1261;Kävlinge;Kalle ankapartiet; ;1579;;;
KF;1261;Kävlinge;Kapitalism med vänligt ansikte; ;1495;;;
KF;1261;Kävlinge;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;1261;Kävlinge;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;1261;Kävlinge;Kristdemokraterna;KD;68;2.7257156838757033;https://kristdemokraterna.se/;#231977
KF;1261;Kävlinge;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;1261;Kävlinge;KSP; ;1612;;;
KF;1261;Kävlinge;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;1261;Kävlinge;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;1261;Kävlinge;Liberalerna (tidigare Folkpartiet);L;3;8.73990702226572;https://www.liberalerna.se/;#6BB7EC
KF;1261;Kävlinge;Löddebygden;LB;1605;;;
KF;1261;Kävlinge;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;1261;Kävlinge;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;1261;Kävlinge;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;1261;Kävlinge;Miljöpartiet de gröna;MP;55;3.8365549302666992;https://www.mp.se/;#83CF39
KF;1261;Kävlinge;Min röst; ;1437;;;
KF;1261;Kävlinge;MITT SVERIGE; ;1591;;;
KF;1261;Kävlinge;MoD; ;1568;;https://partietmod.se/;
KF;1261;Kävlinge;Moderaterna;M;1;31.343283582089555;https://moderaterna.se/;#1B49DD
KF;1261;Kävlinge;Monisterna; ;1502;;;
KF;1261;Kävlinge;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;1261;Kävlinge;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;1261;Kävlinge;NaturFilosoferna; ;1460;;;
KF;1261;Kävlinge;Naturistpartiet; ;1627;;;
KF;1261;Kävlinge;Neoteknokraterna; ;1613;;;
KF;1261;Kävlinge;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;1261;Kävlinge;Nu får det fan vara nog; ;1623;;;
KF;1261;Kävlinge;Ny Demokrati; ;1596;;;
KF;1261;Kävlinge;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;1261;Kävlinge;Nya Frihetspartiet; ;1443;;;
KF;1261;Kävlinge;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;1261;Kävlinge;OK; ;1478;;;
KF;1261;Kävlinge;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;1261;Kävlinge;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
KF;1261;Kävlinge;Partiet Frihet; ;1599;;;
KF;1261;Kävlinge;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/;
KF;1261;Kävlinge;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/;
KF;1261;Kävlinge;Pax; ;1491;;https://www.paxpartiet.se/;
KF;1261;Kävlinge;Piratpartiet;PP;524;0.0;https://piratpartiet.se/;
KF;1261;Kävlinge;Politiskt Skifte; ;1617;;;
KF;1261;Kävlinge;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/;
KF;1261;Kävlinge;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna;
KF;1261;Kävlinge;Reformpartiet; ;1616;;;
KF;1261;Kävlinge;Rikspolitiska partiet; ;1496;;;
KF;1261;Kävlinge;SKP;Skp;1586;;https://skp.se;
KF;1261;Kävlinge;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/;
KF;1261;Kävlinge;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/;
KF;1261;Kävlinge;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/;
KF;1261;Kävlinge;Stora Norrlands oberoende Frihetsparti; ;1559;;;
KF;1261;Kävlinge;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige;
KF;1261;Kävlinge;Svensk Jobbdemokrati; ;1603;;;
KF;1261;Kävlinge;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/;
KF;1261;Kävlinge;SVENSKARNA; ;1444;;https://svenskarna.org/;
KF;1261;Kävlinge;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;;
KF;1261;Kävlinge;Sverigedemokraterna;SD;110;19.28553951553707;https://sd.se/;#DDDD00
KF;1261;Kävlinge;Sverigepartiet; ;1457;;https://sverigepartiet.se/;
KF;1261;Kävlinge;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html;
KF;1261;Kävlinge;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/;
KF;1261;Kävlinge;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/;
KF;1261;Kävlinge;Upprorsdemokraterna; ;1630;;;
KF;1261;Kävlinge;Valsamverkanspartiet; ;1526;;;
KF;1261;Kävlinge;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/;
KF;1261;Kävlinge;Volt Sverige;Volt;1610;;;
KF;1261;Kävlinge;Vänsterpartiet;V;5;2.0210423293369217;https://www.vansterpartiet.se/;#AF0000
KF;1261;Kävlinge;Yggdrasil; ;1454;;;
KF;1261;Kävlinge;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/;
