VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1860;Laxå;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1860;Laxå;ANARKISTERNA; ;1628;;;
KF;1860;Laxå;ANDOPARTIET; ;1602;;;
KF;1860;Laxå;Arbetarepartiet-Socialdemokraterna;S;2;22.656463514621482;https://www.socialdemokraterna.se/;#EE2020
KF;1860;Laxå;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1860;Laxå;Bjornpartiet; ;1629;;;
KF;1860;Laxå;Centerpartiet;C;4;8.171631593331512;https://www.centerpartiet.se/;#009933
KF;1860;Laxå;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1860;Laxå;Det minst dåliga partiet; ;1622;;;
KF;1860;Laxå;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1860;Laxå;Drivkraft; ;1621;;;
KF;1860;Laxå;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1860;Laxå;Enad Politik; ;1589;;;
KF;1860;Laxå;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1860;Laxå;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1860;Laxå;Enskild person/Riksdagen val; ;1614;;;
KF;1860;Laxå;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1860;Laxå;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1860;Laxå;EUSEC; ;1534;;;
KF;1860;Laxå;FAMILJENS FRIHET; ;1606;;;
KF;1860;Laxå;Fattigmans parti; ;1618;;;
KF;1860;Laxå;Feministiskt initiativ;FI;532;0.21863897239682972;https://feministisktinitiativ.se/;
KF;1860;Laxå;FN Parti art.27; ;1631;;;
KF;1860;Laxå;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1860;Laxå;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1860;Laxå;Fredspartiet; ;1484;;;
KF;1860;Laxå;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1860;Laxå;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1860;Laxå;Fritt val; ;1479;;;
KF;1860;Laxå;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1860;Laxå;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1860;Laxå;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1860;Laxå;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;1860;Laxå;Humanistisk demokrati (HD);HD;1480;;;
KF;1860;Laxå;Invandrarpartiet; ;1624;;;
KF;1860;Laxå;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;1860;Laxå;Kalle ankapartiet; ;1579;;;
KF;1860;Laxå;Kapitalism med vänligt ansikte; ;1495;;;
KF;1860;Laxå;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;1860;Laxå;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;1860;Laxå;Kristdemokraterna;KD;68;38.9450669581853;https://kristdemokraterna.se/;#231977
KF;1860;Laxå;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;1860;Laxå;KSP; ;1612;;;
KF;1860;Laxå;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;1860;Laxå;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;1860;Laxå;Liberalerna (tidigare Folkpartiet);L;3;0.38261820169445204;https://www.liberalerna.se/;#6BB7EC
KF;1860;Laxå;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;1860;Laxå;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;1860;Laxå;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;1860;Laxå;Miljöpartiet de gröna;MP;55;3.115605356654824;https://www.mp.se/;#83CF39
KF;1860;Laxå;Min röst; ;1437;;;
KF;1860;Laxå;MITT SVERIGE; ;1591;;;
KF;1860;Laxå;MoD; ;1568;;https://partietmod.se/;
KF;1860;Laxå;Moderaterna;M;1;10.139382344902979;https://moderaterna.se/;#1B49DD
KF;1860;Laxå;Monisterna; ;1502;;;
KF;1860;Laxå;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;1860;Laxå;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;1860;Laxå;NaturFilosoferna; ;1460;;;
KF;1860;Laxå;Naturistpartiet; ;1627;;;
KF;1860;Laxå;Neoteknokraterna; ;1613;;;
KF;1860;Laxå;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;1860;Laxå;Nu får det fan vara nog; ;1623;;;
KF;1860;Laxå;Ny Demokrati; ;1596;;;
KF;1860;Laxå;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;1860;Laxå;Nya Frihetspartiet; ;1443;;;
KF;1860;Laxå;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;1860;Laxå;OK; ;1478;;;
KF;1860;Laxå;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;1860;Laxå;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
