VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1814;Lekeberg;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1814;Lekeberg;ANARKISTERNA; ;1628;;
KF;1814;Lekeberg;ANDOPARTIET; ;1602;;
KF;1814;Lekeberg;Arbetarepartiet-Socialdemokraterna;S;2;19.980861244019138;https://www.socialdemokraterna.se/
KF;1814;Lekeberg;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1814;Lekeberg;Bjornpartiet; ;1629;;
KF;1814;Lekeberg;Centerpartiet;C;4;30.79425837320574;https://www.centerpartiet.se/
KF;1814;Lekeberg;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1814;Lekeberg;Det minst dåliga partiet; ;1622;;
KF;1814;Lekeberg;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1814;Lekeberg;Drivkraft; ;1621;;
KF;1814;Lekeberg;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1814;Lekeberg;Enad Politik; ;1589;;
KF;1814;Lekeberg;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1814;Lekeberg;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1814;Lekeberg;Enskild person/Riksdagen val; ;1614;;
KF;1814;Lekeberg;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;1814;Lekeberg;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;1814;Lekeberg;EUSEC; ;1534;;
KF;1814;Lekeberg;FAMILJENS FRIHET; ;1606;;
KF;1814;Lekeberg;Fattigmans parti; ;1618;;
KF;1814;Lekeberg;Feministiskt initiativ;FI;532;0.09569377990430622;https://feministisktinitiativ.se/
KF;1814;Lekeberg;FN Parti art.27; ;1631;;
KF;1814;Lekeberg;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1814;Lekeberg;Framtidspartiet i Lekeberg;FL;997;5.3971291866028706;http://www.framtidspartiet.com/
KF;1814;Lekeberg;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1814;Lekeberg;Fredspartiet; ;1484;;
KF;1814;Lekeberg;Fria Wermland; ;1548;;https://friawermland.se/
KF;1814;Lekeberg;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1814;Lekeberg;Fritt val; ;1479;;
KF;1814;Lekeberg;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1814;Lekeberg;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1814;Lekeberg;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1814;Lekeberg;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1814;Lekeberg;Humanistisk demokrati (HD);HD;1480;;
KF;1814;Lekeberg;Invandrarpartiet; ;1624;;
KF;1814;Lekeberg;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1814;Lekeberg;Kalle ankapartiet; ;1579;;
KF;1814;Lekeberg;Kapitalism med vänligt ansikte; ;1495;;
KF;1814;Lekeberg;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1814;Lekeberg;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1814;Lekeberg;Kristdemokraterna;KD;68;4.784688995215311;https://kristdemokraterna.se/
KF;1814;Lekeberg;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;1814;Lekeberg;KSP; ;1612;;
KF;1814;Lekeberg;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;1814;Lekeberg;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1814;Lekeberg;Liberalerna (tidigare Folkpartiet);L;3;2.889952153110048;https://www.liberalerna.se/
KF;1814;Lekeberg;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;1814;Lekeberg;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1814;Lekeberg;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1814;Lekeberg;Miljöpartiet de gröna;MP;55;2.526315789473684;https://www.mp.se/
KF;1814;Lekeberg;Min röst; ;1437;;
KF;1814;Lekeberg;MITT SVERIGE; ;1591;;
KF;1814;Lekeberg;MoD; ;1568;;https://partietmod.se/
KF;1814;Lekeberg;Moderaterna;M;1;13.148325358851675;https://moderaterna.se/
KF;1814;Lekeberg;Monisterna; ;1502;;
KF;1814;Lekeberg;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1814;Lekeberg;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1814;Lekeberg;NaturFilosoferna; ;1460;;
KF;1814;Lekeberg;Naturistpartiet; ;1627;;
KF;1814;Lekeberg;Neoteknokraterna; ;1613;;
KF;1814;Lekeberg;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
