VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;186;Lidingö;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;186;Lidingö;ANARKISTERNA; ;1628;;;
KF;186;Lidingö;ANDOPARTIET; ;1602;;;
KF;186;Lidingö;Arbetarepartiet-Socialdemokraterna;S;2;10.449246973443369;https://www.socialdemokraterna.se/;#EE2020
KF;186;Lidingö;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;186;Lidingö;Bjornpartiet; ;1629;;;
KF;186;Lidingö;Centerpartiet;C;4;16.807424295944255;https://www.centerpartiet.se/;#009933
KF;186;Lidingö;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;186;Lidingö;Det minst dåliga partiet; ;1622;;;
KF;186;Lidingö;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;186;Lidingö;Drivkraft; ;1621;;;
KF;186;Lidingö;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;186;Lidingö;Enad Politik; ;1589;;;
KF;186;Lidingö;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;186;Lidingö;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;186;Lidingö;Enskild person/Riksdagen val; ;1614;;;
KF;186;Lidingö;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;186;Lidingö;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;186;Lidingö;EUSEC; ;1534;;;
KF;186;Lidingö;FAMILJENS FRIHET; ;1606;;;
KF;186;Lidingö;Fattigmans parti; ;1618;;;
KF;186;Lidingö;Feministiskt initiativ;FI;532;0.2890080601136765;https://feministisktinitiativ.se/;
KF;186;Lidingö;FN Parti art.27; ;1631;;;
KF;186;Lidingö;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;186;Lidingö;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;186;Lidingö;Fredspartiet; ;1484;;;
KF;186;Lidingö;Fria Wermland; ;1548;;https://friawermland.se/;
KF;186;Lidingö;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;186;Lidingö;Fritt val; ;1479;;;
KF;186;Lidingö;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;186;Lidingö;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;186;Lidingö;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;186;Lidingö;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;186;Lidingö;Humanistisk demokrati (HD);HD;1480;;;
KF;186;Lidingö;Invandrarpartiet; ;1624;;;
KF;186;Lidingö;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;186;Lidingö;Kalle ankapartiet; ;1579;;;
KF;186;Lidingö;Kapitalism med vänligt ansikte; ;1495;;;
KF;186;Lidingö;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;186;Lidingö;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;186;Lidingö;Kristdemokraterna;KD;68;6.335698917825375;https://kristdemokraterna.se/;#231977
KF;186;Lidingö;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;186;Lidingö;KSP; ;1612;;;
