VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1494;Lidköping;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1494;Lidköping;ANARKISTERNA; ;1628;;
KF;1494;Lidköping;ANDOPARTIET; ;1602;;
KF;1494;Lidköping;Arbetarepartiet-Socialdemokraterna;S;2;36.41618497109826;https://www.socialdemokraterna.se/
KF;1494;Lidköping;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1494;Lidköping;Bjornpartiet; ;1629;;
KF;1494;Lidköping;Centerpartiet;C;4;9.454732889068886;https://www.centerpartiet.se/
KF;1494;Lidköping;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1494;Lidköping;Det minst dåliga partiet; ;1622;;
KF;1494;Lidköping;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1494;Lidköping;Drivkraft; ;1621;;
KF;1494;Lidköping;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1494;Lidköping;Enad Politik; ;1589;;
KF;1494;Lidköping;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1494;Lidköping;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1494;Lidköping;Enskild person/Riksdagen val; ;1614;;
KF;1494;Lidköping;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;1494;Lidköping;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;1494;Lidköping;EUSEC; ;1534;;
KF;1494;Lidköping;FAMILJENS FRIHET; ;1606;;
KF;1494;Lidköping;Fattigmans parti; ;1618;;
KF;1494;Lidköping;Feministiskt initiativ;FI;532;0.44917344722211994;https://feministisktinitiativ.se/
KF;1494;Lidköping;FN Parti art.27; ;1631;;
KF;1494;Lidköping;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1494;Lidköping;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1494;Lidköping;Fredspartiet; ;1484;;
KF;1494;Lidköping;Fria Wermland; ;1548;;https://friawermland.se/
KF;1494;Lidköping;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1494;Lidköping;Fritt val; ;1479;;
KF;1494;Lidköping;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1494;Lidköping;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1494;Lidköping;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1494;Lidköping;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1494;Lidköping;Humanistisk demokrati (HD);HD;1480;;
KF;1494;Lidköping;Invandrarpartiet; ;1624;;
KF;1494;Lidköping;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1494;Lidköping;Kalle ankapartiet; ;1579;;
KF;1494;Lidköping;Kapitalism med vänligt ansikte; ;1495;;
KF;1494;Lidköping;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1494;Lidköping;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1494;Lidköping;Kristdemokraterna;KD;68;5.286992378778396;https://kristdemokraterna.se/
KF;1494;Lidköping;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;1494;Lidköping;KSP; ;1612;;
KF;1494;Lidköping;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;1494;Lidköping;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1494;Lidköping;Liberalerna (tidigare Folkpartiet);L;3;9.145465925407754;https://www.liberalerna.se/
KF;1494;Lidköping;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;1494;Lidköping;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1494;Lidköping;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1494;Lidköping;Miljöpartiet de gröna;MP;55;3.0926696366113178;https://www.mp.se/
KF;1494;Lidköping;Min röst; ;1437;;
KF;1494;Lidköping;MITT SVERIGE; ;1591;;
KF;1494;Lidköping;MoD; ;1568;;https://partietmod.se/
KF;1494;Lidköping;Moderaterna;M;1;18.6259710614484;https://moderaterna.se/
KF;1494;Lidköping;Monisterna; ;1502;;
KF;1494;Lidköping;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1494;Lidköping;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1494;Lidköping;NaturFilosoferna; ;1460;;
KF;1494;Lidköping;Naturistpartiet; ;1627;;
KF;1494;Lidköping;Neoteknokraterna; ;1613;;
KF;1494;Lidköping;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1494;Lidköping;Nu får det fan vara nog; ;1623;;
KF;1494;Lidköping;Ny Demokrati; ;1596;;
KF;1494;Lidköping;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1494;Lidköping;Nya Frihetspartiet; ;1443;;
KF;1494;Lidköping;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1494;Lidköping;OK; ;1478;;
KF;1494;Lidköping;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
