VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;781;Ljungby;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;781;Ljungby;Alternativet;ALTER;510;5.067623516422854;
KF;781;Ljungby;ANARKISTERNA; ;1628;;
KF;781;Ljungby;ANDOPARTIET; ;1602;;
KF;781;Ljungby;Arbetarepartiet-Socialdemokraterna;S;2;25.327077008004416;https://www.socialdemokraterna.se/
KF;781;Ljungby;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;781;Ljungby;Bjornpartiet; ;1629;;
KF;781;Ljungby;Centerpartiet;C;4;11.824454871653325;https://www.centerpartiet.se/
KF;781;Ljungby;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;781;Ljungby;Det minst dåliga partiet; ;1622;;
KF;781;Ljungby;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;781;Ljungby;Drivkraft; ;1621;;
KF;781;Ljungby;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;781;Ljungby;Enad Politik; ;1589;;
KF;781;Ljungby;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;781;Ljungby;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;781;Ljungby;Enskild person/Riksdagen val; ;1614;;
KF;781;Ljungby;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;781;Ljungby;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;781;Ljungby;EUSEC; ;1534;;
KF;781;Ljungby;FAMILJENS FRIHET; ;1606;;
KF;781;Ljungby;Fattigmans parti; ;1618;;
KF;781;Ljungby;Feministiskt initiativ;FI;532;0.12696660226331768;https://feministisktinitiativ.se/
KF;781;Ljungby;FN Parti art.27; ;1631;;
KF;781;Ljungby;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;781;Ljungby;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;781;Ljungby;Fredspartiet; ;1484;;
