VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2481;Lycksele;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2481;Lycksele;ANARKISTERNA; ;1628;;
KF;2481;Lycksele;ANDOPARTIET; ;1602;;
KF;2481;Lycksele;Arbetarepartiet-Socialdemokraterna;S;2;35.17046911048449;https://www.socialdemokraterna.se/
KF;2481;Lycksele;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2481;Lycksele;Bjornpartiet; ;1629;;
KF;2481;Lycksele;Centerpartiet;C;4;5.972827480133299;https://www.centerpartiet.se/
KF;2481;Lycksele;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2481;Lycksele;Det minst dåliga partiet; ;1622;;
KF;2481;Lycksele;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2481;Lycksele;Drivkraft; ;1621;;
KF;2481;Lycksele;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2481;Lycksele;Enad Politik; ;1589;;
KF;2481;Lycksele;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2481;Lycksele;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2481;Lycksele;Enskild person/Riksdagen val; ;1614;;
KF;2481;Lycksele;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;2481;Lycksele;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;2481;Lycksele;EUSEC; ;1534;;
KF;2481;Lycksele;FAMILJENS FRIHET; ;1606;;
KF;2481;Lycksele;Fattigmans parti; ;1618;;
KF;2481;Lycksele;Feministiskt initiativ;FI;532;0.17944116893104334;https://feministisktinitiativ.se/
KF;2481;Lycksele;FN Parti art.27; ;1631;;
KF;2481;Lycksele;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2481;Lycksele;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2481;Lycksele;Fredspartiet; ;1484;;
