VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1280;Malmö;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1280;Malmö;ANARKISTERNA; ;1628;;;
KF;1280;Malmö;ANDOPARTIET; ;1602;;;
KF;1280;Malmö;Arbetarepartiet-Socialdemokraterna;S;2;31.070585280080383;https://www.socialdemokraterna.se/;#EE2020
KF;1280;Malmö;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1280;Malmö;Bjornpartiet; ;1629;;;
KF;1280;Malmö;Centerpartiet;C;4;4.178347148957549;https://www.centerpartiet.se/;#009933
KF;1280;Malmö;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1280;Malmö;Det minst dåliga partiet; ;1622;;;
KF;1280;Malmö;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1280;Malmö;Drivkraft; ;1621;;;
KF;1280;Malmö;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1280;Malmö;Enad Politik; ;1589;;;
KF;1280;Malmö;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1280;Malmö;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1280;Malmö;Enskild person/Riksdagen val; ;1614;;;
KF;1280;Malmö;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1280;Malmö;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1280;Malmö;EUSEC; ;1534;;;
KF;1280;Malmö;FAMILJENS FRIHET; ;1606;;;
KF;1280;Malmö;Fattigmans parti; ;1618;;;
KF;1280;Malmö;Feministiskt initiativ;FI;532;1.929665913087164;https://feministisktinitiativ.se/;
KF;1280;Malmö;FN Parti art.27; ;1631;;;
KF;1280;Malmö;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1280;Malmö;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1280;Malmö;Fredspartiet; ;1484;;;
KF;1280;Malmö;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1280;Malmö;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1280;Malmö;Fritt val; ;1479;;;
KF;1280;Malmö;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1280;Malmö;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1280;Malmö;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1280;Malmö;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;1280;Malmö;Humanistisk demokrati (HD);HD;1480;;;
KF;1280;Malmö;Invandrarpartiet; ;1624;;;
KF;1280;Malmö;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;1280;Malmö;Kalle ankapartiet; ;1579;;;
KF;1280;Malmö;Kapitalism med vänligt ansikte; ;1495;;;
KF;1280;Malmö;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;1280;Malmö;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
