VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;2023;Malung-Sälen;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;2023;Malung-Sälen;ANARKISTERNA; ;1628;;;
KF;2023;Malung-Sälen;ANDOPARTIET; ;1602;;;
KF;2023;Malung-Sälen;Arbetarepartiet-Socialdemokraterna;S;2;41.14621601763409;https://www.socialdemokraterna.se/;#EE2020
KF;2023;Malung-Sälen;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;2023;Malung-Sälen;Bjornpartiet; ;1629;;;
KF;2023;Malung-Sälen;Centerpartiet;C;4;7.685525349008082;https://www.centerpartiet.se/;#009933
KF;2023;Malung-Sälen;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;2023;Malung-Sälen;Det minst dåliga partiet; ;1622;;;
KF;2023;Malung-Sälen;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;2023;Malung-Sälen;Drivkraft; ;1621;;;
KF;2023;Malung-Sälen;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;2023;Malung-Sälen;Enad Politik; ;1589;;;
KF;2023;Malung-Sälen;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;2023;Malung-Sälen;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;2023;Malung-Sälen;Enskild person/Riksdagen val; ;1614;;;
KF;2023;Malung-Sälen;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;2023;Malung-Sälen;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;2023;Malung-Sälen;EUSEC; ;1534;;;
KF;2023;Malung-Sälen;FAMILJENS FRIHET; ;1606;;;
KF;2023;Malung-Sälen;Fattigmans parti; ;1618;;;
KF;2023;Malung-Sälen;Feministiskt initiativ;FI;532;0.05878030859662013;https://feministisktinitiativ.se/;
KF;2023;Malung-Sälen;FN Parti art.27; ;1631;;;
KF;2023;Malung-Sälen;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;2023;Malung-Sälen;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;2023;Malung-Sälen;Fredspartiet; ;1484;;;
KF;2023;Malung-Sälen;Fria Wermland; ;1548;;https://friawermland.se/;
KF;2023;Malung-Sälen;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;2023;Malung-Sälen;Fritt val; ;1479;;;
KF;2023;Malung-Sälen;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;2023;Malung-Sälen;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;2023;Malung-Sälen;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;2023;Malung-Sälen;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;2023;Malung-Sälen;Humanistisk demokrati (HD);HD;1480;;;
KF;2023;Malung-Sälen;Invandrarpartiet; ;1624;;;
KF;2023;Malung-Sälen;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;2023;Malung-Sälen;Kalle ankapartiet; ;1579;;;
KF;2023;Malung-Sälen;Kapitalism med vänligt ansikte; ;1495;;;
KF;2023;Malung-Sälen;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;2023;Malung-Sälen;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;2023;Malung-Sälen;Kristdemokraterna;KD;68;0.8082292432035268;https://kristdemokraterna.se/;#231977
KF;2023;Malung-Sälen;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;2023;Malung-Sälen;KSP; ;1612;;;
KF;2023;Malung-Sälen;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;2023;Malung-Sälen;Landsbygdspartiet Oberoende;LPo;1011;3.526818515797208;https://landsbygdspartiet.org/;
KF;2023;Malung-Sälen;Liberalerna (tidigare Folkpartiet);L;3;5.5253490080822925;https://www.liberalerna.se/;#6BB7EC
KF;2023;Malung-Sälen;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;2023;Malung-Sälen;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;2023;Malung-Sälen;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;2023;Malung-Sälen;Miljöpartiet de gröna;MP;55;0.3967670830271859;https://www.mp.se/;#83CF39
KF;2023;Malung-Sälen;Min röst; ;1437;;;
KF;2023;Malung-Sälen;MITT SVERIGE; ;1591;;;
KF;2023;Malung-Sälen;MoD; ;1568;;https://partietmod.se/;
KF;2023;Malung-Sälen;Moderaterna;M;1;18.83908890521675;https://moderaterna.se/;#1B49DD
KF;2023;Malung-Sälen;Monisterna; ;1502;;;
KF;2023;Malung-Sälen;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
