VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;2418;Malå;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;2418;Malå;ANARKISTERNA; ;1628;;;
KF;2418;Malå;ANDOPARTIET; ;1602;;;
KF;2418;Malå;Arbetarepartiet-Socialdemokraterna;S;2;30.92105263157895;https://www.socialdemokraterna.se/;#EE2020
KF;2418;Malå;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;2418;Malå;Bjornpartiet; ;1629;;;
KF;2418;Malå;Centerpartiet;C;4;3.7449392712550607;https://www.centerpartiet.se/;#009933
KF;2418;Malå;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;2418;Malå;Det minst dåliga partiet; ;1622;;;
KF;2418;Malå;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;2418;Malå;Drivkraft; ;1621;;;
KF;2418;Malå;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;2418;Malå;Enad Politik; ;1589;;;
KF;2418;Malå;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;2418;Malå;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;2418;Malå;Enskild person/Riksdagen val; ;1614;;;
KF;2418;Malå;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;2418;Malå;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;2418;Malå;EUSEC; ;1534;;;
KF;2418;Malå;FAMILJENS FRIHET; ;1606;;;
KF;2418;Malå;Fattigmans parti; ;1618;;;
KF;2418;Malå;Feministiskt initiativ;FI;532;0.0;https://feministisktinitiativ.se/;
KF;2418;Malå;FN Parti art.27; ;1631;;;
KF;2418;Malå;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;2418;Malå;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;2418;Malå;Fredspartiet; ;1484;;;
KF;2418;Malå;Fria Wermland; ;1548;;https://friawermland.se/;
KF;2418;Malå;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;2418;Malå;Fritt val; ;1479;;;
KF;2418;Malå;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;2418;Malå;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;2418;Malå;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;2418;Malå;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;2418;Malå;Humanistisk demokrati (HD);HD;1480;;;
KF;2418;Malå;Invandrarpartiet; ;1624;;;
