VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;140;Nykvarn;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;140;Nykvarn;ANARKISTERNA; ;1628;;;
KF;140;Nykvarn;ANDOPARTIET; ;1602;;;
KF;140;Nykvarn;Arbetarepartiet-Socialdemokraterna;S;2;18.681956742633183;https://www.socialdemokraterna.se/;#EE2020
KF;140;Nykvarn;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;140;Nykvarn;Bjornpartiet; ;1629;;;
KF;140;Nykvarn;Centerpartiet;C;4;6.967629554362026;https://www.centerpartiet.se/;#009933
KF;140;Nykvarn;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;140;Nykvarn;Det minst dåliga partiet; ;1622;;;
KF;140;Nykvarn;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;140;Nykvarn;Drivkraft; ;1621;;;
KF;140;Nykvarn;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;140;Nykvarn;Enad Politik; ;1589;;;
KF;140;Nykvarn;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;140;Nykvarn;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;140;Nykvarn;Enskild person/Riksdagen val; ;1614;;;
KF;140;Nykvarn;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;140;Nykvarn;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;140;Nykvarn;EUSEC; ;1534;;;
KF;140;Nykvarn;FAMILJENS FRIHET; ;1606;;;
KF;140;Nykvarn;Fattigmans parti; ;1618;;;
KF;140;Nykvarn;Feministiskt initiativ;FI;532;0.1161271592393671;https://feministisktinitiativ.se/;
KF;140;Nykvarn;FN Parti art.27; ;1631;;;
KF;140;Nykvarn;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;140;Nykvarn;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;140;Nykvarn;Fredspartiet; ;1484;;;
KF;140;Nykvarn;Fria Wermland; ;1548;;https://friawermland.se/;
KF;140;Nykvarn;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;140;Nykvarn;Fritt val; ;1479;;;
KF;140;Nykvarn;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;140;Nykvarn;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;140;Nykvarn;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;140;Nykvarn;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;140;Nykvarn;Humanistisk demokrati (HD);HD;1480;;;
KF;140;Nykvarn;Invandrarpartiet; ;1624;;;
KF;140;Nykvarn;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;140;Nykvarn;Kalle ankapartiet; ;1579;;;
KF;140;Nykvarn;Kapitalism med vänligt ansikte; ;1495;;;
KF;140;Nykvarn;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;140;Nykvarn;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;140;Nykvarn;Kristdemokraterna;KD;68;1.79997096821019;https://kristdemokraterna.se/;#231977
KF;140;Nykvarn;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;140;Nykvarn;KSP; ;1612;;;
KF;140;Nykvarn;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;140;Nykvarn;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;140;Nykvarn;Liberalerna (tidigare Folkpartiet);L;3;2.9612425606038615;https://www.liberalerna.se/;#6BB7EC
KF;140;Nykvarn;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;140;Nykvarn;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;140;Nykvarn;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;140;Nykvarn;Miljöpartiet de gröna;MP;55;3.135433299462912;https://www.mp.se/;#83CF39
KF;140;Nykvarn;Min röst; ;1437;;;
KF;140;Nykvarn;MITT SVERIGE; ;1591;;;
KF;140;Nykvarn;MoD; ;1568;;https://partietmod.se/;
KF;140;Nykvarn;Moderaterna;M;1;18.31905937001016;https://moderaterna.se/;#1B49DD
KF;140;Nykvarn;Monisterna; ;1502;;;
KF;140;Nykvarn;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;140;Nykvarn;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;140;Nykvarn;NaturFilosoferna; ;1460;;;
KF;140;Nykvarn;Naturistpartiet; ;1627;;;
KF;140;Nykvarn;Neoteknokraterna; ;1613;;;
KF;140;Nykvarn;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;140;Nykvarn;Nu får det fan vara nog; ;1623;;;
KF;140;Nykvarn;Ny Demokrati; ;1596;;;
KF;140;Nykvarn;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;140;Nykvarn;Nya Frihetspartiet; ;1443;;;
KF;140;Nykvarn;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
