VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1275;Perstorp;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1275;Perstorp;ANARKISTERNA; ;1628;;
KF;1275;Perstorp;ANDOPARTIET; ;1602;;
KF;1275;Perstorp;Arbetarepartiet-Socialdemokraterna;S;2;24.20977011494253;https://www.socialdemokraterna.se/
KF;1275;Perstorp;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1275;Perstorp;Bjornpartiet; ;1629;;
KF;1275;Perstorp;Centerpartiet;C;4;8.524904214559387;https://www.centerpartiet.se/
KF;1275;Perstorp;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1275;Perstorp;Det minst dåliga partiet; ;1622;;
KF;1275;Perstorp;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1275;Perstorp;Drivkraft; ;1621;;
KF;1275;Perstorp;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1275;Perstorp;Enad Politik; ;1589;;
KF;1275;Perstorp;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1275;Perstorp;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1275;Perstorp;Enskild person/Riksdagen val; ;1614;;
KF;1275;Perstorp;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;1275;Perstorp;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;1275;Perstorp;EUSEC; ;1534;;
KF;1275;Perstorp;FAMILJENS FRIHET; ;1606;;
KF;1275;Perstorp;Fattigmans parti; ;1618;;
KF;1275;Perstorp;Feministiskt initiativ;FI;532;0.11973180076628352;https://feministisktinitiativ.se/
KF;1275;Perstorp;FN Parti art.27; ;1631;;
KF;1275;Perstorp;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1275;Perstorp;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1275;Perstorp;Fredspartiet; ;1484;;
KF;1275;Perstorp;Fria Wermland; ;1548;;https://friawermland.se/
KF;1275;Perstorp;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1275;Perstorp;Fritt val; ;1479;;
KF;1275;Perstorp;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1275;Perstorp;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1275;Perstorp;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1275;Perstorp;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1275;Perstorp;Humanistisk demokrati (HD);HD;1480;;
KF;1275;Perstorp;Invandrarpartiet; ;1624;;
KF;1275;Perstorp;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1275;Perstorp;Kalle ankapartiet; ;1579;;
KF;1275;Perstorp;Kapitalism med vänligt ansikte; ;1495;;
KF;1275;Perstorp;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1275;Perstorp;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1275;Perstorp;Kristdemokraterna;KD;68;2.9454022988505746;https://kristdemokraterna.se/
KF;1275;Perstorp;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;1275;Perstorp;KSP; ;1612;;
KF;1275;Perstorp;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;1275;Perstorp;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1275;Perstorp;Liberalerna (tidigare Folkpartiet);L;3;1.5565134099616857;https://www.liberalerna.se/
KF;1275;Perstorp;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;1275;Perstorp;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1275;Perstorp;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1275;Perstorp;Miljöpartiet de gröna;MP;55;2.1551724137931036;https://www.mp.se/
KF;1275;Perstorp;Min röst; ;1437;;
KF;1275;Perstorp;MITT SVERIGE; ;1591;;
KF;1275;Perstorp;MoD; ;1568;;https://partietmod.se/
KF;1275;Perstorp;Moderaterna;M;1;10.1772030651341;https://moderaterna.se/
KF;1275;Perstorp;Monisterna; ;1502;;
KF;1275;Perstorp;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1275;Perstorp;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1275;Perstorp;NaturFilosoferna; ;1460;;
KF;1275;Perstorp;Naturistpartiet; ;1627;;
KF;1275;Perstorp;Neoteknokraterna; ;1613;;
KF;1275;Perstorp;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1275;Perstorp;Nu får det fan vara nog; ;1623;;
KF;1275;Perstorp;Ny Demokrati; ;1596;;
KF;1275;Perstorp;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1275;Perstorp;Nya Frihetspartiet; ;1443;;
KF;1275;Perstorp;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1275;Perstorp;OK; ;1478;;
KF;1275;Perstorp;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
