VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;128;Salem;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;128;Salem;ANARKISTERNA; ;1628;;
KF;128;Salem;ANDOPARTIET; ;1602;;
KF;128;Salem;Arbetarepartiet-Socialdemokraterna;S;2;20.99951004409603;https://www.socialdemokraterna.se/
KF;128;Salem;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;128;Salem;Bjornpartiet; ;1629;;
KF;128;Salem;Centerpartiet;C;4;5.458108770210681;https://www.centerpartiet.se/
KF;128;Salem;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;128;Salem;Det minst dåliga partiet; ;1622;;
KF;128;Salem;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;128;Salem;Drivkraft; ;1621;;
KF;128;Salem;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;128;Salem;Enad Politik; ;1589;;
KF;128;Salem;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;128;Salem;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;128;Salem;Enskild person/Riksdagen val; ;1614;;
KF;128;Salem;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;128;Salem;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;128;Salem;EUSEC; ;1534;;
KF;128;Salem;FAMILJENS FRIHET; ;1606;;
KF;128;Salem;Fattigmans parti; ;1618;;
KF;128;Salem;Feministiskt initiativ;FI;532;0.1077902988731014;https://feministisktinitiativ.se/
KF;128;Salem;FN Parti art.27; ;1631;;
KF;128;Salem;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;128;Salem;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;128;Salem;Fredspartiet; ;1484;;
KF;128;Salem;Fria Wermland; ;1548;;https://friawermland.se/
KF;128;Salem;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;128;Salem;Fritt val; ;1479;;
KF;128;Salem;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;128;Salem;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;128;Salem;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;128;Salem;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;128;Salem;Humanistisk demokrati (HD);HD;1480;;
KF;128;Salem;Invandrarpartiet; ;1624;;
KF;128;Salem;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;128;Salem;Kalle ankapartiet; ;1579;;
KF;128;Salem;Kapitalism med vänligt ansikte; ;1495;;
KF;128;Salem;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;128;Salem;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;128;Salem;Kristdemokraterna;KD;68;4.478196962273396;https://kristdemokraterna.se/
KF;128;Salem;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;128;Salem;KSP; ;1612;;
KF;128;Salem;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;128;Salem;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;128;Salem;Liberalerna (tidigare Folkpartiet);L;3;7.153356197942186;https://www.liberalerna.se/
KF;128;Salem;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;128;Salem;Medborgarresan; ;1330;;https://citizenwell.se/
KF;128;Salem;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;128;Salem;Miljöpartiet de gröna;MP;55;3.2533072023517886;https://www.mp.se/
KF;128;Salem;Min röst; ;1437;;
KF;128;Salem;MITT SVERIGE; ;1591;;
KF;128;Salem;MoD; ;1568;;https://partietmod.se/
KF;128;Salem;Moderaterna;M;1;33.28760411562959;https://moderaterna.se/
KF;128;Salem;Monisterna; ;1502;;
KF;128;Salem;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;128;Salem;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;128;Salem;NaturFilosoferna; ;1460;;
KF;128;Salem;Naturistpartiet; ;1627;;
KF;128;Salem;Neoteknokraterna; ;1613;;
KF;128;Salem;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;128;Salem;Nu får det fan vara nog; ;1623;;
KF;128;Salem;Ny Demokrati; ;1596;;
KF;128;Salem;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;128;Salem;Nya Frihetspartiet; ;1443;;
