VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;191;Sigtuna;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;191;Sigtuna;ANARKISTERNA; ;1628;;;
KF;191;Sigtuna;ANDOPARTIET; ;1602;;;
KF;191;Sigtuna;Arbetarepartiet-Socialdemokraterna;S;2;24.657276995305164;https://www.socialdemokraterna.se/;#EE2020
KF;191;Sigtuna;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;191;Sigtuna;Bjornpartiet; ;1629;;;
KF;191;Sigtuna;Centerpartiet;C;4;5.663849765258216;https://www.centerpartiet.se/;#009933
KF;191;Sigtuna;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;191;Sigtuna;Det minst dåliga partiet; ;1622;;;
KF;191;Sigtuna;Det Toleranta Partiet; ;1607;;;
KF;191;Sigtuna;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;191;Sigtuna;Drivkraft; ;1621;;;
KF;191;Sigtuna;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;191;Sigtuna;Enad Politik; ;1589;;;
KF;191;Sigtuna;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;191;Sigtuna;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;191;Sigtuna;Enskild person/Riksdagen val; ;1614;;;
KF;191;Sigtuna;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;191;Sigtuna;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;191;Sigtuna;EUSEC; ;1534;;;
KF;191;Sigtuna;FAMILJENS FRIHET; ;1606;;;
KF;191;Sigtuna;Fattigmans parti; ;1618;;;
KF;191;Sigtuna;Feministiskt initiativ;FI;532;0.26666666666666666;https://feministisktinitiativ.se/;
KF;191;Sigtuna;FN Parti art.27; ;1631;;;
KF;191;Sigtuna;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;191;Sigtuna;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;191;Sigtuna;Fredspartiet; ;1484;;;
KF;191;Sigtuna;Fria Wermland; ;1548;;https://friawermland.se/;
KF;191;Sigtuna;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;191;Sigtuna;Fritt val; ;1479;;;
KF;191;Sigtuna;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;191;Sigtuna;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;191;Sigtuna;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
