VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;184;Solna;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;184;Solna;ANARKISTERNA; ;1628;;
KF;184;Solna;ANDOPARTIET; ;1602;;
KF;184;Solna;Arbetarepartiet-Socialdemokraterna;S;2;23.51981262478882;https://www.socialdemokraterna.se/
KF;184;Solna;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;184;Solna;Bjornpartiet; ;1629;;
KF;184;Solna;Centerpartiet;C;4;6.629166026724005;https://www.centerpartiet.se/
KF;184;Solna;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;184;Solna;Det minst dåliga partiet; ;1622;;
KF;184;Solna;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;184;Solna;Drivkraft; ;1621;;
KF;184;Solna;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;184;Solna;Enad Politik; ;1589;;
KF;184;Solna;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;184;Solna;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;184;Solna;Enskild person/Riksdagen val; ;1614;;
KF;184;Solna;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;184;Solna;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;184;Solna;EUSEC; ;1534;;
KF;184;Solna;FAMILJENS FRIHET; ;1606;;
KF;184;Solna;Fattigmans parti; ;1618;;
KF;184;Solna;Feministiskt initiativ;FI;532;0.7448932575641223;https://feministisktinitiativ.se/
KF;184;Solna;FN Parti art.27; ;1631;;
KF;184;Solna;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;184;Solna;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;184;Solna;Fredspartiet; ;1484;;
KF;184;Solna;Fria Wermland; ;1548;;https://friawermland.se/
KF;184;Solna;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;184;Solna;Fritt val; ;1479;;
KF;184;Solna;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;184;Solna;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;184;Solna;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;184;Solna;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;184;Solna;Humanistisk demokrati (HD);HD;1480;;
KF;184;Solna;Invandrarpartiet; ;1624;;
KF;184;Solna;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;184;Solna;Kalle ankapartiet; ;1579;;
KF;184;Solna;Kapitalism med vänligt ansikte; ;1495;;
KF;184;Solna;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;184;Solna;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;184;Solna;Kristdemokraterna;KD;68;3.9241283980955304;https://kristdemokraterna.se/
KF;184;Solna;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;184;Solna;KSP; ;1612;;
KF;184;Solna;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;184;Solna;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;184;Solna;Liberalerna (tidigare Folkpartiet);L;3;7.89049301182614;https://www.liberalerna.se/
KF;184;Solna;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;184;Solna;Medborgarresan; ;1330;;https://citizenwell.se/
KF;184;Solna;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;184;Solna;Miljöpartiet de gröna;MP;55;7.527645522961143;https://www.mp.se/
KF;184;Solna;Min röst; ;1437;;
KF;184;Solna;MITT SVERIGE; ;1591;;
KF;184;Solna;MoD; ;1568;;https://partietmod.se/
KF;184;Solna;Moderaterna;M;1;30.11634157579481;https://moderaterna.se/
KF;184;Solna;Monisterna; ;1502;;
KF;184;Solna;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;184;Solna;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;184;Solna;NaturFilosoferna; ;1460;;
