VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;180;Stockholm;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;180;Stockholm;ANARKISTERNA; ;1628;;;
KF;180;Stockholm;ANDOPARTIET; ;1602;;;
KF;180;Stockholm;Arbetarepartiet-Socialdemokraterna;S;2;22.299677491355023;https://www.socialdemokraterna.se/;#EE2020
KF;180;Stockholm;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;180;Stockholm;Bjornpartiet; ;1629;;;
KF;180;Stockholm;Centerpartiet;C;4;7.890625252718032;https://www.centerpartiet.se/;#009933
KF;180;Stockholm;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;180;Stockholm;Det minst dåliga partiet; ;1622;;;
KF;180;Stockholm;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;180;Stockholm;Drivkraft; ;1621;;;
KF;180;Stockholm;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;180;Stockholm;Enad Politik; ;1589;;;
KF;180;Stockholm;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;180;Stockholm;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;180;Stockholm;Enskild person/Riksdagen val; ;1614;;;
KF;180;Stockholm;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;180;Stockholm;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;180;Stockholm;EUSEC; ;1534;;;
KF;180;Stockholm;FAMILJENS FRIHET; ;1606;;;
KF;180;Stockholm;Fattigmans parti; ;1618;;;
KF;180;Stockholm;Feministiskt initiativ;FI;532;3.297384024662045;https://feministisktinitiativ.se/;
KF;180;Stockholm;FN Parti art.27; ;1631;;;
KF;180;Stockholm;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;180;Stockholm;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;180;Stockholm;Fredspartiet; ;1484;;;
KF;180;Stockholm;Fria Wermland; ;1548;;https://friawermland.se/;
KF;180;Stockholm;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;180;Stockholm;Fritt val; ;1479;;;
KF;180;Stockholm;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;180;Stockholm;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;180;Stockholm;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;180;Stockholm;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;180;Stockholm;Humanistisk demokrati (HD);HD;1480;;;
KF;180;Stockholm;Invandrarpartiet; ;1624;;;
KF;180;Stockholm;IP - IDROTTSPARTIET - Rädda Stadshagens IP!;IP;1625;;;
KF;180;Stockholm;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;180;Stockholm;Kalle ankapartiet; ;1579;;;
KF;180;Stockholm;Kapitalism med vänligt ansikte; ;1495;;;
KF;180;Stockholm;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;180;Stockholm;Klimatalliansen;KA;1543;;https://klimatalliansen.nu/;
KF;180;Stockholm;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;180;Stockholm;Kristdemokraterna;KD;68;5.045950203630082;https://kristdemokraterna.se/;#231977
KF;180;Stockholm;Kristna Värdepartiet;KrVP;1551;0.05952015112942722;https://www.kristnavardepartiet.se/;
KF;180;Stockholm;KSP; ;1612;;;
KF;180;Stockholm;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;180;Stockholm;Landsbygdspartiet Oberoende;LPo;1011;0.00016173954111257396;https://landsbygdspartiet.org/;
KF;180;Stockholm;Liberalerna (tidigare Folkpartiet);L;3;10.071682964621093;https://www.liberalerna.se/;#6BB7EC
KF;180;Stockholm;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;180;Stockholm;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;180;Stockholm;Medborgerlig Samling;MED;1296;0.4423576449428898;https://www.medborgerligsamling.se/;
KF;180;Stockholm;Miljöpartiet de gröna;MP;55;8.334600293072048;https://www.mp.se/;#83CF39
KF;180;Stockholm;Min röst; ;1437;;;
KF;180;Stockholm;MITT SVERIGE; ;1591;;;
KF;180;Stockholm;MoD; ;1568;;https://partietmod.se/;
KF;180;Stockholm;Moderaterna;M;1;20.981661970828654;https://moderaterna.se/;#1B49DD
KF;180;Stockholm;Monisterna; ;1502;;;
KF;180;Stockholm;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;180;Stockholm;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;180;Stockholm;NaturFilosoferna; ;1460;;;
KF;180;Stockholm;Naturistpartiet; ;1627;;;
KF;180;Stockholm;Neoteknokraterna; ;1613;;;
KF;180;Stockholm;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;180;Stockholm;Nu får det fan vara nog; ;1623;;;
KF;180;Stockholm;Ny Demokrati; ;1596;;;
