VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2421;Storuman;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2421;Storuman;ANARKISTERNA; ;1628;;
KF;2421;Storuman;ANDOPARTIET; ;1602;;
KF;2421;Storuman;Arbetarepartiet-Socialdemokraterna;S;2;24.481218807459943;https://www.socialdemokraterna.se/
KF;2421;Storuman;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2421;Storuman;Bjornpartiet; ;1629;;
KF;2421;Storuman;Centerpartiet;C;4;31.337010769634883;https://www.centerpartiet.se/
KF;2421;Storuman;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2421;Storuman;Det minst dåliga partiet; ;1622;;
KF;2421;Storuman;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2421;Storuman;Drivkraft; ;1621;;
KF;2421;Storuman;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2421;Storuman;Enad Politik; ;1589;;
KF;2421;Storuman;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2421;Storuman;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2421;Storuman;Enskild person/Riksdagen val; ;1614;;
KF;2421;Storuman;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;2421;Storuman;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;2421;Storuman;EUSEC; ;1534;;
KF;2421;Storuman;FAMILJENS FRIHET; ;1606;;
KF;2421;Storuman;Fattigmans parti; ;1618;;
KF;2421;Storuman;Feministiskt initiativ;FI;532;0.15760441292356187;https://feministisktinitiativ.se/
KF;2421;Storuman;FN Parti art.27; ;1631;;
KF;2421;Storuman;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2421;Storuman;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2421;Storuman;Fredspartiet; ;1484;;
KF;2421;Storuman;Fria Wermland; ;1548;;https://friawermland.se/
KF;2421;Storuman;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2421;Storuman;Fritt val; ;1479;;
KF;2421;Storuman;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2421;Storuman;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2421;Storuman;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2421;Storuman;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2421;Storuman;Humanistisk demokrati (HD);HD;1480;;
KF;2421;Storuman;Invandrarpartiet; ;1624;;
KF;2421;Storuman;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2421;Storuman;Kalle ankapartiet; ;1579;;
KF;2421;Storuman;Kapitalism med vänligt ansikte; ;1495;;
KF;2421;Storuman;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;2421;Storuman;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;2421;Storuman;Kommunlistan;SKL;742;3.598634095087996;
KF;2421;Storuman;Kristdemokraterna;KD;68;5.857630680325716;https://kristdemokraterna.se/
KF;2421;Storuman;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;2421;Storuman;KSP; ;1612;;
KF;2421;Storuman;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;2421;Storuman;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;2421;Storuman;Liberalerna (tidigare Folkpartiet);L;3;6.015235093249278;https://www.liberalerna.se/
KF;2421;Storuman;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;2421;Storuman;Medborgarresan; ;1330;;https://citizenwell.se/
KF;2421;Storuman;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;2421;Storuman;Miljöpartiet de gröna;MP;55;0.6829524560021014;https://www.mp.se/
KF;2421;Storuman;Min röst; ;1437;;
KF;2421;Storuman;MITT SVERIGE; ;1591;;
KF;2421;Storuman;MoD; ;1568;;https://partietmod.se/
KF;2421;Storuman;Moderaterna;M;1;6.094037299711059;https://moderaterna.se/
KF;2421;Storuman;Monisterna; ;1502;;
KF;2421;Storuman;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;2421;Storuman;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;2421;Storuman;NaturFilosoferna; ;1460;;
KF;2421;Storuman;Naturistpartiet; ;1627;;
KF;2421;Storuman;Neoteknokraterna; ;1613;;
KF;2421;Storuman;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;2421;Storuman;Nu får det fan vara nog; ;1623;;
KF;2421;Storuman;Ny Demokrati; ;1596;;
KF;2421;Storuman;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;2421;Storuman;Nya Frihetspartiet; ;1443;;
KF;2421;Storuman;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;2421;Storuman;OK; ;1478;;
KF;2421;Storuman;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;2421;Storuman;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;2421;Storuman;Partiet Frihet; ;1599;;
KF;2421;Storuman;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
KF;2421;Storuman;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;2421;Storuman;Pax; ;1491;;https://www.paxpartiet.se/
KF;2421;Storuman;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;2421;Storuman;Politiskt Skifte; ;1617;;
KF;2421;Storuman;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;2421;Storuman;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;2421;Storuman;Reformpartiet; ;1616;;
KF;2421;Storuman;Rikspolitiska partiet; ;1496;;
KF;2421;Storuman;SKP;Skp;1586;;https://skp.se
KF;2421;Storuman;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;2421;Storuman;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;2421;Storuman;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;2421;Storuman;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;2421;Storuman;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;2421;Storuman;Svensk Jobbdemokrati; ;1603;;
KF;2421;Storuman;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;2421;Storuman;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;2421;Storuman;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;2421;Storuman;Sverigedemokraterna;SD;110;9.193590753874442;https://sd.se/
KF;2421;Storuman;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;2421;Storuman;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;2421;Storuman;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;2421;Storuman;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;2421;Storuman;Upprorsdemokraterna; ;1630;;
KF;2421;Storuman;Valsamverkanspartiet; ;1526;;
KF;2421;Storuman;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;2421;Storuman;Volt Sverige;Volt;1610;;
KF;2421;Storuman;Vänsterpartiet;V;5;12.345679012345679;https://www.vansterpartiet.se/
KF;2421;Storuman;Yggdrasil; ;1454;;
KF;2421;Storuman;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
