VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;486;Strängnäs;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;486;Strängnäs;ANARKISTERNA; ;1628;;
KF;486;Strängnäs;ANDOPARTIET; ;1602;;
KF;486;Strängnäs;Arbetarepartiet-Socialdemokraterna;S;2;20.92644729896182;https://www.socialdemokraterna.se/
KF;486;Strängnäs;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;486;Strängnäs;Bjornpartiet; ;1629;;
KF;486;Strängnäs;Centerpartiet;C;4;9.260073904627838;https://www.centerpartiet.se/
KF;486;Strängnäs;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;486;Strängnäs;Det minst dåliga partiet; ;1622;;
KF;486;Strängnäs;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;486;Strängnäs;Drivkraft; ;1621;;
KF;486;Strängnäs;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;486;Strängnäs;Enad Politik; ;1589;;
KF;486;Strängnäs;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;486;Strängnäs;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;486;Strängnäs;Enskild person/Riksdagen val; ;1614;;
KF;486;Strängnäs;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;486;Strängnäs;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;486;Strängnäs;EUSEC; ;1534;;
KF;486;Strängnäs;FAMILJENS FRIHET; ;1606;;
KF;486;Strängnäs;Fattigmans parti; ;1618;;
KF;486;Strängnäs;Feministiskt initiativ;FI;532;0.1979588245644906;https://feministisktinitiativ.se/
KF;486;Strängnäs;FN Parti art.27; ;1631;;
KF;486;Strängnäs;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;486;Strängnäs;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;486;Strängnäs;Fredspartiet; ;1484;;
KF;486;Strängnäs;Fria Wermland; ;1548;;https://friawermland.se/
KF;486;Strängnäs;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;486;Strängnäs;Fritt val; ;1479;;
KF;486;Strängnäs;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;486;Strängnäs;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;486;Strängnäs;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;486;Strängnäs;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;486;Strängnäs;Humanistisk demokrati (HD);HD;1480;;
KF;486;Strängnäs;Invandrarpartiet; ;1624;;
KF;486;Strängnäs;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;486;Strängnäs;Kalle ankapartiet; ;1579;;
KF;486;Strängnäs;Kapitalism med vänligt ansikte; ;1495;;
KF;486;Strängnäs;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;486;Strängnäs;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;486;Strängnäs;Kristdemokraterna;KD;68;5.811191272215379;https://kristdemokraterna.se/
KF;486;Strängnäs;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;486;Strängnäs;KSP; ;1612;;
KF;486;Strängnäs;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;486;Strängnäs;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;486;Strängnäs;Liberalerna (tidigare Folkpartiet);L;3;4.033960936125286;https://www.liberalerna.se/
KF;486;Strängnäs;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;486;Strängnäs;Medborgarresan; ;1330;;https://citizenwell.se/
KF;486;Strängnäs;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;486;Strängnäs;Miljöpartiet de gröna;MP;55;4.579447474925216;https://www.mp.se/
KF;486;Strängnäs;Min röst; ;1437;;
KF;486;Strängnäs;MITT SVERIGE; ;1591;;
KF;486;Strängnäs;MoD; ;1568;;https://partietmod.se/
KF;486;Strängnäs;Moderaterna;M;1;30.516452577863806;https://moderaterna.se/
KF;486;Strängnäs;Monisterna; ;1502;;
KF;486;Strängnäs;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;486;Strängnäs;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;486;Strängnäs;NaturFilosoferna; ;1460;;
KF;486;Strängnäs;Naturistpartiet; ;1627;;
KF;486;Strängnäs;Neoteknokraterna; ;1613;;
KF;486;Strängnäs;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
