VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1486;Strömstad;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1486;Strömstad;ANARKISTERNA; ;1628;;;
KF;1486;Strömstad;ANDOPARTIET; ;1602;;;
KF;1486;Strömstad;Arbetarepartiet-Socialdemokraterna;S;2;27.45657246564688;https://www.socialdemokraterna.se/;#EE2020
KF;1486;Strömstad;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1486;Strömstad;Bjornpartiet; ;1629;;;
KF;1486;Strömstad;BOHUSLÄNPARTIET; ;1506;;https://www.bohuslanpartiet.se/;
KF;1486;Strömstad;Centerpartiet;C;4;11.018926626912108;https://www.centerpartiet.se/;#009933
KF;1486;Strömstad;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1486;Strömstad;Det minst dåliga partiet; ;1622;;;
KF;1486;Strömstad;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1486;Strömstad;Drivkraft; ;1621;;;
KF;1486;Strömstad;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1486;Strömstad;Enad Politik; ;1589;;;
KF;1486;Strömstad;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1486;Strömstad;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1486;Strömstad;Enskild person/Riksdagen val; ;1614;;;
KF;1486;Strömstad;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1486;Strömstad;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1486;Strömstad;EUSEC; ;1534;;;
KF;1486;Strömstad;FAMILJENS FRIHET; ;1606;;;
KF;1486;Strömstad;Fattigmans parti; ;1618;;;
KF;1486;Strömstad;Feministiskt initiativ;FI;532;3.3834586466165413;https://feministisktinitiativ.se/;
KF;1486;Strömstad;FN Parti art.27; ;1631;;;
KF;1486;Strömstad;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1486;Strömstad;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1486;Strömstad;Fredspartiet; ;1484;;;
KF;1486;Strömstad;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1486;Strömstad;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1486;Strömstad;Fritt val; ;1479;;;
KF;1486;Strömstad;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1486;Strömstad;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1486;Strömstad;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1486;Strömstad;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;1486;Strömstad;Humanistisk demokrati (HD);HD;1480;;;
KF;1486;Strömstad;Invandrarpartiet; ;1624;;;
KF;1486;Strömstad;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;1486;Strömstad;Kalle ankapartiet; ;1579;;;
KF;1486;Strömstad;Kapitalism med vänligt ansikte; ;1495;;;
KF;1486;Strömstad;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;1486;Strömstad;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;1486;Strömstad;Kristdemokraterna;KD;68;6.59839253305678;https://kristdemokraterna.se/;#231977
KF;1486;Strömstad;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;1486;Strömstad;KSP; ;1612;;;
KF;1486;Strömstad;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;1486;Strömstad;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;1486;Strömstad;Liberalerna (tidigare Folkpartiet);L;3;11.26523204563132;https://www.liberalerna.se/;#6BB7EC
KF;1486;Strömstad;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;1486;Strömstad;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;1486;Strömstad;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;1486;Strömstad;Miljöpartiet de gröna;MP;55;4.692766398755509;https://www.mp.se/;#83CF39
KF;1486;Strömstad;Min röst; ;1437;;;
KF;1486;Strömstad;MITT SVERIGE; ;1591;;;
KF;1486;Strömstad;MoD; ;1568;;https://partietmod.se/;
KF;1486;Strömstad;Moderaterna;M;1;16.04874254602022;https://moderaterna.se/;#1B49DD
KF;1486;Strömstad;Monisterna; ;1502;;;
KF;1486;Strömstad;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;1486;Strömstad;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;1486;Strömstad;NaturFilosoferna; ;1460;;;
KF;1486;Strömstad;Naturistpartiet; ;1627;;;
KF;1486;Strömstad;Neoteknokraterna; ;1613;;;
KF;1486;Strömstad;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;1486;Strömstad;Nu får det fan vara nog; ;1623;;;
KF;1486;Strömstad;Ny Demokrati; ;1596;;;
KF;1486;Strömstad;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;1486;Strömstad;Nya Frihetspartiet; ;1443;;;
KF;1486;Strömstad;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;1486;Strömstad;OK; ;1478;;;
KF;1486;Strömstad;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;1486;Strömstad;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
KF;1486;Strömstad;Partiet Frihet; ;1599;;;
KF;1486;Strömstad;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/;
KF;1486;Strömstad;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/;
KF;1486;Strömstad;Pax; ;1491;;https://www.paxpartiet.se/;
KF;1486;Strömstad;Piratpartiet;PP;524;0.0;https://piratpartiet.se/;
KF;1486;Strömstad;Politiskt Skifte; ;1617;;;
KF;1486;Strömstad;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/;
KF;1486;Strömstad;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna;
KF;1486;Strömstad;Reformpartiet; ;1616;;;
KF;1486;Strömstad;Rikspolitiska partiet; ;1496;;;
KF;1486;Strömstad;SKP;Skp;1586;;https://skp.se;
KF;1486;Strömstad;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/;
