VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1766;Sunne;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1766;Sunne;ANARKISTERNA; ;1628;;
KF;1766;Sunne;ANDOPARTIET; ;1602;;
KF;1766;Sunne;Arbetarepartiet-Socialdemokraterna;S;2;25.06735518634935;https://www.socialdemokraterna.se/
KF;1766;Sunne;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1766;Sunne;Bjornpartiet; ;1629;;
KF;1766;Sunne;Centerpartiet;C;4;26.908396946564885;https://www.centerpartiet.se/
KF;1766;Sunne;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1766;Sunne;Det minst dåliga partiet; ;1622;;
KF;1766;Sunne;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1766;Sunne;Drivkraft; ;1621;;
KF;1766;Sunne;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1766;Sunne;Enad Politik; ;1589;;
KF;1766;Sunne;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1766;Sunne;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1766;Sunne;Enskild person/Riksdagen val; ;1614;;
KF;1766;Sunne;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;1766;Sunne;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;1766;Sunne;EUSEC; ;1534;;
KF;1766;Sunne;FAMILJENS FRIHET; ;1606;;
KF;1766;Sunne;Fattigmans parti; ;1618;;
KF;1766;Sunne;Feministiskt initiativ;FI;532;0.12348450830713965;https://feministisktinitiativ.se/
KF;1766;Sunne;FN Parti art.27; ;1631;;
KF;1766;Sunne;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
