VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1465;Svenljunga;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1465;Svenljunga;ANARKISTERNA; ;1628;;;
KF;1465;Svenljunga;ANDOPARTIET; ;1602;;;
KF;1465;Svenljunga;Arbetarepartiet-Socialdemokraterna;S;2;21.648145475537596;https://www.socialdemokraterna.se/;#EE2020
KF;1465;Svenljunga;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1465;Svenljunga;Bjornpartiet; ;1629;;;
KF;1465;Svenljunga;Centerpartiet;C;4;20.565738201760716;https://www.centerpartiet.se/;#009933
KF;1465;Svenljunga;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1465;Svenljunga;Det minst dåliga partiet; ;1622;;;
KF;1465;Svenljunga;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1465;Svenljunga;Drivkraft; ;1621;;;
KF;1465;Svenljunga;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1465;Svenljunga;Enad Politik; ;1589;;;
KF;1465;Svenljunga;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1465;Svenljunga;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1465;Svenljunga;Enskild person/Riksdagen val; ;1614;;;
KF;1465;Svenljunga;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1465;Svenljunga;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1465;Svenljunga;EUSEC; ;1534;;;
KF;1465;Svenljunga;FAMILJENS FRIHET; ;1606;;;
KF;1465;Svenljunga;Fattigmans parti; ;1618;;;
KF;1465;Svenljunga;Feministiskt initiativ;FI;532;0.1443209698369173;https://feministisktinitiativ.se/;
KF;1465;Svenljunga;FN Parti art.27; ;1631;;;
KF;1465;Svenljunga;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1465;Svenljunga;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1465;Svenljunga;Fredspartiet; ;1484;;;
KF;1465;Svenljunga;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1465;Svenljunga;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1465;Svenljunga;Fritt val; ;1479;;;
KF;1465;Svenljunga;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1465;Svenljunga;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1465;Svenljunga;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1465;Svenljunga;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;1465;Svenljunga;Humanistisk demokrati (HD);HD;1480;;;
KF;1465;Svenljunga;Invandrarpartiet; ;1624;;;
KF;1465;Svenljunga;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;1465;Svenljunga;Kalle ankapartiet; ;1579;;;
KF;1465;Svenljunga;Kapitalism med vänligt ansikte; ;1495;;;
KF;1465;Svenljunga;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;1465;Svenljunga;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;1465;Svenljunga;Kristdemokraterna;KD;68;3.045172463558955;https://kristdemokraterna.se/;#231977
