VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1785;Säffle;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1785;Säffle;ANARKISTERNA; ;1628;;;
KF;1785;Säffle;ANDOPARTIET; ;1602;;;
KF;1785;Säffle;Arbetarepartiet-Socialdemokraterna;S;2;22.36383550731853;https://www.socialdemokraterna.se/;#EE2020
KF;1785;Säffle;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1785;Säffle;Bjornpartiet; ;1629;;;
KF;1785;Säffle;Centerpartiet;C;4;30.399283082744198;https://www.centerpartiet.se/;#009933
KF;1785;Säffle;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1785;Säffle;Det minst dåliga partiet; ;1622;;;
KF;1785;Säffle;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1785;Säffle;Drivkraft; ;1621;;;
KF;1785;Säffle;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1785;Säffle;Enad Politik; ;1589;;;
KF;1785;Säffle;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1785;Säffle;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1785;Säffle;Enskild person/Riksdagen val; ;1614;;;
KF;1785;Säffle;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1785;Säffle;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1785;Säffle;EUSEC; ;1534;;;
KF;1785;Säffle;FAMILJENS FRIHET; ;1606;;;
KF;1785;Säffle;Fattigmans parti; ;1618;;;
KF;1785;Säffle;Feministiskt initiativ;FI;532;0.05974310465000497;https://feministisktinitiativ.se/;
KF;1785;Säffle;FN Parti art.27; ;1631;;;
KF;1785;Säffle;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1785;Säffle;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1785;Säffle;Fredspartiet; ;1484;;;
KF;1785;Säffle;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1785;Säffle;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1785;Säffle;Fritt val; ;1479;;;
KF;1785;Säffle;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1785;Säffle;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1785;Säffle;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1785;Säffle;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;1785;Säffle;Humanistisk demokrati (HD);HD;1480;;;
KF;1785;Säffle;Invandrarpartiet; ;1624;;;
KF;1785;Säffle;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;1785;Säffle;Kalle ankapartiet; ;1579;;;
KF;1785;Säffle;Kapitalism med vänligt ansikte; ;1495;;;
KF;1785;Säffle;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;1785;Säffle;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;1785;Säffle;Kristdemokraterna;KD;68;2.5291247635168776;https://kristdemokraterna.se/;#231977
KF;1785;Säffle;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;1785;Säffle;KSP; ;1612;;;
KF;1785;Säffle;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;1785;Säffle;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;1785;Säffle;Liberalerna (tidigare Folkpartiet);L;3;2.08105147864184;https://www.liberalerna.se/;#6BB7EC
KF;1785;Säffle;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;1785;Säffle;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;1785;Säffle;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;1785;Säffle;Miljöpartiet de gröna;MP;55;1.8321218759334859;https://www.mp.se/;#83CF39
KF;1785;Säffle;Min röst; ;1437;;;
KF;1785;Säffle;MITT SVERIGE; ;1591;;;
KF;1785;Säffle;MoD; ;1568;;https://partietmod.se/;
KF;1785;Säffle;Moderaterna;M;1;11.042517176142587;https://moderaterna.se/;#1B49DD
KF;1785;Säffle;Monisterna; ;1502;;;
KF;1785;Säffle;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;1785;Säffle;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;1785;Säffle;NaturFilosoferna; ;1460;;;
KF;1785;Säffle;Naturistpartiet; ;1627;;;
KF;1785;Säffle;Neoteknokraterna; ;1613;;;
KF;1785;Säffle;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;1785;Säffle;Nu får det fan vara nog; ;1623;;;
KF;1785;Säffle;Ny Demokrati; ;1596;;;
KF;1785;Säffle;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;1785;Säffle;Nya Frihetspartiet; ;1443;;;
KF;1785;Säffle;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;1785;Säffle;OK; ;1478;;;
KF;1785;Säffle;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;1785;Säffle;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
KF;1785;Säffle;Partiet Frihet; ;1599;;;
KF;1785;Säffle;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/;
KF;1785;Säffle;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/;
KF;1785;Säffle;Pax; ;1491;;https://www.paxpartiet.se/;
KF;1785;Säffle;Piratpartiet;PP;524;0.0;https://piratpartiet.se/;
KF;1785;Säffle;Politiskt Skifte; ;1617;;;
KF;1785;Säffle;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/;
KF;1785;Säffle;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna;
KF;1785;Säffle;Reformpartiet; ;1616;;;
KF;1785;Säffle;Rikspolitiska partiet; ;1496;;;
KF;1785;Säffle;Sjukvårdspartiet i Värmland;SjvV;250;8.991337249825749;https://www.sjukvardspartietivarmland.se/;
KF;1785;Säffle;SKP;Skp;1586;;https://skp.se;
KF;1785;Säffle;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/;
KF;1785;Säffle;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/;
KF;1785;Säffle;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/;
KF;1785;Säffle;Stora Norrlands oberoende Frihetsparti; ;1559;;;
KF;1785;Säffle;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige;
KF;1785;Säffle;Svensk Jobbdemokrati; ;1603;;;
KF;1785;Säffle;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/;
KF;1785;Säffle;SVENSKARNA; ;1444;;https://svenskarna.org/;
KF;1785;Säffle;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;;
KF;1785;Säffle;Sverigedemokraterna;SD;110;18.161903813601512;https://sd.se/;#DDDD00
KF;1785;Säffle;Sverigepartiet; ;1457;;https://sverigepartiet.se/;
KF;1785;Säffle;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html;
KF;1785;Säffle;Säfflepartiet;Säp;1546;;https://safflepartiet.se/;
KF;1785;Säffle;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/;
KF;1785;Säffle;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/;
KF;1785;Säffle;Upprorsdemokraterna; ;1630;;;
KF;1785;Säffle;Valsamverkanspartiet; ;1526;;;
KF;1785;Säffle;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/;
KF;1785;Säffle;Volt Sverige;Volt;1610;;;
KF;1785;Säffle;Vänsterpartiet;V;5;2.4594244747585385;https://www.vansterpartiet.se/;#AF0000
KF;1785;Säffle;Yggdrasil; ;1454;;;
KF;1785;Säffle;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/;
