VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;2082;Säter;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;2082;Säter;ANARKISTERNA; ;1628;;;
KF;2082;Säter;ANDOPARTIET; ;1602;;;
KF;2082;Säter;Arbetarepartiet-Socialdemokraterna;S;2;32.40260603643132;https://www.socialdemokraterna.se/;#EE2020
KF;2082;Säter;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;2082;Säter;Bjornpartiet; ;1629;;;
KF;2082;Säter;Centerpartiet;C;4;21.77901874750698;https://www.centerpartiet.se/;#009933
KF;2082;Säter;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;2082;Säter;Det minst dåliga partiet; ;1622;;;
KF;2082;Säter;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;2082;Säter;Drivkraft; ;1621;;;
KF;2082;Säter;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;2082;Säter;Enad Politik; ;1589;;;
KF;2082;Säter;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;2082;Säter;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;2082;Säter;Enskild person/Riksdagen val; ;1614;;;
KF;2082;Säter;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;2082;Säter;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;2082;Säter;EUSEC; ;1534;;;
KF;2082;Säter;FAMILJENS FRIHET; ;1606;;;
KF;2082;Säter;Fattigmans parti; ;1618;;;
KF;2082;Säter;Feministiskt initiativ;FI;532;0.14625714665602976;https://feministisktinitiativ.se/;
KF;2082;Säter;FN Parti art.27; ;1631;;;
KF;2082;Säter;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;2082;Säter;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;2082;Säter;Fredspartiet; ;1484;;;
KF;2082;Säter;Fria Wermland; ;1548;;https://friawermland.se/;
KF;2082;Säter;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;2082;Säter;Fritt val; ;1479;;;
KF;2082;Säter;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;2082;Säter;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;2082;Säter;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;2082;Säter;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;2082;Säter;Humanistisk demokrati (HD);HD;1480;;;
KF;2082;Säter;Invandrarpartiet; ;1624;;;
KF;2082;Säter;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;2082;Säter;Kalle ankapartiet; ;1579;;;
KF;2082;Säter;Kapitalism med vänligt ansikte; ;1495;;;
KF;2082;Säter;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;2082;Säter;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;2082;Säter;Kristdemokraterna;KD;68;3.8824624385055175;https://kristdemokraterna.se/;#231977
KF;2082;Säter;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;2082;Säter;KSP; ;1612;;;
KF;2082;Säter;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;2082;Säter;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;2082;Säter;Liberalerna (tidigare Folkpartiet);L;3;3.5500598324690866;https://www.liberalerna.se/;#6BB7EC
KF;2082;Säter;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;2082;Säter;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;2082;Säter;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;2082;Säter;Miljöpartiet de gröna;MP;55;2.193857199840447;https://www.mp.se/;#83CF39
KF;2082;Säter;Min röst; ;1437;;;
KF;2082;Säter;MITT SVERIGE; ;1591;;;
KF;2082;Säter;MoD; ;1568;;https://partietmod.se/;
KF;2082;Säter;Moderaterna;M;1;18.34862385321101;https://moderaterna.se/;#1B49DD
KF;2082;Säter;Monisterna; ;1502;;;
KF;2082;Säter;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;2082;Säter;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;2082;Säter;NaturFilosoferna; ;1460;;;
KF;2082;Säter;Naturistpartiet; ;1627;;;
KF;2082;Säter;Neoteknokraterna; ;1613;;;
KF;2082;Säter;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;2082;Säter;Nu får det fan vara nog; ;1623;;;
KF;2082;Säter;Ny Demokrati; ;1596;;;
KF;2082;Säter;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;2082;Säter;Nya Frihetspartiet; ;1443;;;
KF;2082;Säter;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;2082;Säter;OK; ;1478;;;
KF;2082;Säter;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;2082;Säter;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
KF;2082;Säter;Partiet Frihet; ;1599;;;
KF;2082;Säter;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/;
KF;2082;Säter;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/;
KF;2082;Säter;Pax; ;1491;;https://www.paxpartiet.se/;
KF;2082;Säter;Piratpartiet;PP;524;0.0;https://piratpartiet.se/;
KF;2082;Säter;Politiskt Skifte; ;1617;;;
KF;2082;Säter;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/;
KF;2082;Säter;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna;
KF;2082;Säter;Reformpartiet; ;1616;;;
KF;2082;Säter;Rikspolitiska partiet; ;1496;;;
KF;2082;Säter;SKP;Skp;1586;;https://skp.se;
KF;2082;Säter;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/;
KF;2082;Säter;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/;
KF;2082;Säter;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/;
KF;2082;Säter;Stora Norrlands oberoende Frihetsparti; ;1559;;;
KF;2082;Säter;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige;
KF;2082;Säter;Svensk Jobbdemokrati; ;1603;;;
KF;2082;Säter;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/;
