VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;181;Södertälje;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;181;Södertälje;ANARKISTERNA; ;1628;;;
KF;181;Södertälje;ANDOPARTIET; ;1602;;;
KF;181;Södertälje;Arbetarepartiet-Socialdemokraterna;S;2;31.28320432974511;https://www.socialdemokraterna.se/;#EE2020
KF;181;Södertälje;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;181;Södertälje;Bjornpartiet; ;1629;;;
KF;181;Södertälje;Centerpartiet;C;4;6.550331297132737;https://www.centerpartiet.se/;#009933
KF;181;Södertälje;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;181;Södertälje;Det minst dåliga partiet; ;1622;;;
KF;181;Södertälje;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;181;Södertälje;Drivkraft; ;1621;;;
KF;181;Södertälje;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;181;Södertälje;Enad Politik; ;1589;;;
KF;181;Södertälje;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;181;Södertälje;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;181;Södertälje;Enskild person/Riksdagen val; ;1614;;;
KF;181;Södertälje;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;181;Södertälje;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;181;Södertälje;EUSEC; ;1534;;;
KF;181;Södertälje;FAMILJENS FRIHET; ;1606;;;
KF;181;Södertälje;Fattigmans parti; ;1618;;;
KF;181;Södertälje;Feministiskt initiativ;FI;532;0.372087470402133;https://feministisktinitiativ.se/;
KF;181;Södertälje;FN Parti art.27; ;1631;;;
KF;181;Södertälje;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;181;Södertälje;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;181;Södertälje;Fredspartiet; ;1484;;;
KF;181;Södertälje;Fria Wermland; ;1548;;https://friawermland.se/;
KF;181;Södertälje;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;181;Södertälje;Fritt val; ;1479;;;
KF;181;Södertälje;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;181;Södertälje;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;181;Södertälje;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;181;Södertälje;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;181;Södertälje;Humanistisk demokrati (HD);HD;1480;;;
KF;181;Södertälje;Invandrarpartiet; ;1624;;;
KF;181;Södertälje;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;181;Södertälje;Kalle ankapartiet; ;1579;;;
KF;181;Södertälje;Kapitalism med vänligt ansikte; ;1495;;;
KF;181;Södertälje;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;181;Södertälje;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;181;Södertälje;Kristdemokraterna;KD;68;8.727142487613666;https://kristdemokraterna.se/;#231977
KF;181;Södertälje;Kristna Värdepartiet;KrVP;1551;0.3760670155401238;https://www.kristnavardepartiet.se/;
KF;181;Södertälje;KSP; ;1612;;;
KF;181;Södertälje;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;181;Södertälje;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;181;Södertälje;Liberalerna (tidigare Folkpartiet);L;3;5.455956384185288;https://www.liberalerna.se/;#6BB7EC
KF;181;Södertälje;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;181;Södertälje;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;181;Södertälje;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;181;Södertälje;Miljöpartiet de gröna;MP;55;5.438048431064329;https://www.mp.se/;#83CF39
KF;181;Södertälje;Min röst; ;1437;;;
KF;181;Södertälje;MITT SVERIGE; ;1591;;;
KF;181;Södertälje;MoD; ;1568;;https://partietmod.se/;
KF;181;Södertälje;Moderaterna;M;1;17.032453190600314;https://moderaterna.se/;#1B49DD
KF;181;Södertälje;Monisterna; ;1502;;;
KF;181;Södertälje;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;181;Södertälje;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;181;Södertälje;NaturFilosoferna; ;1460;;;
KF;181;Södertälje;Naturistpartiet; ;1627;;;
KF;181;Södertälje;Neoteknokraterna; ;1613;;;
KF;181;Södertälje;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
