VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;834;Torsås;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;834;Torsås;ANARKISTERNA; ;1628;;;
KF;834;Torsås;ANDOPARTIET; ;1602;;;
KF;834;Torsås;Arbetarepartiet-Socialdemokraterna;S;2;31.340465701699184;https://www.socialdemokraterna.se/;#EE2020
KF;834;Torsås;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;834;Torsås;Bjornpartiet; ;1629;;;
KF;834;Torsås;Centerpartiet;C;4;23.494860499265783;https://www.centerpartiet.se/;#009933
KF;834;Torsås;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;834;Torsås;Det minst dåliga partiet; ;1622;;;
KF;834;Torsås;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;834;Torsås;Drivkraft; ;1621;;;
KF;834;Torsås;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;834;Torsås;Enad Politik; ;1589;;;
KF;834;Torsås;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;834;Torsås;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;834;Torsås;Enskild person/Riksdagen val; ;1614;;;
KF;834;Torsås;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;834;Torsås;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;834;Torsås;EUSEC; ;1534;;;
KF;834;Torsås;FAMILJENS FRIHET; ;1606;;;
KF;834;Torsås;Fattigmans parti; ;1618;;;
KF;834;Torsås;Feministiskt initiativ;FI;532;0.18879798615481436;https://feministisktinitiativ.se/;
KF;834;Torsås;FN Parti art.27; ;1631;;;
KF;834;Torsås;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;834;Torsås;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;834;Torsås;Fredspartiet; ;1484;;;
KF;834;Torsås;Fria Wermland; ;1548;;https://friawermland.se/;
KF;834;Torsås;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;834;Torsås;Fritt val; ;1479;;;
KF;834;Torsås;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;834;Torsås;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;834;Torsås;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;834;Torsås;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;834;Torsås;Humanistisk demokrati (HD);HD;1480;;;
KF;834;Torsås;Invandrarpartiet; ;1624;;;
KF;834;Torsås;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;834;Torsås;Kalle ankapartiet; ;1579;;;
KF;834;Torsås;Kapitalism med vänligt ansikte; ;1495;;;
KF;834;Torsås;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;834;Torsås;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;834;Torsås;Kristdemokraterna;KD;68;4.552129221732746;https://kristdemokraterna.se/;#231977
KF;834;Torsås;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;834;Torsås;KSP; ;1612;;;
KF;834;Torsås;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;834;Torsås;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;834;Torsås;Liberalerna (tidigare Folkpartiet);L;3;4.908747640025173;https://www.liberalerna.se/;#6BB7EC
KF;834;Torsås;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;834;Torsås;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;834;Torsås;Medborgerlig Samling;MED;1296;2.328508495909377;https://www.medborgerligsamling.se/;
KF;834;Torsås;Miljöpartiet de gröna;MP;55;1.0488777008600796;https://www.mp.se/;#83CF39
KF;834;Torsås;Min röst; ;1437;;;
