VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1452;Tranemo;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1452;Tranemo;ANARKISTERNA; ;1628;;;
KF;1452;Tranemo;ANDOPARTIET; ;1602;;;
KF;1452;Tranemo;Arbetarepartiet-Socialdemokraterna;S;2;33.41938815025171;https://www.socialdemokraterna.se/;#EE2020
KF;1452;Tranemo;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1452;Tranemo;Bjornpartiet; ;1629;;;
KF;1452;Tranemo;Centerpartiet;C;4;22.318316767781077;https://www.centerpartiet.se/;#009933
KF;1452;Tranemo;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1452;Tranemo;Det minst dåliga partiet; ;1622;;;
KF;1452;Tranemo;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1452;Tranemo;Drivkraft; ;1621;;;
KF;1452;Tranemo;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1452;Tranemo;Enad Politik; ;1589;;;
KF;1452;Tranemo;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1452;Tranemo;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1452;Tranemo;Enskild person/Riksdagen val; ;1614;;;
KF;1452;Tranemo;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1452;Tranemo;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1452;Tranemo;EUSEC; ;1534;;;
KF;1452;Tranemo;FAMILJENS FRIHET; ;1606;;;
KF;1452;Tranemo;Fattigmans parti; ;1618;;;
KF;1452;Tranemo;Feministiskt initiativ;FI;532;0.1290822253775655;https://feministisktinitiativ.se/;
KF;1452;Tranemo;FN Parti art.27; ;1631;;;
KF;1452;Tranemo;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1452;Tranemo;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1452;Tranemo;Fredspartiet; ;1484;;;
KF;1452;Tranemo;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1452;Tranemo;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1452;Tranemo;Fritt val; ;1479;;;
KF;1452;Tranemo;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1452;Tranemo;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1452;Tranemo;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1452;Tranemo;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;1452;Tranemo;Humanistisk demokrati (HD);HD;1480;;;
KF;1452;Tranemo;Invandrarpartiet; ;1624;;;
KF;1452;Tranemo;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;1452;Tranemo;Kalle ankapartiet; ;1579;;;
KF;1452;Tranemo;Kapitalism med vänligt ansikte; ;1495;;;
KF;1452;Tranemo;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;1452;Tranemo;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;1452;Tranemo;Kristdemokraterna;KD;68;6.002323480056796;https://kristdemokraterna.se/;#231977
KF;1452;Tranemo;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;1452;Tranemo;KSP; ;1612;;;
KF;1452;Tranemo;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;1452;Tranemo;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;1452;Tranemo;Liberalerna (tidigare Folkpartiet);L;3;3.2915967471279206;https://www.liberalerna.se/;#6BB7EC
KF;1452;Tranemo;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;1452;Tranemo;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;1452;Tranemo;Medborgerlig Samling;MED;1296;0.14199044791532206;https://www.medborgerligsamling.se/;
KF;1452;Tranemo;Miljöpartiet de gröna;MP;55;3.3045049696656768;https://www.mp.se/;#83CF39
KF;1452;Tranemo;Min röst; ;1437;;;
KF;1452;Tranemo;MITT SVERIGE; ;1591;;;
KF;1452;Tranemo;MoD; ;1568;;https://partietmod.se/;
KF;1452;Tranemo;Moderaterna;M;1;14.14741190138118;https://moderaterna.se/;#1B49DD
KF;1452;Tranemo;Monisterna; ;1502;;;
KF;1452;Tranemo;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;1452;Tranemo;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;1452;Tranemo;NaturFilosoferna; ;1460;;;
KF;1452;Tranemo;Naturistpartiet; ;1627;;;
KF;1452;Tranemo;Neoteknokraterna; ;1613;;;
KF;1452;Tranemo;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;1452;Tranemo;Nu får det fan vara nog; ;1623;;;
KF;1452;Tranemo;Ny Demokrati; ;1596;;;
