VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;160;Täby;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;160;Täby;ANARKISTERNA; ;1628;;;
KF;160;Täby;ANDOPARTIET; ;1602;;;
KF;160;Täby;Arbetarepartiet-Socialdemokraterna;S;2;13.347444038227183;https://www.socialdemokraterna.se/;#EE2020
KF;160;Täby;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;160;Täby;Bjornpartiet; ;1629;;;
KF;160;Täby;Centerpartiet;C;4;8.81491458747568;https://www.centerpartiet.se/;#009933
KF;160;Täby;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;160;Täby;Det minst dåliga partiet; ;1622;;;
KF;160;Täby;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;160;Täby;Drivkraft; ;1621;;;
KF;160;Täby;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;160;Täby;Enad Politik; ;1589;;;
KF;160;Täby;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;160;Täby;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;160;Täby;Enskild person/Riksdagen val; ;1614;;;
KF;160;Täby;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;160;Täby;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;160;Täby;EUSEC; ;1534;;;
KF;160;Täby;FAMILJENS FRIHET; ;1606;;;
KF;160;Täby;Fattigmans parti; ;1618;;;
KF;160;Täby;Feministiskt initiativ;FI;532;0.2009706454578496;https://feministisktinitiativ.se/;
KF;160;Täby;FN Parti art.27; ;1631;;;
KF;160;Täby;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;160;Täby;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;160;Täby;Fredspartiet; ;1484;;;
KF;160;Täby;Fria Wermland; ;1548;;https://friawermland.se/;
KF;160;Täby;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;160;Täby;Fritt val; ;1479;;;
KF;160;Täby;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;160;Täby;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;160;Täby;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;160;Täby;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;160;Täby;Humanistisk demokrati (HD);HD;1480;;;
KF;160;Täby;Invandrarpartiet; ;1624;;;
KF;160;Täby;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;160;Täby;Kalle ankapartiet; ;1579;;;
KF;160;Täby;Kapitalism med vänligt ansikte; ;1495;;;
KF;160;Täby;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;160;Täby;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;160;Täby;Kristdemokraterna;KD;68;6.952729138605605;https://kristdemokraterna.se/;#231977
KF;160;Täby;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;160;Täby;KSP; ;1612;;;
