VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;2480;Umeå;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;2480;Umeå;ANARKISTERNA; ;1628;;;
KF;2480;Umeå;ANDOPARTIET; ;1602;;;
KF;2480;Umeå;Arbetarepartiet-Socialdemokraterna;S;2;30.35253756062936;https://www.socialdemokraterna.se/;#EE2020
KF;2480;Umeå;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;2480;Umeå;Bjornpartiet; ;1629;;;
KF;2480;Umeå;Centerpartiet;C;4;9.979888796876848;https://www.centerpartiet.se/;#009933
KF;2480;Umeå;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;2480;Umeå;Demokratiska Sekulära Socialister Arbetarpartiet;Ar P;1180;3.580977167869395;https://arbetarpartiet.se/;
KF;2480;Umeå;Det minst dåliga partiet; ;1622;;;
KF;2480;Umeå;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;2480;Umeå;Drivkraft; ;1621;;;
KF;2480;Umeå;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;2480;Umeå;Enad Politik; ;1589;;;
KF;2480;Umeå;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;2480;Umeå;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;2480;Umeå;Enskild person/Riksdagen val; ;1614;;;
KF;2480;Umeå;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;2480;Umeå;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;2480;Umeå;EUSEC; ;1534;;;
KF;2480;Umeå;FAMILJENS FRIHET; ;1606;;;
KF;2480;Umeå;Fattigmans parti; ;1618;;;
KF;2480;Umeå;Feministiskt initiativ;FI;532;2.083284041168816;https://feministisktinitiativ.se/;
KF;2480;Umeå;FN Parti art.27; ;1631;;;
KF;2480;Umeå;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;2480;Umeå;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;2480;Umeå;Fredspartiet; ;1484;;;
KF;2480;Umeå;Fria Wermland; ;1548;;https://friawermland.se/;
KF;2480;Umeå;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;2480;Umeå;Fritt val; ;1479;;;
KF;2480;Umeå;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;2480;Umeå;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;2480;Umeå;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;2480;Umeå;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;2480;Umeå;Humanistisk demokrati (HD);HD;1480;;;
KF;2480;Umeå;Invandrarpartiet; ;1624;;;
KF;2480;Umeå;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;2480;Umeå;Kalle ankapartiet; ;1579;;;
KF;2480;Umeå;Kapitalism med vänligt ansikte; ;1495;;;
KF;2480;Umeå;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;2480;Umeå;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;2480;Umeå;Kommunistiska Partiet;K;471;0.0;https://kommunisterna.org/;
KF;2480;Umeå;Kristdemokraterna;KD;68;3.789187270791435;https://kristdemokraterna.se/;#231977
KF;2480;Umeå;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;2480;Umeå;KSP; ;1612;;;
KF;2480;Umeå;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;2480;Umeå;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;2480;Umeå;Liberalerna (tidigare Folkpartiet);L;3;5.764817224653969;https://www.liberalerna.se/;#6BB7EC
KF;2480;Umeå;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;2480;Umeå;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;2480;Umeå;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;2480;Umeå;Miljöpartiet de gröna;MP;55;5.427658819354075;https://www.mp.se/;#83CF39
KF;2480;Umeå;Min röst; ;1437;;;
