VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;584;Vadstena;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;584;Vadstena;ANARKISTERNA; ;1628;;;
KF;584;Vadstena;ANDOPARTIET; ;1602;;;
KF;584;Vadstena;Arbetarepartiet-Socialdemokraterna;S;2;22.824240135925997;https://www.socialdemokraterna.se/;#EE2020
KF;584;Vadstena;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;584;Vadstena;Bjornpartiet; ;1629;;;
KF;584;Vadstena;Centerpartiet;C;4;8.061166698131018;https://www.centerpartiet.se/;#009933
KF;584;Vadstena;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;584;Vadstena;Det minst dåliga partiet; ;1622;;;
KF;584;Vadstena;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;584;Vadstena;Drivkraft; ;1621;;;
KF;584;Vadstena;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;584;Vadstena;Enad Politik; ;1589;;;
KF;584;Vadstena;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;584;Vadstena;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;584;Vadstena;Enskild person/Riksdagen val; ;1614;;;
KF;584;Vadstena;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;584;Vadstena;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;584;Vadstena;EUSEC; ;1534;;;
KF;584;Vadstena;FAMILJENS FRIHET; ;1606;;;
KF;584;Vadstena;Fattigmans parti; ;1618;;;
KF;584;Vadstena;Feministiskt initiativ;FI;532;0.07551444213705871;https://feministisktinitiativ.se/;
KF;584;Vadstena;FN Parti art.27; ;1631;;;
KF;584;Vadstena;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;584;Vadstena;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;584;Vadstena;Fredspartiet; ;1484;;;
KF;584;Vadstena;Fria Wermland; ;1548;;https://friawermland.se/;
KF;584;Vadstena;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;584;Vadstena;Fritt val; ;1479;;;
KF;584;Vadstena;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;584;Vadstena;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;584;Vadstena;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;584;Vadstena;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;584;Vadstena;Humanistisk demokrati (HD);HD;1480;;;
KF;584;Vadstena;Invandrarpartiet; ;1624;;;
KF;584;Vadstena;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;584;Vadstena;Kalle ankapartiet; ;1579;;;
KF;584;Vadstena;Kapitalism med vänligt ansikte; ;1495;;;
KF;584;Vadstena;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;584;Vadstena;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;584;Vadstena;Konsensus - För Vadstenas Bästa;Kons;1258;22.106852935623937;https://www.konsensusvadstena.se/;
KF;584;Vadstena;Kristdemokraterna;KD;68;3.9833868227298472;https://kristdemokraterna.se/;#231977
KF;584;Vadstena;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;584;Vadstena;KSP; ;1612;;;
KF;584;Vadstena;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;584;Vadstena;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;584;Vadstena;Liberalerna (tidigare Folkpartiet);L;3;1.812346611289409;https://www.liberalerna.se/;#6BB7EC
KF;584;Vadstena;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;584;Vadstena;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;584;Vadstena;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;584;Vadstena;Miljöpartiet de gröna;MP;55;4.191051538606758;https://www.mp.se/;#83CF39
KF;584;Vadstena;Min röst; ;1437;;;
KF;584;Vadstena;MITT SVERIGE; ;1591;;;
KF;584;Vadstena;MoD; ;1568;;https://partietmod.se/;
KF;584;Vadstena;Moderaterna;M;1;23.7304134415707;https://moderaterna.se/;#1B49DD
KF;584;Vadstena;Monisterna; ;1502;;;
KF;584;Vadstena;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;584;Vadstena;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;584;Vadstena;NaturFilosoferna; ;1460;;;
KF;584;Vadstena;Naturistpartiet; ;1627;;;
KF;584;Vadstena;Neoteknokraterna; ;1613;;;
KF;584;Vadstena;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;584;Vadstena;Nu får det fan vara nog; ;1623;;;
KF;584;Vadstena;Ny Demokrati; ;1596;;;
KF;584;Vadstena;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;584;Vadstena;Nya Frihetspartiet; ;1443;;;
KF;584;Vadstena;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;584;Vadstena;OK; ;1478;;;
KF;584;Vadstena;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;584;Vadstena;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
KF;584;Vadstena;Partiet Frihet; ;1599;;;
KF;584;Vadstena;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/;
KF;584;Vadstena;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/;
KF;584;Vadstena;Pax; ;1491;;https://www.paxpartiet.se/;
KF;584;Vadstena;Piratpartiet;PP;524;0.0;https://piratpartiet.se/;
KF;584;Vadstena;Politiskt Skifte; ;1617;;;
KF;584;Vadstena;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/;
KF;584;Vadstena;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna;
KF;584;Vadstena;Reformpartiet; ;1616;;;
KF;584;Vadstena;Rikspolitiska partiet; ;1496;;;
KF;584;Vadstena;SKP;Skp;1586;;https://skp.se;
KF;584;Vadstena;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/;
KF;584;Vadstena;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/;
KF;584;Vadstena;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/;
KF;584;Vadstena;Stora Norrlands oberoende Frihetsparti; ;1559;;;
KF;584;Vadstena;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige;
KF;584;Vadstena;Svensk Jobbdemokrati; ;1603;;;
KF;584;Vadstena;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/;
KF;584;Vadstena;SVENSKARNA; ;1444;;https://svenskarna.org/;
KF;584;Vadstena;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;;
KF;584;Vadstena;Sverigedemokraterna;SD;110;7.136114781952048;https://sd.se/;#DDDD00
KF;584;Vadstena;Sverigepartiet; ;1457;;https://sverigepartiet.se/;
KF;584;Vadstena;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html;
KF;584;Vadstena;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/;
KF;584;Vadstena;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/;
KF;584;Vadstena;Upprorsdemokraterna; ;1630;;;
KF;584;Vadstena;Valsamverkanspartiet; ;1526;;;
KF;584;Vadstena;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/;
KF;584;Vadstena;Volt Sverige;Volt;1610;;;
KF;584;Vadstena;Vänsterpartiet;V;5;6.003398149896168;https://www.vansterpartiet.se/;#AF0000
KF;584;Vadstena;Yggdrasil; ;1454;;;
KF;584;Vadstena;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/;
