VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;563;Valdemarsvik;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;563;Valdemarsvik;ANARKISTERNA; ;1628;;
KF;563;Valdemarsvik;ANDOPARTIET; ;1602;;
KF;563;Valdemarsvik;Arbetarepartiet-Socialdemokraterna;S;2;29.49096274437477;https://www.socialdemokraterna.se/
KF;563;Valdemarsvik;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;563;Valdemarsvik;Bjornpartiet; ;1629;;
KF;563;Valdemarsvik;Centerpartiet;C;4;16.48838067133899;https://www.centerpartiet.se/
KF;563;Valdemarsvik;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;563;Valdemarsvik;Det minst dåliga partiet; ;1622;;
KF;563;Valdemarsvik;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;563;Valdemarsvik;Drivkraft; ;1621;;
KF;563;Valdemarsvik;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;563;Valdemarsvik;Enad Politik; ;1589;;
KF;563;Valdemarsvik;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;563;Valdemarsvik;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;563;Valdemarsvik;Enskild person/Riksdagen val; ;1614;;
KF;563;Valdemarsvik;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;563;Valdemarsvik;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;563;Valdemarsvik;EUSEC; ;1534;;
KF;563;Valdemarsvik;FAMILJENS FRIHET; ;1606;;
KF;563;Valdemarsvik;Fattigmans parti; ;1618;;
KF;563;Valdemarsvik;Feministiskt initiativ;FI;532;0.12910365178900773;https://feministisktinitiativ.se/
KF;563;Valdemarsvik;FN Parti art.27; ;1631;;
KF;563;Valdemarsvik;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;563;Valdemarsvik;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;563;Valdemarsvik;Fredspartiet; ;1484;;
KF;563;Valdemarsvik;Fria Wermland; ;1548;;https://friawermland.se/
KF;563;Valdemarsvik;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;563;Valdemarsvik;Fritt val; ;1479;;
KF;563;Valdemarsvik;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;563;Valdemarsvik;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;563;Valdemarsvik;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;563;Valdemarsvik;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;563;Valdemarsvik;Humanistisk demokrati (HD);HD;1480;;
KF;563;Valdemarsvik;Invandrarpartiet; ;1624;;
KF;563;Valdemarsvik;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;563;Valdemarsvik;Kalle ankapartiet; ;1579;;
KF;563;Valdemarsvik;Kapitalism med vänligt ansikte; ;1495;;
KF;563;Valdemarsvik;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;563;Valdemarsvik;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;563;Valdemarsvik;Kristdemokraterna;KD;68;3.983769826632239;https://kristdemokraterna.se/
KF;563;Valdemarsvik;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;563;Valdemarsvik;KSP; ;1612;;
KF;563;Valdemarsvik;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;563;Valdemarsvik;Landsbygdspartiet Oberoende;LPo;1011;4.721504979712283;https://landsbygdspartiet.org/
KF;563;Valdemarsvik;Liberalerna (tidigare Folkpartiet);L;3;1.7152342309111028;https://www.liberalerna.se/
KF;563;Valdemarsvik;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;563;Valdemarsvik;Medborgarresan; ;1330;;https://citizenwell.se/
KF;563;Valdemarsvik;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;563;Valdemarsvik;Miljöpartiet de gröna;MP;55;1.8258945038731096;https://www.mp.se/
KF;563;Valdemarsvik;Min röst; ;1437;;
KF;563;Valdemarsvik;MITT SVERIGE; ;1591;;
KF;563;Valdemarsvik;MoD; ;1568;;https://partietmod.se/
KF;563;Valdemarsvik;Moderaterna;M;1;19.67908520841018;https://moderaterna.se/
KF;563;Valdemarsvik;Monisterna; ;1502;;
KF;563;Valdemarsvik;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;563;Valdemarsvik;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;563;Valdemarsvik;NaturFilosoferna; ;1460;;
KF;563;Valdemarsvik;Naturistpartiet; ;1627;;
KF;563;Valdemarsvik;Neoteknokraterna; ;1613;;
KF;563;Valdemarsvik;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;563;Valdemarsvik;Nu får det fan vara nog; ;1623;;
KF;563;Valdemarsvik;Ny Demokrati; ;1596;;
KF;563;Valdemarsvik;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;563;Valdemarsvik;Nya Frihetspartiet; ;1443;;
KF;563;Valdemarsvik;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;563;Valdemarsvik;Nybyggarpartiet;NB;984;4.721504979712283;https://www.facebook.com/Nybyggarpartiet
KF;563;Valdemarsvik;OK; ;1478;;
KF;563;Valdemarsvik;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;563;Valdemarsvik;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;563;Valdemarsvik;Partiet Frihet; ;1599;;
KF;563;Valdemarsvik;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
KF;563;Valdemarsvik;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;563;Valdemarsvik;Pax; ;1491;;https://www.paxpartiet.se/
KF;563;Valdemarsvik;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;563;Valdemarsvik;Politiskt Skifte; ;1617;;
KF;563;Valdemarsvik;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;563;Valdemarsvik;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;563;Valdemarsvik;Reformpartiet; ;1616;;
KF;563;Valdemarsvik;Rikspolitiska partiet; ;1496;;
KF;563;Valdemarsvik;SKP;Skp;1586;;https://skp.se
KF;563;Valdemarsvik;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;563;Valdemarsvik;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;563;Valdemarsvik;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;563;Valdemarsvik;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;563;Valdemarsvik;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;563;Valdemarsvik;Svensk Jobbdemokrati; ;1603;;
KF;563;Valdemarsvik;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;563;Valdemarsvik;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;563;Valdemarsvik;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;563;Valdemarsvik;Sverigedemokraterna;SD;110;12.762818148284765;https://sd.se/
KF;563;Valdemarsvik;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;563;Valdemarsvik;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;563;Valdemarsvik;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;563;Valdemarsvik;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;563;Valdemarsvik;Upprorsdemokraterna; ;1630;;
KF;563;Valdemarsvik;Valsamverkanspartiet; ;1526;;
KF;563;Valdemarsvik;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;563;Valdemarsvik;Volt Sverige;Volt;1610;;
KF;563;Valdemarsvik;Vänsterpartiet;V;5;4.352637403172261;https://www.vansterpartiet.se/
KF;563;Valdemarsvik;Yggdrasil; ;1454;;
KF;563;Valdemarsvik;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
