VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;115;Vallentuna;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;115;Vallentuna;ANARKISTERNA; ;1628;;;
KF;115;Vallentuna;ANDOPARTIET; ;1602;;;
KF;115;Vallentuna;Arbetarepartiet-Socialdemokraterna;S;2;19.210401891252953;https://www.socialdemokraterna.se/;#EE2020
KF;115;Vallentuna;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;115;Vallentuna;Bjornpartiet; ;1629;;;
KF;115;Vallentuna;Centerpartiet;C;4;11.947990543735225;https://www.centerpartiet.se/;#009933
KF;115;Vallentuna;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;115;Vallentuna;Det minst dåliga partiet; ;1622;;;
KF;115;Vallentuna;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;115;Vallentuna;Drivkraft; ;1621;;;
KF;115;Vallentuna;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;115;Vallentuna;Enad Politik; ;1589;;;
KF;115;Vallentuna;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;115;Vallentuna;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;115;Vallentuna;Enskild person/Riksdagen val; ;1614;;;
KF;115;Vallentuna;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;115;Vallentuna;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;115;Vallentuna;EUSEC; ;1534;;;
KF;115;Vallentuna;FAMILJENS FRIHET; ;1606;;;
KF;115;Vallentuna;Fattigmans parti; ;1618;;;
KF;115;Vallentuna;Feministiskt initiativ;FI;532;0.26004728132387706;https://feministisktinitiativ.se/;
KF;115;Vallentuna;FN Parti art.27; ;1631;;;
KF;115;Vallentuna;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;115;Vallentuna;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;115;Vallentuna;Fredspartiet; ;1484;;;
KF;115;Vallentuna;Fria Wermland; ;1548;;https://friawermland.se/;
KF;115;Vallentuna;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;115;Vallentuna;Fritt val; ;1479;;;
KF;115;Vallentuna;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;115;Vallentuna;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;115;Vallentuna;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;115;Vallentuna;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;115;Vallentuna;Humanistisk demokrati (HD);HD;1480;;;
KF;115;Vallentuna;Invandrarpartiet; ;1624;;;
KF;115;Vallentuna;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;115;Vallentuna;Kalle ankapartiet; ;1579;;;
KF;115;Vallentuna;Kapitalism med vänligt ansikte; ;1495;;;
KF;115;Vallentuna;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;115;Vallentuna;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;115;Vallentuna;Kristdemokraterna;KD;68;5.617021276595745;https://kristdemokraterna.se/;#231977
KF;115;Vallentuna;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;115;Vallentuna;KSP; ;1612;;;
KF;115;Vallentuna;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;115;Vallentuna;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;115;Vallentuna;Liberalerna (tidigare Folkpartiet);L;3;9.872340425531915;https://www.liberalerna.se/;#6BB7EC
KF;115;Vallentuna;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;115;Vallentuna;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;115;Vallentuna;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;115;Vallentuna;Miljöpartiet de gröna;MP;55;4.973995271867612;https://www.mp.se/;#83CF39
KF;115;Vallentuna;Min röst; ;1437;;;
KF;115;Vallentuna;MITT SVERIGE; ;1591;;;
KF;115;Vallentuna;MoD; ;1568;;https://partietmod.se/;
KF;115;Vallentuna;Moderaterna;M;1;30.534278959810873;https://moderaterna.se/;#1B49DD
KF;115;Vallentuna;Monisterna; ;1502;;;
KF;115;Vallentuna;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;115;Vallentuna;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;115;Vallentuna;NaturFilosoferna; ;1460;;;
KF;115;Vallentuna;Naturistpartiet; ;1627;;;
KF;115;Vallentuna;Neoteknokraterna; ;1613;;;
KF;115;Vallentuna;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;115;Vallentuna;Nu får det fan vara nog; ;1623;;;
KF;115;Vallentuna;Ny Demokrati; ;1596;;;
