VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;187;Vaxholm;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;187;Vaxholm;ANARKISTERNA; ;1628;;;
KF;187;Vaxholm;ANDOPARTIET; ;1602;;;
KF;187;Vaxholm;Arbetarepartiet-Socialdemokraterna;S;2;13.141581948921399;https://www.socialdemokraterna.se/;#EE2020
KF;187;Vaxholm;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;187;Vaxholm;Bjornpartiet; ;1629;;;
KF;187;Vaxholm;Centerpartiet;C;4;14.505331019092488;https://www.centerpartiet.se/;#009933
KF;187;Vaxholm;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;187;Vaxholm;Det minst dåliga partiet; ;1622;;;
KF;187;Vaxholm;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;187;Vaxholm;Drivkraft; ;1621;;;
KF;187;Vaxholm;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;187;Vaxholm;Enad Politik; ;1589;;;
KF;187;Vaxholm;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;187;Vaxholm;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;187;Vaxholm;Enskild person/Riksdagen val; ;1614;;;
KF;187;Vaxholm;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;187;Vaxholm;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;187;Vaxholm;EUSEC; ;1534;;;
KF;187;Vaxholm;FAMILJENS FRIHET; ;1606;;;
KF;187;Vaxholm;Fattigmans parti; ;1618;;;
KF;187;Vaxholm;Feministiskt initiativ;FI;532;0.1611703446565832;https://feministisktinitiativ.se/;
KF;187;Vaxholm;FN Parti art.27; ;1631;;;
KF;187;Vaxholm;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;187;Vaxholm;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;187;Vaxholm;Fredspartiet; ;1484;;;
KF;187;Vaxholm;Fria Wermland; ;1548;;https://friawermland.se/;
KF;187;Vaxholm;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;187;Vaxholm;Fritt val; ;1479;;;
KF;187;Vaxholm;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;187;Vaxholm;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;187;Vaxholm;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;187;Vaxholm;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;187;Vaxholm;Humanistisk demokrati (HD);HD;1480;;;
KF;187;Vaxholm;Invandrarpartiet; ;1624;;;
KF;187;Vaxholm;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;187;Vaxholm;Kalle ankapartiet; ;1579;;;
KF;187;Vaxholm;Kapitalism med vänligt ansikte; ;1495;;;
KF;187;Vaxholm;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;187;Vaxholm;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;187;Vaxholm;Kristdemokraterna;KD;68;2.330771138110588;https://kristdemokraterna.se/;#231977
KF;187;Vaxholm;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;187;Vaxholm;KSP; ;1612;;;
KF;187;Vaxholm;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;187;Vaxholm;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;187;Vaxholm;Liberalerna (tidigare Folkpartiet);L;3;6.285643441606744;https://www.liberalerna.se/;#6BB7EC
KF;187;Vaxholm;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;187;Vaxholm;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;187;Vaxholm;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;187;Vaxholm;Miljöpartiet de gröna;MP;55;4.587155963302752;https://www.mp.se/;#83CF39
KF;187;Vaxholm;Min röst; ;1437;;;
KF;187;Vaxholm;MITT SVERIGE; ;1591;;;
KF;187;Vaxholm;MoD; ;1568;;https://partietmod.se/;
KF;187;Vaxholm;Moderaterna;M;1;22.477064220183486;https://moderaterna.se/;#1B49DD
KF;187;Vaxholm;Monisterna; ;1502;;;
KF;187;Vaxholm;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;187;Vaxholm;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;187;Vaxholm;NaturFilosoferna; ;1460;;;
KF;187;Vaxholm;Naturistpartiet; ;1627;;;
KF;187;Vaxholm;Neoteknokraterna; ;1613;;;
KF;187;Vaxholm;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;187;Vaxholm;Nu får det fan vara nog; ;1623;;;
KF;187;Vaxholm;Ny Demokrati; ;1596;;;
