VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;884;Vimmerby;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;884;Vimmerby;ANARKISTERNA; ;1628;;;
KF;884;Vimmerby;ANDOPARTIET; ;1602;;;
KF;884;Vimmerby;Arbetarepartiet-Socialdemokraterna;S;2;25.0790608528989;https://www.socialdemokraterna.se/;#EE2020
KF;884;Vimmerby;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;884;Vimmerby;Bjornpartiet; ;1629;;;
KF;884;Vimmerby;Centerpartiet;C;4;28.068998562529945;https://www.centerpartiet.se/;#009933
KF;884;Vimmerby;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;884;Vimmerby;Det minst dåliga partiet; ;1622;;;
KF;884;Vimmerby;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;884;Vimmerby;Drivkraft; ;1621;;;
KF;884;Vimmerby;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;884;Vimmerby;Enad Politik; ;1589;;;
KF;884;Vimmerby;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;884;Vimmerby;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;884;Vimmerby;Enskild person/Riksdagen val; ;1614;;;
KF;884;Vimmerby;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;884;Vimmerby;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;884;Vimmerby;EUSEC; ;1534;;;
KF;884;Vimmerby;FAMILJENS FRIHET; ;1606;;;
KF;884;Vimmerby;Fattigmans parti; ;1618;;;
KF;884;Vimmerby;Feministiskt initiativ;FI;532;0.13416387158600862;https://feministisktinitiativ.se/;
KF;884;Vimmerby;FN Parti art.27; ;1631;;;
KF;884;Vimmerby;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;884;Vimmerby;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;884;Vimmerby;Fredspartiet; ;1484;;;
KF;884;Vimmerby;Fria Wermland; ;1548;;https://friawermland.se/;
KF;884;Vimmerby;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;884;Vimmerby;Fritt val; ;1479;;;
KF;884;Vimmerby;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
