VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1487;Vänersborg;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1487;Vänersborg;ANARKISTERNA; ;1628;;;
KF;1487;Vänersborg;ANDOPARTIET; ;1602;;;
KF;1487;Vänersborg;Arbetarepartiet-Socialdemokraterna;S;2;28.108874620868953;https://www.socialdemokraterna.se/;#EE2020
KF;1487;Vänersborg;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1487;Vänersborg;Bjornpartiet; ;1629;;;
KF;1487;Vänersborg;Centerpartiet;C;4;8.449206286682161;https://www.centerpartiet.se/;#009933
KF;1487;Vänersborg;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1487;Vänersborg;Det minst dåliga partiet; ;1622;;;
KF;1487;Vänersborg;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1487;Vänersborg;Drivkraft; ;1621;;;
KF;1487;Vänersborg;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1487;Vänersborg;Enad Politik; ;1589;;;
KF;1487;Vänersborg;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1487;Vänersborg;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1487;Vänersborg;Enskild person/Riksdagen val; ;1614;;;
KF;1487;Vänersborg;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1487;Vänersborg;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1487;Vänersborg;EUSEC; ;1534;;;
KF;1487;Vänersborg;FAMILJENS FRIHET; ;1606;;;
KF;1487;Vänersborg;Fattigmans parti; ;1618;;;
KF;1487;Vänersborg;Feministiskt initiativ;FI;532;0.17725607594438098;https://feministisktinitiativ.se/;
KF;1487;Vänersborg;FN Parti art.27; ;1631;;;
KF;1487;Vänersborg;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1487;Vänersborg;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1487;Vänersborg;Fredspartiet; ;1484;;;
KF;1487;Vänersborg;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1487;Vänersborg;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1487;Vänersborg;Fritt val; ;1479;;;
KF;1487;Vänersborg;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1487;Vänersborg;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1487;Vänersborg;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1487;Vänersborg;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;1487;Vänersborg;Humanistisk demokrati (HD);HD;1480;;;
KF;1487;Vänersborg;Invandrarpartiet; ;1624;;;
KF;1487;Vänersborg;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;1487;Vänersborg;Kalle ankapartiet; ;1579;;;
KF;1487;Vänersborg;Kapitalism med vänligt ansikte; ;1495;;;
KF;1487;Vänersborg;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;1487;Vänersborg;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;1487;Vänersborg;Kristdemokraterna;KD;68;6.014889510379328;https://kristdemokraterna.se/;#231977
KF;1487;Vänersborg;Kristna Värdepartiet;KrVP;1551;0.10241462165675345;https://www.kristnavardepartiet.se/;
KF;1487;Vänersborg;KSP; ;1612;;;
KF;1487;Vänersborg;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;1487;Vänersborg;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;1487;Vänersborg;Liberalerna (tidigare Folkpartiet);L;3;5.089218891558671;https://www.liberalerna.se/;#6BB7EC
KF;1487;Vänersborg;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;1487;Vänersborg;Medborgarpartiet;Vfp;505;3.5175483515184935;https://medborgarpartiet.nu/;
KF;1487;Vänersborg;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;1487;Vänersborg;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;1487;Vänersborg;Miljöpartiet de gröna;MP;55;3.8169141686690033;https://www.mp.se/;#83CF39
KF;1487;Vänersborg;Min röst; ;1437;;;
KF;1487;Vänersborg;MITT SVERIGE; ;1591;;;
KF;1487;Vänersborg;MoD; ;1568;;https://partietmod.se/;
KF;1487;Vänersborg;Moderaterna;M;1;18.434631898215624;https://moderaterna.se/;#1B49DD
KF;1487;Vänersborg;Monisterna; ;1502;;;
KF;1487;Vänersborg;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;1487;Vänersborg;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;1487;Vänersborg;NaturFilosoferna; ;1460;;;
KF;1487;Vänersborg;Naturistpartiet; ;1627;;;
KF;1487;Vänersborg;Neoteknokraterna; ;1613;;;
KF;1487;Vänersborg;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;1487;Vänersborg;Nu får det fan vara nog; ;1623;;;
KF;1487;Vänersborg;Ny Demokrati; ;1596;;;
KF;1487;Vänersborg;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;1487;Vänersborg;Nya Frihetspartiet; ;1443;;;
KF;1487;Vänersborg;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;1487;Vänersborg;OK; ;1478;;;
KF;1487;Vänersborg;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;1487;Vänersborg;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
