VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;512;Ydre;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;512;Ydre;ANARKISTERNA; ;1628;;;
KF;512;Ydre;ANDOPARTIET; ;1602;;;
KF;512;Ydre;Arbetarepartiet-Socialdemokraterna;S;2;22.076418371285218;https://www.socialdemokraterna.se/;#EE2020
KF;512;Ydre;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;512;Ydre;Bjornpartiet; ;1629;;;
KF;512;Ydre;Centerpartiet;C;4;31.57082207641837;https://www.centerpartiet.se/;#009933
KF;512;Ydre;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;512;Ydre;Det minst dåliga partiet; ;1622;;;
KF;512;Ydre;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;512;Ydre;Drivkraft; ;1621;;;
KF;512;Ydre;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;512;Ydre;Enad Politik; ;1589;;;
KF;512;Ydre;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;512;Ydre;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;512;Ydre;Enskild person/Riksdagen val; ;1614;;;
KF;512;Ydre;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;512;Ydre;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;512;Ydre;EUSEC; ;1534;;;
KF;512;Ydre;FAMILJENS FRIHET; ;1606;;;
KF;512;Ydre;Fattigmans parti; ;1618;;;
KF;512;Ydre;Feministiskt initiativ;FI;532;0.23157082207641835;https://feministisktinitiativ.se/;
KF;512;Ydre;FN Parti art.27; ;1631;;;
KF;512;Ydre;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;512;Ydre;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;512;Ydre;Fredspartiet; ;1484;;;
KF;512;Ydre;Fria Wermland; ;1548;;https://friawermland.se/;
KF;512;Ydre;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;512;Ydre;Fritt val; ;1479;;;
KF;512;Ydre;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;512;Ydre;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;512;Ydre;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;512;Ydre;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;512;Ydre;Humanistisk demokrati (HD);HD;1480;;;
KF;512;Ydre;Invandrarpartiet; ;1624;;;
KF;512;Ydre;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;512;Ydre;Kalle ankapartiet; ;1579;;;
KF;512;Ydre;Kapitalism med vänligt ansikte; ;1495;;;
KF;512;Ydre;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;512;Ydre;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;512;Ydre;Kristdemokraterna;KD;68;6.63836356619066;https://kristdemokraterna.se/;#231977
KF;512;Ydre;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;512;Ydre;KSP; ;1612;;;
KF;512;Ydre;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;512;Ydre;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;512;Ydre;Liberalerna (tidigare Folkpartiet);L;3;0.7333076032419915;https://www.liberalerna.se/;#6BB7EC
KF;512;Ydre;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;512;Ydre;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;512;Ydre;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;512;Ydre;Miljöpartiet de gröna;MP;55;3.975299112311849;https://www.mp.se/;#83CF39
KF;512;Ydre;Min röst; ;1437;;;
KF;512;Ydre;MITT SVERIGE; ;1591;;;
KF;512;Ydre;MoD; ;1568;;https://partietmod.se/;
