VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1286;Ystad;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1286;Ystad;ANARKISTERNA; ;1628;;
KF;1286;Ystad;ANDOPARTIET; ;1602;;
KF;1286;Ystad;Arbetarepartiet-Socialdemokraterna;S;2;31.528523733488168;https://www.socialdemokraterna.se/
KF;1286;Ystad;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1286;Ystad;Bjornpartiet; ;1629;;
KF;1286;Ystad;Centerpartiet;C;4;9.565974742342865;https://www.centerpartiet.se/
KF;1286;Ystad;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1286;Ystad;Det minst dåliga partiet; ;1622;;
KF;1286;Ystad;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1286;Ystad;Drivkraft; ;1621;;
KF;1286;Ystad;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1286;Ystad;Enad Politik; ;1589;;
KF;1286;Ystad;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1286;Ystad;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1286;Ystad;Enskild person/Riksdagen val; ;1614;;
KF;1286;Ystad;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;1286;Ystad;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;1286;Ystad;EUSEC; ;1534;;
KF;1286;Ystad;FAMILJENS FRIHET; ;1606;;
KF;1286;Ystad;Fattigmans parti; ;1618;;
KF;1286;Ystad;Feministiskt initiativ;FI;532;0.2854792664634441;https://feministisktinitiativ.se/
KF;1286;Ystad;FN Parti art.27; ;1631;;
KF;1286;Ystad;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1286;Ystad;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1286;Ystad;Fredspartiet; ;1484;;
KF;1286;Ystad;Fria Wermland; ;1548;;https://friawermland.se/
KF;1286;Ystad;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1286;Ystad;Fritt val; ;1479;;
KF;1286;Ystad;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1286;Ystad;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1286;Ystad;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1286;Ystad;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1286;Ystad;Humanistisk demokrati (HD);HD;1480;;
KF;1286;Ystad;Invandrarpartiet; ;1624;;
KF;1286;Ystad;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
