VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;2039;Älvdalen;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;2039;Älvdalen;ANARKISTERNA; ;1628;;;
KF;2039;Älvdalen;ANDOPARTIET; ;1602;;;
KF;2039;Älvdalen;Arbetarepartiet-Socialdemokraterna;S;2;28.843710292249046;https://www.socialdemokraterna.se/;#EE2020
KF;2039;Älvdalen;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;2039;Älvdalen;Bjornpartiet; ;1629;;;
KF;2039;Älvdalen;Centerpartiet;C;4;29.923761118170265;https://www.centerpartiet.se/;#009933
KF;2039;Älvdalen;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;2039;Älvdalen;Det minst dåliga partiet; ;1622;;;
KF;2039;Älvdalen;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;2039;Älvdalen;Drivkraft; ;1621;;;
KF;2039;Älvdalen;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;2039;Älvdalen;Enad Politik; ;1589;;;
KF;2039;Älvdalen;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;2039;Älvdalen;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;2039;Älvdalen;Enskild person/Riksdagen val; ;1614;;;
KF;2039;Älvdalen;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;2039;Älvdalen;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;2039;Älvdalen;EUSEC; ;1534;;;
KF;2039;Älvdalen;FAMILJENS FRIHET; ;1606;;;
KF;2039;Älvdalen;Fattigmans parti; ;1618;;;
KF;2039;Älvdalen;Feministiskt initiativ;FI;532;0.08470986869970351;https://feministisktinitiativ.se/;
KF;2039;Älvdalen;FN Parti art.27; ;1631;;;
KF;2039;Älvdalen;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;2039;Älvdalen;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;2039;Älvdalen;Fredspartiet; ;1484;;;
KF;2039;Älvdalen;Fria Wermland; ;1548;;https://friawermland.se/;
KF;2039;Älvdalen;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;2039;Älvdalen;Fritt val; ;1479;;;
KF;2039;Älvdalen;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;2039;Älvdalen;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;2039;Älvdalen;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;2039;Älvdalen;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;2039;Älvdalen;Humanistisk demokrati (HD);HD;1480;;;
KF;2039;Älvdalen;Invandrarpartiet; ;1624;;;
KF;2039;Älvdalen;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;2039;Älvdalen;Kalle ankapartiet; ;1579;;;
KF;2039;Älvdalen;Kapitalism med vänligt ansikte; ;1495;;;
KF;2039;Älvdalen;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;2039;Älvdalen;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;2039;Älvdalen;Kommunlistan;KL;512;9.360440491317238;https://www.facebook.com/kommunlistanalvdalen;
KF;2039;Älvdalen;Kristdemokraterna;KD;68;0.6565014824227022;https://kristdemokraterna.se/;#231977
KF;2039;Älvdalen;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;2039;Älvdalen;KSP; ;1612;;;
KF;2039;Älvdalen;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;2039;Älvdalen;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;2039;Älvdalen;Liberalerna (tidigare Folkpartiet);L;3;2.435408725116476;https://www.liberalerna.se/;#6BB7EC
KF;2039;Älvdalen;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;2039;Älvdalen;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;2039;Älvdalen;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;2039;Älvdalen;Miljöpartiet de gröna;MP;55;1.6518424396442184;https://www.mp.se/;#83CF39
KF;2039;Älvdalen;Min röst; ;1437;;;
KF;2039;Älvdalen;MITT SVERIGE; ;1591;;;
KF;2039;Älvdalen;MoD; ;1568;;https://partietmod.se/;
KF;2039;Älvdalen;Moderaterna;M;1;9.487505294366795;https://moderaterna.se/;#1B49DD
KF;2039;Älvdalen;Monisterna; ;1502;;;
KF;2039;Älvdalen;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;2039;Älvdalen;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;2039;Älvdalen;NaturFilosoferna; ;1460;;;
KF;2039;Älvdalen;Naturistpartiet; ;1627;;;
KF;2039;Älvdalen;Neoteknokraterna; ;1613;;;
KF;2039;Älvdalen;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;2039;Älvdalen;Nu får det fan vara nog; ;1623;;;
KF;2039;Älvdalen;Ny Demokrati; ;1596;;;
KF;2039;Älvdalen;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;2039;Älvdalen;Nya Frihetspartiet; ;1443;;;
KF;2039;Älvdalen;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;2039;Älvdalen;OK; ;1478;;;
KF;2039;Älvdalen;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;2039;Älvdalen;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
KF;2039;Älvdalen;Partiet Frihet; ;1599;;;
KF;2039;Älvdalen;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/;
KF;2039;Älvdalen;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/;
KF;2039;Älvdalen;Pax; ;1491;;https://www.paxpartiet.se/;
KF;2039;Älvdalen;Piratpartiet;PP;524;0.0;https://piratpartiet.se/;
KF;2039;Älvdalen;Politiskt Skifte; ;1617;;;
KF;2039;Älvdalen;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/;
KF;2039;Älvdalen;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna;
KF;2039;Älvdalen;Reformpartiet; ;1616;;;
KF;2039;Älvdalen;Rikspolitiska partiet; ;1496;;;
KF;2039;Älvdalen;SKP;Skp;1586;;https://skp.se;
KF;2039;Älvdalen;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/;
KF;2039;Älvdalen;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/;
KF;2039;Älvdalen;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/;
KF;2039;Älvdalen;Stora Norrlands oberoende Frihetsparti; ;1559;;;
KF;2039;Älvdalen;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige;
KF;2039;Älvdalen;Svensk Jobbdemokrati; ;1603;;;
KF;2039;Älvdalen;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/;
KF;2039;Älvdalen;SVENSKARNA; ;1444;;https://svenskarna.org/;
KF;2039;Älvdalen;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;;
KF;2039;Älvdalen;Sverigedemokraterna;SD;110;14.188903007200338;https://sd.se/;#DDDD00
KF;2039;Älvdalen;Sverigepartiet; ;1457;;https://sverigepartiet.se/;
KF;2039;Älvdalen;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html;
KF;2039;Älvdalen;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/;
KF;2039;Älvdalen;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/;
KF;2039;Älvdalen;Upprorsdemokraterna; ;1630;;;
KF;2039;Älvdalen;Valsamverkanspartiet; ;1526;;;
KF;2039;Älvdalen;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/;
KF;2039;Älvdalen;Volt Sverige;Volt;1610;;;
KF;2039;Älvdalen;Vänsterpartiet;V;5;3.1342651418890304;https://www.vansterpartiet.se/;#AF0000
KF;2039;Älvdalen;Yggdrasil; ;1454;;;
KF;2039;Älvdalen;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/;
