VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;2321;Åre;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;2321;Åre;ANARKISTERNA; ;1628;;;
KF;2321;Åre;ANDOPARTIET; ;1602;;;
KF;2321;Åre;Arbetarepartiet-Socialdemokraterna;S;2;21.483583299554116;https://www.socialdemokraterna.se/;#EE2020
KF;2321;Åre;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;2321;Åre;Bjornpartiet; ;1629;;;
KF;2321;Åre;Centerpartiet;C;4;27.509795973517093;https://www.centerpartiet.se/;#009933
KF;2321;Åre;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;2321;Åre;Det minst dåliga partiet; ;1622;;;
KF;2321;Åre;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;2321;Åre;Drivkraft; ;1621;;;
KF;2321;Åre;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;2321;Åre;Enad Politik; ;1589;;;
KF;2321;Åre;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;2321;Åre;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;2321;Åre;Enskild person/Riksdagen val; ;1614;;;
KF;2321;Åre;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;2321;Åre;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;2321;Åre;EUSEC; ;1534;;;
KF;2321;Åre;FAMILJENS FRIHET; ;1606;;;
KF;2321;Åre;Fattigmans parti; ;1618;;;
KF;2321;Åre;Feministiskt initiativ;FI;532;0.12160518848804217;https://feministisktinitiativ.se/;
KF;2321;Åre;FN Parti art.27; ;1631;;;
KF;2321;Åre;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;2321;Åre;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;2321;Åre;Fredspartiet; ;1484;;;
KF;2321;Åre;Fria Wermland; ;1548;;https://friawermland.se/;
KF;2321;Åre;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;2321;Åre;Fritt val; ;1479;;;
KF;2321;Åre;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;2321;Åre;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;2321;Åre;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;2321;Åre;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;2321;Åre;Humanistisk demokrati (HD);HD;1480;;;
KF;2321;Åre;Invandrarpartiet; ;1624;;;
KF;2321;Åre;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;2321;Åre;Kalle ankapartiet; ;1579;;;
KF;2321;Åre;Kapitalism med vänligt ansikte; ;1495;;;
KF;2321;Åre;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;2321;Åre;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;2321;Åre;Kristdemokraterna;KD;68;2.378057019321713;https://kristdemokraterna.se/;#231977
KF;2321;Åre;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;2321;Åre;KSP; ;1612;;;
KF;2321;Åre;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;2321;Åre;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;2321;Åre;Liberalerna (tidigare Folkpartiet);L;3;0.9728415079043373;https://www.liberalerna.se/;#6BB7EC
KF;2321;Åre;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;2321;Åre;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;2321;Åre;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/;
KF;2321;Åre;Miljöpartiet de gröna;MP;55;8.742061883529253;https://www.mp.se/;#83CF39
KF;2321;Åre;Min röst; ;1437;;;
KF;2321;Åre;MITT SVERIGE; ;1591;;;
KF;2321;Åre;MoD; ;1568;;https://partietmod.se/;
KF;2321;Åre;Moderaterna;M;1;11.498446155924876;https://moderaterna.se/;#1B49DD
KF;2321;Åre;Monisterna; ;1502;;;
KF;2321;Åre;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;2321;Åre;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;2321;Åre;NaturFilosoferna; ;1460;;;
KF;2321;Åre;Naturistpartiet; ;1627;;;
KF;2321;Åre;Neoteknokraterna; ;1613;;;
KF;2321;Åre;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;2321;Åre;Nu får det fan vara nog; ;1623;;;
KF;2321;Åre;Ny Demokrati; ;1596;;;
KF;2321;Åre;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;2321;Åre;Nya Frihetspartiet; ;1443;;;
KF;2321;Åre;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;2321;Åre;OK; ;1478;;;
KF;2321;Åre;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;2321;Åre;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
KF;2321;Åre;Partiet Frihet; ;1599;;;
KF;2321;Åre;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/;
KF;2321;Åre;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/;
KF;2321;Åre;Pax; ;1491;;https://www.paxpartiet.se/;
KF;2321;Åre;Piratpartiet;PP;524;0.0;https://piratpartiet.se/;
KF;2321;Åre;Politiskt Skifte; ;1617;;;
